"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"AB9",0,3.5,12.1666666666667,2.1666666666667,42.3333333333333,2.9166666666666,6.4166666666667,9,10.5833333333334,19.75,5.75,4.25,4.5833333333334,0.9166666666667,10.5,0.5,13.1666666666666,9.1666666666666,11.0833333333333,8.5833333333334,0.3333333333333,6.75,12.1666666666666,4.5,0.6666666666667,29.5833333333333,9.5833333333334,27.6666666666666,8.75,7,28.3333333333333,6.6666666666667,22,0.3333333333334,5,19.3333333333333,21.0833333333334,5.25,10.1666666666666,5.5,8.3333333333334,4.6666666666667,18.0833333333334,21,1,14,0.6666666666667,16.0833333333334,21.4166666666667,0,15.1666666666667,6.5,12.4166666666666,19.5,21.0833333333334,1.8333333333334,6,4.9166666666666,12.0833333333334,38.3333333333333,19.9166666666667,4.0833333333333,25.3333333333333,10.5833333333334,17.8333333333334,20.75,6.8333333333334,4.9166666666666,16.4166666666667,12.6666666666667,4.5833333333334,12.5,14.25,17.9166666666667,2.8333333333333,42.3333333333333,6.3333333333334,0.5833333333333,20.5833333333334,17.75,18.0833333333334,47.4166666666666,8.9166666666666,24.25,3.9166666666667,7.5833333333333,3.9166666666666,19.6666666666666,16.25,8.5833333333334,14.75,12.9166666666667,17.0833333333334,16.5,10.25,14.75,15.8333333333334,9,16.9166666666667,17.4166666666667,22.5,21.9166666666666,6.25,20.8333333333334,7.1666666666667,13.75,12.4166666666667,23.5833333333333,5.0833333333333,14.75,3.75,22,7.3333333333333,2.4166666666666,0.8333333333334,17.6666666666667,21.3333333333334
"AJJ",3.5,0,15.6666666666667,5.6666666666667,38.8333333333333,0.5833333333334,9.9166666666667,12.5,14.0833333333334,23.25,2.25,7.75,8.0833333333334,4.4166666666667,14,3,9.6666666666666,5.6666666666666,7.5833333333333,12.0833333333334,3.1666666666667,10.25,8.6666666666666,8,4.1666666666667,26.0833333333333,13.0833333333334,24.1666666666666,12.25,10.5,24.8333333333333,10.1666666666667,18.5,3.8333333333334,1.5,15.8333333333333,24.5833333333334,1.75,6.6666666666666,2,11.8333333333334,8.1666666666667,21.5833333333334,24.5,2.5,17.5,4.1666666666667,19.5833333333334,24.9166666666667,3.5,18.6666666666667,10,8.9166666666666,16,24.5833333333334,5.3333333333334,9.5,1.4166666666666,15.5833333333334,34.8333333333333,23.4166666666667,0.5833333333333,21.8333333333333,14.0833333333334,21.3333333333334,24.25,10.3333333333334,1.4166666666666,19.9166666666667,16.1666666666667,8.0833333333334,9,10.75,21.4166666666667,0.6666666666667,38.8333333333333,9.8333333333334,2.9166666666667,24.0833333333334,14.25,21.5833333333334,43.9166666666666,5.4166666666666,20.75,7.4166666666667,4.0833333333333,0.4166666666666,16.1666666666666,12.75,12.0833333333334,11.25,16.4166666666667,20.5833333333334,20,13.75,11.25,19.3333333333334,12.5,20.4166666666667,20.9166666666667,19,18.4166666666666,9.75,24.3333333333334,10.6666666666667,17.25,15.9166666666667,20.0833333333333,1.5833333333333,18.25,7.25,25.5,3.8333333333333,1.0833333333334,4.3333333333334,21.1666666666667,24.8333333333334
"AMU",12.1666666666667,15.6666666666667,0,10,54.5,15.0833333333333,5.75,3.1666666666667,1.5833333333333,7.5833333333333,17.9166666666667,7.9166666666667,7.5833333333333,11.25,1.6666666666667,12.6666666666667,25.3333333333333,21.3333333333333,23.25,3.5833333333333,12.5,5.4166666666667,24.3333333333333,7.6666666666667,11.5,41.75,2.5833333333333,39.8333333333333,3.4166666666667,5.1666666666667,40.5,5.5,34.1666666666667,11.8333333333333,17.1666666666667,31.5,8.9166666666667,17.4166666666667,22.3333333333333,17.6666666666667,3.8333333333333,7.5,5.9166666666667,8.8333333333333,13.1666666666667,1.8333333333333,11.5,3.9166666666667,9.25,12.1666666666667,3,5.6666666666667,24.5833333333333,31.6666666666667,8.9166666666667,10.3333333333333,6.1666666666667,17.0833333333333,0.0833333333333002,50.5,7.75,16.25,37.5,1.5833333333333,5.6666666666667,8.5833333333333,5.3333333333333,17.0833333333333,4.25,0.5,7.5833333333333,24.6666666666667,26.4166666666667,5.75,15,54.5,5.8333333333333,12.75,8.4166666666667,29.9166666666667,5.9166666666667,59.5833333333333,21.0833333333333,36.4166666666667,8.25,19.75,16.0833333333333,31.8333333333333,28.4166666666667,3.5833333333333,26.9166666666667,0.75,4.9166666666667,4.3333333333333,1.9166666666667,26.9166666666667,3.6666666666667,3.1666666666667,4.75,5.25,34.6666666666667,34.0833333333333,5.9166666666667,8.6666666666667,5,1.5833333333333,0.25,35.75,17.25,2.5833333333333,8.4166666666667,9.8333333333333,19.5,14.5833333333333,11.3333333333333,5.5,9.1666666666667
"AY9",2.1666666666667,5.6666666666667,10,0,44.5,5.0833333333333,4.25,6.8333333333333,8.4166666666667,17.5833333333333,7.9166666666667,2.0833333333333,2.4166666666667,1.25,8.3333333333333,2.6666666666667,15.3333333333333,11.3333333333333,13.25,6.4166666666667,2.5,4.5833333333333,14.3333333333333,2.3333333333333,1.5,31.75,7.4166666666667,29.8333333333333,6.5833333333333,4.8333333333333,30.5,4.5,24.1666666666667,1.8333333333333,7.1666666666667,21.5,18.9166666666667,7.4166666666667,12.3333333333333,7.6666666666667,6.1666666666667,2.5,15.9166666666667,18.8333333333333,3.1666666666667,11.8333333333333,1.5,13.9166666666667,19.25,2.1666666666667,13,4.3333333333333,14.5833333333333,21.6666666666667,18.9166666666667,0.3333333333333,3.8333333333333,7.0833333333333,9.9166666666667,40.5,17.75,6.25,27.5,8.4166666666667,15.6666666666667,18.5833333333333,4.6666666666667,7.0833333333333,14.25,10.5,2.4166666666667,14.6666666666667,16.4166666666667,15.75,5,44.5,4.1666666666667,2.75,18.4166666666667,19.9166666666667,15.9166666666667,49.5833333333333,11.0833333333333,26.4166666666667,1.75,9.75,6.0833333333333,21.8333333333333,18.4166666666667,6.4166666666667,16.9166666666667,10.75,14.9166666666667,14.3333333333333,8.0833333333333,16.9166666666667,13.6666666666667,6.8333333333333,14.75,15.25,24.6666666666667,24.0833333333333,4.0833333333333,18.6666666666667,5,11.5833333333333,10.25,25.75,7.25,12.5833333333333,1.5833333333333,19.8333333333333,9.5,4.5833333333333,1.3333333333333,15.5,19.1666666666667
"B7D",42.3333333333333,38.8333333333333,54.5,44.5,0,39.4166666666667,48.75,51.3333333333333,52.9166666666667,62.0833333333333,36.5833333333333,46.5833333333333,46.9166666666667,43.25,52.8333333333333,41.8333333333333,29.1666666666667,33.1666666666667,31.25,50.9166666666667,42,49.0833333333333,30.1666666666667,46.8333333333333,43,12.75,51.9166666666667,14.6666666666667,51.0833333333333,49.3333333333333,14,49,20.3333333333333,42.6666666666667,37.3333333333333,23,63.4166666666667,37.0833333333333,32.1666666666667,36.8333333333333,50.6666666666667,47,60.4166666666667,63.3333333333333,41.3333333333333,56.3333333333333,43,58.4166666666667,63.75,42.3333333333333,57.5,48.8333333333333,29.9166666666667,22.8333333333333,63.4166666666667,44.1666666666667,48.3333333333333,37.4166666666667,54.4166666666667,4,62.25,38.25,17,52.9166666666667,60.1666666666667,63.0833333333333,49.1666666666667,37.4166666666667,58.75,55,46.9166666666667,29.8333333333333,28.0833333333333,60.25,39.5,0,48.6666666666667,41.75,62.9166666666667,24.5833333333333,60.4166666666667,5.0833333333333,33.4166666666667,18.0833333333333,46.25,34.75,38.4166666666667,22.6666666666667,26.0833333333333,50.9166666666667,27.5833333333333,55.25,59.4166666666667,58.8333333333333,52.5833333333333,27.5833333333333,58.1666666666667,51.3333333333333,59.25,59.75,19.8333333333333,20.4166666666667,48.5833333333333,63.1666666666667,49.5,56.0833333333333,54.75,18.75,37.25,57.0833333333333,46.0833333333333,64.3333333333333,35,39.9166666666667,43.1666666666667,60,63.6666666666667
"BFX",2.9166666666666,0.5833333333334,15.0833333333333,5.0833333333333,39.4166666666667,0,9.3333333333333,11.9166666666666,13.5,22.6666666666666,2.8333333333334,7.1666666666666,7.5,3.8333333333333,13.4166666666666,2.4166666666666,10.25,6.25,8.1666666666667,11.5,2.5833333333333,9.6666666666666,9.25,7.4166666666666,3.5833333333333,26.6666666666667,12.5,24.75,11.6666666666666,9.9166666666666,25.4166666666667,9.5833333333333,19.0833333333334,3.25,2.0833333333334,16.4166666666667,24,2.3333333333334,7.25,2.5833333333334,11.25,7.5833333333333,21,23.9166666666666,1.9166666666666,16.9166666666666,3.5833333333333,19,24.3333333333333,2.9166666666666,18.0833333333333,9.4166666666666,9.5,16.5833333333334,24,4.75,8.9166666666666,2,15,35.4166666666667,22.8333333333333,1.1666666666667,22.4166666666667,13.5,20.75,23.6666666666666,9.75,2,19.3333333333333,15.5833333333333,7.5,9.5833333333334,11.3333333333334,20.8333333333333,0.0833333333333002,39.4166666666667,9.25,2.3333333333333,23.5,14.8333333333334,21,44.5,6,21.3333333333334,6.8333333333333,4.6666666666667,1,16.75,13.3333333333334,11.5,11.8333333333334,15.8333333333333,20,19.4166666666666,13.1666666666666,11.8333333333334,18.75,11.9166666666666,19.8333333333333,20.3333333333333,19.5833333333334,19,9.1666666666666,23.75,10.0833333333333,16.6666666666666,15.3333333333333,20.6666666666667,2.1666666666667,17.6666666666666,6.6666666666666,24.9166666666666,4.4166666666667,0.5,3.75,20.5833333333333,24.25
"C23",6.4166666666667,9.9166666666667,5.75,4.25,48.75,9.3333333333333,0,2.5833333333333,4.1666666666667,13.3333333333333,12.1666666666667,2.1666666666667,1.8333333333333,5.5,4.0833333333333,6.9166666666667,19.5833333333333,15.5833333333333,17.5,2.1666666666667,6.75,0.3333333333333,18.5833333333333,1.9166666666667,5.75,36,3.1666666666667,34.0833333333333,2.3333333333333,0.5833333333333,34.75,0.25,28.4166666666667,6.0833333333333,11.4166666666667,25.75,14.6666666666667,11.6666666666667,16.5833333333333,11.9166666666667,1.9166666666667,1.75,11.6666666666667,14.5833333333333,7.4166666666667,7.5833333333333,5.75,9.6666666666667,15,6.4166666666667,8.75,0.0833333333333002,18.8333333333333,25.9166666666667,14.6666666666667,4.5833333333333,0.4166666666667,11.3333333333333,5.6666666666667,44.75,13.5,10.5,31.75,4.1666666666667,11.4166666666667,14.3333333333333,0.4166666666667,11.3333333333333,10,6.25,1.8333333333333,18.9166666666667,20.6666666666667,11.5,9.25,48.75,0.0833333333333002,7,14.1666666666667,24.1666666666667,11.6666666666667,53.8333333333333,15.3333333333333,30.6666666666667,2.5,14,10.3333333333333,26.0833333333333,22.6666666666667,2.1666666666667,21.1666666666667,6.5,10.6666666666667,10.0833333333333,3.8333333333333,21.1666666666667,9.4166666666667,2.5833333333333,10.5,11,28.9166666666667,28.3333333333333,0.1666666666667,14.4166666666667,0.75,7.3333333333333,6,30,11.5,8.3333333333333,2.6666666666667,15.5833333333333,13.75,8.8333333333333,5.5833333333333,11.25,14.9166666666667
"CHC",9,12.5,3.1666666666667,6.8333333333333,51.3333333333333,11.9166666666666,2.5833333333333,0,1.5833333333334,10.75,14.75,4.75,4.4166666666666,8.0833333333333,1.5,9.5,22.1666666666666,18.1666666666666,20.0833333333333,0.4166666666666,9.3333333333333,2.25,21.1666666666666,4.5,8.3333333333333,38.5833333333333,0.5833333333334,36.6666666666666,0.25,2,37.3333333333333,2.3333333333333,31,8.6666666666666,14,28.3333333333333,12.0833333333334,14.25,19.1666666666666,14.5,0.6666666666666,4.3333333333333,9.0833333333334,12,10,5,8.3333333333333,7.0833333333334,12.4166666666667,9,6.1666666666667,2.5,21.4166666666666,28.5,12.0833333333334,7.1666666666666,3,13.9166666666666,3.0833333333334,47.3333333333333,10.9166666666667,13.0833333333333,34.3333333333333,1.5833333333334,8.8333333333334,11.75,2.1666666666666,13.9166666666666,7.4166666666667,3.6666666666667,4.4166666666666,21.5,23.25,8.9166666666667,11.8333333333333,51.3333333333333,2.6666666666666,9.5833333333333,11.5833333333334,26.75,9.0833333333334,56.4166666666666,17.9166666666666,33.25,5.0833333333333,16.5833333333333,12.9166666666666,28.6666666666666,25.25,0.4166666666666,23.75,3.9166666666667,8.0833333333334,7.5,1.25,23.75,6.8333333333334,0,7.9166666666667,8.4166666666667,31.5,30.9166666666666,2.75,11.8333333333334,1.8333333333333,4.75,3.4166666666667,32.5833333333333,14.0833333333333,5.75,5.25,13,16.3333333333333,11.4166666666666,8.1666666666666,8.6666666666667,12.3333333333334
"CKE",10.5833333333334,14.0833333333334,1.5833333333333,8.4166666666667,52.9166666666667,13.5,4.1666666666667,1.5833333333334,0,9.1666666666666,16.3333333333334,6.3333333333334,6,9.6666666666667,0.0833333333333997,11.0833333333334,23.75,19.75,21.6666666666667,2,10.9166666666667,3.8333333333334,22.75,6.0833333333334,9.9166666666667,40.1666666666667,1,38.25,1.8333333333334,3.5833333333334,38.9166666666667,3.9166666666667,32.5833333333334,10.25,15.5833333333334,29.9166666666667,10.5,15.8333333333334,20.75,16.0833333333334,2.25,5.9166666666667,7.5,10.4166666666666,11.5833333333334,3.4166666666666,9.9166666666667,5.5,10.8333333333333,10.5833333333334,4.5833333333333,4.0833333333334,23,30.0833333333334,10.5,8.75,4.5833333333334,15.5,1.5,48.9166666666667,9.3333333333333,14.6666666666667,35.9166666666667,0,7.25,10.1666666666666,3.75,15.5,5.8333333333333,2.0833333333333,6,23.0833333333334,24.8333333333334,7.3333333333333,13.4166666666667,52.9166666666667,4.25,11.1666666666667,10,28.3333333333334,7.5,58,19.5,34.8333333333334,6.6666666666667,18.1666666666667,14.5,30.25,26.8333333333334,2,25.3333333333334,2.3333333333333,6.5,5.9166666666666,0.3333333333334,25.3333333333334,5.25,1.5833333333334,6.3333333333333,6.8333333333333,33.0833333333334,32.5,4.3333333333334,10.25,3.4166666666667,3.1666666666666,1.8333333333333,34.1666666666667,15.6666666666667,4.1666666666666,6.8333333333334,11.4166666666666,17.9166666666667,13,9.75,7.0833333333333,10.75
"D34",19.75,23.25,7.5833333333333,17.5833333333333,62.0833333333333,22.6666666666666,13.3333333333333,10.75,9.1666666666666,0,25.5,15.5,15.1666666666666,18.8333333333333,9.25,20.25,32.9166666666666,28.9166666666666,30.8333333333333,11.1666666666666,20.0833333333333,13,31.9166666666666,15.25,19.0833333333333,49.3333333333333,10.1666666666666,47.4166666666666,11,12.75,48.0833333333333,13.0833333333333,41.75,19.4166666666666,24.75,39.0833333333333,1.3333333333334,25,29.9166666666666,25.25,11.4166666666666,15.0833333333333,1.6666666666666,1.25,20.75,5.75,19.0833333333333,3.6666666666666,1.6666666666667,19.75,4.5833333333333,13.25,32.1666666666666,39.25,1.3333333333334,17.9166666666666,13.75,24.6666666666666,7.6666666666666,58.0833333333333,0.1666666666667,23.8333333333333,45.0833333333333,9.1666666666666,1.9166666666666,1,12.9166666666666,24.6666666666666,3.3333333333333,7.0833333333333,15.1666666666666,32.25,34,1.8333333333333,22.5833333333333,62.0833333333333,13.4166666666666,20.3333333333333,0.8333333333334,37.5,1.6666666666666,67.1666666666666,28.6666666666666,44,15.8333333333333,27.3333333333333,23.6666666666666,39.4166666666666,36,11.1666666666666,34.5,6.8333333333333,2.6666666666666,3.25,9.5,34.5,3.9166666666666,10.75,2.8333333333333,2.3333333333333,42.25,41.6666666666666,13.5,1.0833333333334,12.5833333333333,6,7.3333333333333,43.3333333333333,24.8333333333333,5,16,2.25,27.0833333333333,22.1666666666666,18.9166666666666,2.0833333333333,1.5833333333334
