"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"AB9",0,5,3,4,1,4,9,19,10,5,19,20,10,9,7,10,2,1,3,1,5,3,1,2,4,2,10,4,6,1,5,7,3,8,2,8,7,15,4,11,0,1,5,2,5,6,10,5,7,9,1,9,6,4,18,7,2,14,3,0,17,10,9,5,13,0,22,2,17,6,9,4,9,9,5,3,10,6,5,4,1,2,11,4,1,6,8,3,3,4,4,3,12,2,11,8,3,0,8,6,11,11,8,8,9,10,10,4,0,10,13,11,10,9,8,2,8
"AJJ",5,0,2,9,4,9,4,24,5,10,24,25,5,4,12,15,7,6,2,6,0,2,4,3,9,7,5,1,1,6,0,2,2,3,3,3,12,20,9,16,5,4,0,7,10,1,5,10,2,4,4,4,1,1,23,2,7,19,2,5,22,5,4,0,18,5,27,3,22,1,4,1,4,14,10,2,15,11,0,1,6,3,6,1,6,1,3,2,2,9,9,2,17,3,16,3,2,5,3,11,6,6,13,3,4,5,5,9,5,5,18,6,5,4,3,7,3
"AMU",3,2,0,7,2,7,6,22,7,8,22,23,7,6,10,13,5,4,0,4,2,0,2,1,7,5,7,1,3,4,2,4,0,5,1,5,10,18,7,14,3,2,2,5,8,3,7,8,4,6,2,6,3,1,21,4,5,17,0,3,20,7,6,2,16,3,25,1,20,3,6,1,6,12,8,0,13,9,2,1,4,1,8,1,4,3,5,0,0,7,7,0,15,1,14,5,0,3,5,9,8,8,11,5,6,7,7,7,3,7,16,8,7,6,5,5,5
"AY9",4,9,7,0,5,0,13,15,14,1,15,16,14,13,3,6,2,3,7,3,9,7,5,6,0,2,14,8,10,3,9,11,7,12,6,12,3,11,0,7,4,5,9,2,1,10,14,1,11,13,5,13,10,8,14,11,2,10,7,4,13,14,13,9,9,4,18,6,13,10,13,8,13,5,1,7,6,2,9,8,3,6,15,8,3,10,12,7,7,0,0,7,8,6,7,12,7,4,12,2,15,15,4,12,13,14,14,0,4,14,9,15,14,13,12,2,12
"B7D",1,4,2,5,0,5,8,20,9,6,20,21,9,8,8,11,3,2,2,2,4,2,0,1,5,3,9,3,5,2,4,6,2,7,1,7,8,16,5,12,1,0,4,3,6,5,9,6,6,8,0,8,5,3,19,6,3,15,2,1,18,9,8,4,14,1,23,1,18,5,8,3,8,10,6,2,11,7,4,3,2,1,10,3,2,5,7,2,2,5,5,2,13,1,12,7,2,1,7,7,10,10,9,7,8,9,9,5,1,9,14,10,9,8,7,3,7
"BFX",4,9,7,0,5,0,13,15,14,1,15,16,14,13,3,6,2,3,7,3,9,7,5,6,0,2,14,8,10,3,9,11,7,12,6,12,3,11,0,7,4,5,9,2,1,10,14,1,11,13,5,13,10,8,14,11,2,10,7,4,13,14,13,9,9,4,18,6,13,10,13,8,13,5,1,7,6,2,9,8,3,6,15,8,3,10,12,7,7,0,0,7,8,6,7,12,7,4,12,2,15,15,4,12,13,14,14,0,4,14,9,15,14,13,12,2,12
"C23",9,4,6,13,8,13,0,28,1,14,28,29,1,0,16,19,11,10,6,10,4,6,8,7,13,11,1,5,3,10,4,2,6,1,7,1,16,24,13,20,9,8,4,11,14,3,1,14,2,0,8,0,3,5,27,2,11,23,6,9,26,1,0,4,22,9,31,7,26,3,0,5,0,18,14,6,19,15,4,5,10,7,2,5,10,3,1,6,6,13,13,6,21,7,20,1,6,9,1,15,2,2,17,1,0,1,1,13,9,1,22,2,1,0,1,11,1
"CHC",19,24,22,15,20,15,28,0,29,14,0,1,29,28,12,9,17,18,22,18,24,22,20,21,15,17,29,23,25,18,24,26,22,27,21,27,12,4,15,8,19,20,24,17,14,25,29,14,26,28,20,28,25,23,1,26,17,5,22,19,2,29,28,24,6,19,3,21,2,25,28,23,28,10,14,22,9,13,24,23,18,21,30,23,18,25,27,22,22,15,15,22,7,21,8,27,22,19,27,13,30,30,11,27,28,29,29,15,19,29,6,30,29,28,27,17,27
"CKE",10,5,7,14,9,14,1,29,0,15,29,30,0,1,17,20,12,11,7,11,5,7,9,8,14,12,0,6,4,11,5,3,7,2,8,2,17,25,14,21,10,9,5,12,15,4,0,15,3,1,9,1,4,6,28,3,12,24,7,10,27,0,1,5,23,10,32,8,27,4,1,6,1,19,15,7,20,16,5,6,11,8,1,6,11,4,2,7,7,14,14,7,22,8,21,2,7,10,2,16,1,1,18,2,1,0,0,14,10,0,23,1,0,1,2,12,2
"D34",5,10,8,1,6,1,14,14,15,0,14,15,15,14,2,5,3,4,8,4,10,8,6,7,1,3,15,9,11,4,10,12,8,13,7,13,2,10,1,6,5,6,10,3,0,11,15,0,12,14,6,14,11,9,13,12,3,9,8,5,12,15,14,10,8,5,17,7,12,11,14,9,14,4,0,8,5,1,10,9,4,7,16,9,4,11,13,8,8,1,1,8,7,7,6,13,8,5,13,1,16,16,3,13,14,15,15,1,5,15,8,16,15,14,13,3,13
"DSD",19,24,22,15,20,15,28,0,29,14,0,1,29,28,12,9,17,18,22,18,24,22,20,21,15,17,29,23,25,18,24,26,22,27,21,27,12,4,15,8,19,20,24,17,14,25,29,14,26,28,20,28,25,23,1,26,17,5,22,19,2,29,28,24,6,19,3,21,2,25,28,23,28,10,14,22,9,13,24,23,18,21,30,23,18,25,27,22,22,15,15,22,7,21,8,27,22,19,27,13,30,30,11,27,28,29,29,15,19,29,6,30,29,28,27,17,27
"DUB",20,25,23,16,21,16,29,1,30,15,1,0,30,29,13,10,18,19,23,19,25,23,21,22,16,18,30,24,26,19,25,27,23,28,22,28,13,5,16,9,20,21,25,18,15,26,30,15,27,29,21,29,26,24,2,27,18,6,23,20,3,30,29,25,7,20,2,22,3,26,29,24,29,11,15,23,10,14,25,24,19,22,31,24,19,26,28,23,23,16,16,23,8,22,9,28,23,20,28,14,31,31,12,28,29,30,30,16,20,30,7,31,30,29,28,18,28
"DWH",10,5,7,14,9,14,1,29,0,15,29,30,0,1,17,20,12,11,7,11,5,7,9,8,14,12,0,6,4,11,5,3,7,2,8,2,17,25,14,21,10,9,5,12,15,4,0,15,3,1,9,1,4,6,28,3,12,24,7,10,27,0,1,5,23,10,32,8,27,4,1,6,1,19,15,7,20,16,5,6,11,8,1,6,11,4,2,7,7,14,14,7,22,8,21,2,7,10,2,16,1,1,18,2,1,0,0,14,10,0,23,1,0,1,2,12,2
