"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"AB9",0,6.3812983231528,4.9735520889367,5.277910147179,8.3826429980276,0.0469429523638993,0.9742799530535,4.5527962261073,7.5112418593742,9.3874232148732,1.6626371065156,2.2098034918547,5.1204758722241,3.3956428187197,1.0754469505823,2.9955681680956,0.452131956335499,0.0159763313608998,3.3206595269532,10.8863440531419,5.3860997932066,5.1653910628148,9.4017797861439,6.2028072366461,1.8356927854952,8.8699555701152,8.1373752233277,9.2987069580325,4.6022353714661,3.6354641785831,5.1993270077397,1.4805998197607,2.7753774921159,7.1273564618103,2.2293048735742,9.1046551803422,10.0424226123526,0.262481718525702,3.184207533627,4.1862153350543,3.926557731677,4.8870567428656,3.7379578463494,3.1449803144297,0.575544073999101,2.3589030220989,2.4552462155332,2.3563754160603,6.2031499968563,5.4644277816578,8.2591862079041,0.637224569218098,3.4195774393941,1.0333469440914,7.4690375558507,3.7385293838571,6.303717017653,1.8835688070584,6.1935442180197,3.6228011780684,2.2672767190307,5.2085894430876,0.503066332530899,0.3627988295347,6.6809428759891,1.7357872350102,5.2409503167927,5.3132694441759,6.0363587461489,1.38997383042,3.7225552787293,4.6998472991028,2.3651603906179,8.0065330792463,1.590614343859,2.3725813658898,0.194758586884301,7.2753377745119,7.2231754136757,5.2466869833381,2.5604161481039,4.4484104115316,4.385856955787,3.7380514997888,0.764822317716,3.4673452547722,6.2357098446009,1.0381985535831,0.668475473373899,3.1647319432343,3.3757826714092,5.6677367337386,3.4993716066824,3.7225552787293,4.6768051579661,2.199639952262,4.2126733851329,8.2309269475299,6.3544451404346,5.0649577197953,4.9738287784025,4.9281750165326,0.860001400511202,1.8565787989142,1.6436554898094,6.4939623557026,4.241893930867,4.4548709594601,9.2506985535831,3.9090442838933,2.1907874879058,3.7225552787293,6.031061581088,3.2976089844221,3.8737823222357,4.088145798125,7.3418416056776
"AJJ",6.3812983231528,0,11.3548504120895,1.1033881759738,14.7639413211804,6.4282412755167,7.3555782762063,10.9340945492601,13.892540182527,15.768721538026,8.0439354296684,8.5911018150075,11.5017741953769,9.7769411418725,5.3058513725705,9.3768664912484,6.8334302794883,6.3972746545137,9.701957850106,17.2676423762947,0.995198529946194,11.5466893859676,15.7830781092967,0.178491086506696,4.5456055376576,15.251253893268,14.5186735464805,15.6800052811853,10.9835336946189,10.0167625017359,11.5806253308925,4.9006985033921,9.1566758152687,13.5086547849631,4.1519934495786,15.485953503495,16.4237209355054,6.1188166046271,9.5655058567798,10.5675136582071,10.3078560548298,1.49424158028719,10.1192561695022,9.5262786375825,5.8057542491537,8.7402013452517,3.9260521076196,4.0249229070925,0.178148326296494,11.8457261048106,14.6404845310569,7.0185228923709,9.8008757625469,7.4146452672442,13.8503358790035,10.1198277070099,12.6850153408058,8.2648671302112,12.5748425411725,10.0040995012212,8.6485750421835,11.5898877662404,5.8782319906219,6.7440971526875,13.0622411991419,8.117085558163,11.6222486399455,1.0680288789769,12.4176570693017,7.7712721535728,10.1038536018821,11.0811456222556,8.7464587137707,14.3878314023991,7.9719126670118,8.7538796890426,6.1865397362685,13.6566360976647,13.6044737368285,11.6279853064909,8.9417144712567,10.8297087346844,10.7671552789398,10.1193498229416,7.1461206408688,2.9139530683806,12.6170081677537,7.4194968767359,5.7128228497789,3.2165663799185,3.0055156517436,12.0490350568914,9.8806699298352,10.1038536018821,1.7044931651867,8.5809382754148,10.5939717082857,14.6122252706827,12.7357434635874,11.4462560429481,11.3551271015553,11.3094733396854,5.5212969226416,8.237877122067,4.7376428333434,12.8752606788554,10.6231922540198,10.8361692826129,15.6319968767359,10.2903426070461,8.5720858110586,10.1038536018821,12.4123599042408,9.6789073075749,10.2550806453885,10.4694441212778,13.7231399288304
"AMU",4.9735520889367,11.3548504120895,0,10.2514622361157,3.4090909090909,4.9266091365728,3.9992721358832,0.420755862829399,2.5376897704375,4.4138711259365,3.3109149824211,2.763748597082,0.146923783287399,1.577909270217,6.048999039519,1.9779839208411,4.5214201326012,4.9575757575758,1.6528925619835,5.9127919642052,10.3596518821433,0.191838973878099,4.4282276972072,11.1763593255828,6.8092448744319,3.8964034811785,3.163823134391,4.3251548690958,0.371316717470599,1.3380879103536,0.225774918803001,6.4541519086974,2.1981745968208,2.1538043728736,7.2028569625109,4.1311030914055,5.0688705234159,5.2360338074624,1.7893445553097,0.7873367538824,1.0469943572597,9.8606088318023,1.2355942425873,1.828571774507,5.5490961629358,2.6146490668378,7.4287983044699,7.329927504997,11.176702085793,0.490875692721101,3.2856341189674,4.3363275197186,1.5539746495426,3.9402051448453,2.495485466914,1.2350227050796,1.3301649287163,3.0899832818783,1.219992129083,1.3507509108683,2.706275369906,0.235037354150901,5.4766184214676,4.610753259402,1.7073907870524,3.2377648539265,0.267398227855999,10.2868215331126,1.0628066572122,3.5835782585167,1.2509968102074,0.2737047898339,2.6083916983188,3.0329809903096,3.3829377450777,2.6009707230469,5.168310675821,2.3017856855752,2.249623324739,0.273134894401398,2.4131359408328,0.525141677405099,0.587695133149701,1.2355005891479,4.2087297712207,8.4408973437089,1.2621577556642,3.9353535353536,5.6420275623106,8.138284032171,8.3493347603459,0.694184644801901,1.4741804822543,1.2509968102074,9.6503572469028,2.7739121366747,0.760878703803801,3.2573748585932,1.3808930514979,0.0914056308585991,0.000276689465799507,0.0453770724041007,5.8335534894479,3.1169732900225,6.6172075787461,1.5204102667659,0.731658158069699,0.518681129476601,4.2771464646464,1.0645078050434,2.7827646010309,1.2509968102074,1.0575094921513,1.6759431045146,1.099769766701,0.885406290811702,2.3682895167409
"AY9",5.277910147179,1.1033881759738,10.2514622361157,0,13.6605531452066,5.3248530995429,6.2521901002325,9.8307063732863,12.7891520065532,14.6653333620522,6.9405472536946,7.4877136390337,10.3983860194031,8.6735529658987,4.2024631965967,8.2734783152746,5.7300421035145,5.2938864785399,8.5985696741322,16.1642542003209,0.108189646027604,10.4433012099938,14.6796899333229,0.924897089467102,3.4422173616838,14.1478657172942,13.4152853705067,14.5766171052115,9.8801455186451,8.9133743257621,10.4772371549187,3.7973103274183,8.0532876392949,12.4052666089893,3.0486052736048,14.3825653275212,15.3203327595316,5.0154284286533,8.462117680806,9.4641254822333,9.204467878856,0.390853404313397,9.0158679935284,8.4228904616087,4.7023660731799,7.6368131692779,2.8226639316458,2.9215347311187,0.925239849677304,10.7423379288368,13.5370963550831,5.9151347163971,8.6974875865731,6.3112570912704,12.7469477030297,9.0164395310361,11.581627164832,7.1614789542374,11.4714543651987,8.9007113252474,7.5451868662097,10.4864995902666,4.7748438146481,5.6407089767137,11.9588530231681,7.0136973821892,10.5188604639717,0.0353592969969014,11.3142688933279,6.667883977599,9.0004654259083,9.9777574462818,7.6430705377969,13.2844432264253,6.868524491038,7.6504915130688,5.0831515602947,12.5532479216909,12.5010855608547,10.5245971305171,7.8383262952829,9.7263205587106,9.663767102966,9.0159616469678,6.042732464895,1.8105648924068,11.5136199917799,6.3161087007621,4.6094346738051,2.1131782039447,1.9021274757698,10.9456468809176,8.7772817538614,9.0004654259083,0.601104989212899,7.477550099441,9.4905835323119,13.5088370947089,11.6323552876136,10.3428678669743,10.2517389255815,10.2060851637116,4.4179087466678,7.1344889460932,3.6342546573696,11.7718725028816,9.519804078046,9.7327811066391,14.5286087007621,9.1869544310723,7.4686976350848,9.0004654259083,11.308971728267,8.5755191316011,9.1516924694147,9.366055945304,12.6197517528566
"B7D",8.3826429980276,14.7639413211804,3.4090909090909,13.6605531452066,0,8.3357000456637,7.4083630449741,3.8298467719203,0.8714011386534,1.0047802168456,6.720005891512,6.1728395061729,3.2621671258035,4.9870001793079,9.4580899486099,5.387074829932,7.9305110416921,8.3666666666667,5.0619834710744,2.5037010551143,13.7687427912342,3.2172519352128,1.0191367881163,14.5854502346737,10.2183357835228,0.4873125720876,0.245267774699901,0.916063960004902,3.7804076265615,4.7471788194445,3.1833159902879,9.8632428177883,5.6072655059117,1.2552865362173,10.6119478716018,0.7220121823146,1.659779614325,8.6451247165533,5.1984354644006,4.1964276629733,4.4560852663506,13.2696997408932,4.6446851516782,5.2376626835979,8.9581870720267,6.0237399759287,10.8378892135608,10.7390184140879,14.5857929948839,2.9182152163698,0.123456790123498,7.7454184288095,4.9630655586335,7.3492960539362,0.913605442176898,4.6441136141705,2.0789259803746,6.4990741909692,2.1890987800079,4.7598418199592,6.1153662789969,3.17405355494,8.8857093305585,8.0198441684929,1.7017001220385,6.6468557630174,3.1416926812349,13.6959124422035,2.3462842518787,6.9926691676076,4.6600877192983,3.6827956989248,6.0174826074097,0.3761099187813,6.7920286541686,6.0100616321378,8.5774015849119,1.1073052235157,1.1594675843519,3.1359560146895,5.8222268499237,3.934232586496,3.9967860422406,4.6445914982388,7.6178206803116,11.8499882527998,2.1469331534267,7.3444444444445,9.0511184714015,11.5473749412619,11.7584256694368,2.714906264289,4.8832713913452,4.6600877192983,13.0594481559937,6.1830030457656,4.1699696128947,0.151716050497701,2.028197857593,3.3176852782323,3.4088142196251,3.454467981495,9.2426443985388,6.5260641991134,10.026298487837,1.888680642325,4.1407490671606,3.9277720385675,0.8680555555555,4.4735987141343,6.1918555101218,4.6600877192983,2.3515814169396,5.0850340136055,4.5088606757919,4.2944971999026,1.04080139235
"BFX",0.0469429523638993,6.4282412755167,4.9266091365728,5.3248530995429,8.3357000456637,0,0.927337000689601,4.5058532737434,7.4642989070103,9.3404802625093,1.6156941541517,2.1628605394908,5.0735329198602,3.3486998663558,1.1223899029462,2.9486252157317,0.4051890039716,0.0309666210029995,3.2737165745893,10.839401100778,5.4330427455705,5.1184481104509,9.35483683378,6.24975018901,1.8826357378591,8.8230126177513,8.0904322709638,9.2517640056686,4.5552924191022,3.5885212262192,5.1523840553758,1.5275427721246,2.728434539752,7.0804135094464,2.2762478259381,9.0577122279783,9.9954796599887,0.309424670889602,3.1372645812631,4.1392723826904,3.8796147793131,4.9339996952295,3.6910148939855,3.0980373620658,0.622487026363,2.311960069735,2.5021891678971,2.4033183684242,6.2500929492202,5.4174848292939,8.2122432555402,0.590281616854199,3.3726344870302,0.986403991727499,7.4220946034868,3.6915864314932,6.2567740652891,1.8366258546945,6.1466012656558,3.5758582257045,2.2203337666668,5.1616464907237,0.550009284894799,0.315855877170801,6.6339999236252,1.6888442826463,5.1940073644288,5.3602123965398,5.989415793785,1.3430308780561,3.6756123263654,4.6529043467389,2.318217438254,7.9595901268824,1.5436713914951,2.3256384135259,0.241701539248201,7.228394822148,7.1762324613118,5.1997440309742,2.51347319574,4.4014674591677,4.3389140034231,3.6911085474249,0.717879365352101,3.5142882071361,6.188766892237,0.991255601219201,0.715418425737798,3.2116748955982,3.4227256237731,5.6207937813747,3.4524286543185,3.6756123263654,4.72374811033,2.1526969998981,4.165730432769,8.183983995166,6.3075021880707,5.0180147674314,4.9268858260386,4.8812320641687,0.906944352875101,1.8096358465503,1.6905984421733,6.4470194033387,4.1949509785031,4.4079280070962,9.2037556012192,3.8621013315294,2.1438445355419,3.6756123263654,5.9841186287241,3.2506660320582,3.8268393698718,4.0412028457611,7.2948986533137
"C23",0.9742799530535,7.3555782762063,3.9992721358832,6.2521901002325,7.4083630449741,0.927337000689601,0,3.5785162730538,6.5369619063207,8.4131432618197,0.6883571534621,1.2355235388012,4.1461959191706,2.4213628656662,2.0497269036358,2.0212882150421,0.522147996718001,0.9583036216926,2.3463795738997,9.9120641000884,6.3603797462601,4.1911111097613,8.4274998330904,7.1770871896996,2.8099727385487,7.8956756170617,7.1630952702742,8.324427004979,3.6279554184126,2.6611842255296,4.2250470546862,2.4548797728142,1.8010975390624,6.1530765087568,3.2035848266277,8.1303752272887,9.0681426592991,1.2367616715792,2.2099275805735,3.2119353820008,2.9522777786235,5.8613366959191,2.7636778932959,2.1707003613762,1.5498240270526,1.3846230690454,3.4295261685867,3.3306553691138,7.1774299499098,4.4901478286043,7.2849062548506,0.337055383835402,2.4452974863406,0.0590669910378985,6.4947576027972,2.7642494308036,5.3294370645995,0.909288854004899,5.2192642649662,2.6485212250149,1.2929967659772,4.2343094900341,1.4773462855844,0.6114811235188,5.7066629229356,0.7615072819567,4.2666703637392,6.2875493972294,5.0620787930954,0.4156938773665,2.7482753256758,3.7255673460493,1.3908804375644,7.0322531261928,0.616334390805498,1.3983014128363,1.1690385399378,6.3010578214584,6.2488954606222,4.2724070302846,1.5861361950504,3.4741304584781,3.4115770027335,2.7637715467353,0.2094576353375,4.4416252078257,5.2614298915474,0.0639186005296004,1.6427554264274,4.1390118962878,4.3500626244627,4.6934567806851,2.5250916536289,2.7482753256758,5.6510851110196,1.2253599992085,3.2383934320794,7.2566469944764,5.3801651873811,4.0906777667418,3.999548825349,3.9538950634791,1.8342813535647,0.882298845860699,2.6179354428629,5.5196824026491,3.2676139778135,3.4805910064066,8.2764186005296,2.9347643308398,1.2165075348523,2.7482753256758,5.0567816280345,2.3233290313686,2.8995023691822,3.1138658450715,6.3675616526241
"CHC",4.5527962261073,10.9340945492601,0.420755862829399,9.8307063732863,3.8298467719203,4.5058532737434,3.5785162730538,0,2.9584456332669,4.8346269887659,2.8901591195917,2.3429927342526,0.567679646116797,1.1571534073876,5.6282431766896,1.5572280580117,4.1006642697718,4.5368198947464,1.2321366991541,6.3335478270346,9.9388960193139,0.612594836707498,4.8489835600366,10.7556034627534,6.3884890116025,4.3171593440079,3.5845789972204,4.7459107319252,0.0494391453588001,0.917332047524201,0.6465307816324,6.033396045868,1.7774187339914,2.574560235703,6.7821010996815,4.5518589542349,5.4896263862453,4.815277944633,1.3685886924803,0.366580891053001,0.6262384944303,9.4398529689729,0.814838379757902,1.4078159116776,5.1283403001064,2.1938932040084,7.0080424416405,6.9091716421676,10.7559462229636,0.9116315555505,3.7063899817968,3.9155716568892,1.1332187867132,3.5194492820159,2.9162413297434,0.814266842250202,1.7509207915457,2.6692274190489,1.6407479919124,0.929995048038901,2.2855195070766,0.6557932169803,5.0558625586382,4.1899973965726,2.1281466498818,2.8170089910971,0.688154090685398,9.8660656702832,1.4835625200416,3.1628223956873,0.830240947378002,0.147051072995499,2.1876358354894,3.453736853139,2.9621818822483,2.1802148602175,4.7475548129916,2.7225415484046,2.6703791875684,0.693890757230797,1.9923800780034,0.1043858145757,0.166939270320302,0.814744726318501,3.7879739083913,8.0201414808795,1.6829136184936,3.5145976725242,5.2212716994812,7.7175281693416,7.9285788975165,1.1149405076313,1.0534246194249,0.830240947378002,9.2296013840734,2.3531562738453,0.340122840974402,3.6781307214226,1.8016489143273,0.512161493687998,0.421032552295198,0.375378790425298,5.4127976266185,2.6962174271931,6.1964517159167,1.9411661295953,0.3109022952403,0.0979252666472021,4.6979023274758,0.643751942214003,2.3620087382015,0.830240947378002,1.4782653549807,1.2551872416852,0.679013903871603,0.464650427982303,2.7890453795703
"CKE",7.5112418593742,13.892540182527,2.5376897704375,12.7891520065532,0.8714011386534,7.4642989070103,6.5369619063207,2.9584456332669,0,1.876181355499,5.8486047528586,5.3014383675195,2.3907659871501,4.1155990406545,8.5866888099565,4.5156736912786,7.0591099030387,7.4952655280133,4.190582332421,3.3751021937677,12.8973416525808,2.3458507965594,1.8905379267697,13.7140490960203,9.3469346448694,1.358713710741,0.6261333639535,1.7874650986583,2.9090064879081,3.8757776807911,2.3119148516345,8.9918416791349,4.7358643672583,0.383885397563901,9.7405467329484,1.593413320968,2.5311807529784,7.7737235778999,4.3270343257472,3.3250265243199,3.5846841276972,12.3982986022398,3.7732840130248,4.3662615449445,8.0867859333733,5.1523388372753,9.9664880749074,9.8676172754345,13.7143918562305,2.0468140777164,0.747944348529902,6.8740172901561,4.0916644199801,6.4778949152828,0.0422043035234978,3.7727124755171,1.2075248417212,5.6276730523158,1.3176976413545,3.8884406813058,5.2439651403435,2.3026524162866,8.0143081919051,7.1484430298395,0.830298983385099,5.775454624364,2.2702915425815,12.8245113035501,1.4748831132253,6.1212680289542,3.7886865806449,2.8113945602714,5.1460814687563,0.495291219872101,5.9206275155152,5.1386604934844,7.7060004462585,0.235904084862298,0.288066445698501,2.2645548760361,4.9508257112703,3.0628314478426,3.1253849035872,3.7731903595854,6.7464195416582,10.9785871141464,1.2755320147733,6.4730433057911,8.1797173327481,10.6759738026085,10.8870245307834,1.8435051256356,4.0118702526918,3.7886865806449,12.1880470173403,5.3116019071122,3.2985684742413,0.7196850881557,1.1567967189396,2.4462841395789,2.5374130809717,2.5830668428416,8.3712432598854,5.65466306046,9.1548973491836,1.0172795036716,3.2693479285072,3.0563708999141,1.7394566942089,3.6021975754809,5.3204543714684,3.7886865806449,1.4801802782862,4.2136328749521,3.6374595371385,3.4230960612492,0.169400253696601
"D34",9.3874232148732,15.768721538026,4.4138711259365,14.6653333620522,1.0047802168456,9.3404802625093,8.4131432618197,4.8346269887659,1.876181355499,0,7.7247861083576,7.1776197230185,4.2669473426491,5.9917803961535,10.4628701654555,6.3918550467776,8.9352912585377,9.3714468835123,6.06676368792,1.4989208382687,14.7735230080798,4.2220321520584,0.0143565712706994,15.5902304515193,11.2231160003684,0.517467644758,1.2500479915455,0.0887162568406978,4.7851878434071,5.7519590362901,4.1880962071335,10.8680230346339,6.6120457227573,2.2600667530629,11.6167280884474,0.282768034530999,0.654999397479401,9.6499049333989,6.2032156812462,5.2012078798189,5.4608654831962,14.2744799577388,5.6494653685238,6.2424429004435,9.9629672888723,7.0285201927743,11.8426694304064,11.7437986309335,15.5905732117295,3.9229954332154,1.1282370069691,8.7501986456551,5.9678457754791,8.3540762707818,1.9183856590225,5.6488938310161,3.0837061972202,7.5038544078148,3.1938789968535,5.7646220368048,7.1201464958425,4.1788337717856,9.8904895474041,9.0246243853385,2.7064803388841,7.651635979863,4.1464728980805,14.7006926590491,3.3510644687243,7.9974493844532,5.6648679361439,4.6875759157704,7.0222628242553,1.3808901356269,7.7968088710142,7.0148418489834,9.5821818017575,2.1120854403613,2.1642478011975,4.1407362315351,6.8270070667693,4.9390128033416,5.0015662590862,5.6493717150844,8.6226008971572,12.8547684696454,3.1517133702723,8.3492246612901,10.0558986882471,12.5521551581075,12.7632058862824,3.7196864811346,5.8880516081908,5.6648679361439,14.0642283728393,7.1877832626112,5.1747498297403,1.1564962673433,3.0329780744386,4.3224654950779,4.4135944364707,4.4592481983406,10.2474246153844,7.530844415959,11.0310787046826,2.8934608591706,5.1455292840062,4.9325522554131,0.136724661290099,5.4783789309799,7.1966357269674,5.6648679361439,3.3563616337852,6.0898142304511,5.5136408926375,5.2992774167482,2.0455816091956
