"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"AB9",0,2,7,4,7,4,7,4,4,4,4,2,7,7,2,0,5,2,4,4,1,3,7,10,2,2,7,5,7,1,4,4,5,7,7,7,3,0,2,4,4,5,2,7,2,3,1,2,2,6,5,0,7,7,4,7,4,11,7,7,4,7,4,4,5,5,4,6,6,3,6,7,5,1,1,7,2,1,3,2,1,6,2,2,3,5,1,7,4,2,8,4,2,3,8,6,1,1,0,7,7,7,4,2,5,7,7,4,6,2,2,2,1,7,7,0,3
"AJJ",2,0,5,2,9,6,9,2,6,2,2,0,9,9,4,2,7,4,6,2,3,1,9,8,4,4,9,7,9,1,6,6,7,9,9,9,1,2,4,2,6,3,4,9,4,1,1,0,0,8,7,2,9,9,2,9,2,9,9,9,2,9,6,6,3,7,6,8,4,5,8,9,7,3,3,9,0,1,1,4,1,8,4,4,5,7,3,9,6,4,6,6,0,1,6,8,3,1,2,5,9,9,6,0,7,9,9,6,8,4,4,0,3,9,9,2,1
"AMU",7,5,0,3,14,11,14,3,11,3,3,5,14,14,9,7,12,9,11,3,8,4,14,3,9,9,14,12,14,6,11,11,12,14,14,14,4,7,9,3,11,2,9,14,9,4,6,5,5,13,12,7,14,14,3,14,3,4,14,14,3,14,11,11,2,12,11,13,1,10,13,14,12,8,8,14,5,6,4,9,6,13,9,9,10,12,8,14,11,9,1,11,5,4,1,13,8,6,7,0,14,14,11,5,12,14,14,11,13,9,9,5,8,14,14,7,4
"AY9",4,2,3,0,11,8,11,0,8,0,0,2,11,11,6,4,9,6,8,0,5,1,11,6,6,6,11,9,11,3,8,8,9,11,11,11,1,4,6,0,8,1,6,11,6,1,3,2,2,10,9,4,11,11,0,11,0,7,11,11,0,11,8,8,1,9,8,10,2,7,10,11,9,5,5,11,2,3,1,6,3,10,6,6,7,9,5,11,8,6,4,8,2,1,4,10,5,3,4,3,11,11,8,2,9,11,11,8,10,6,6,2,5,11,11,4,1
"B7D",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"BFX",4,6,11,8,3,0,3,8,0,8,8,6,3,3,2,4,1,2,0,8,3,7,3,14,2,2,3,1,3,5,0,0,1,3,3,3,7,4,2,8,0,9,2,3,2,7,5,6,6,2,1,4,3,3,8,3,8,15,3,3,8,3,0,0,9,1,0,2,10,1,2,3,1,3,3,3,6,5,7,2,5,2,2,2,1,1,3,3,0,2,12,0,6,7,12,2,3,5,4,11,3,3,0,6,1,3,3,0,2,2,2,6,3,3,3,4,7
"C23",7,9,14,11,0,3,0,11,3,11,11,9,0,0,5,7,2,5,3,11,6,10,0,17,5,5,0,2,0,8,3,3,2,0,0,0,10,7,5,11,3,12,5,0,5,10,8,9,9,1,2,7,0,0,11,0,11,18,0,0,11,0,3,3,12,2,3,1,13,4,1,0,2,6,6,0,9,8,10,5,8,1,5,5,4,2,6,0,3,5,15,3,9,10,15,1,6,8,7,14,0,0,3,9,2,0,0,3,1,5,5,9,6,0,0,7,10
"CHC",4,2,3,0,11,8,11,0,8,0,0,2,11,11,6,4,9,6,8,0,5,1,11,6,6,6,11,9,11,3,8,8,9,11,11,11,1,4,6,0,8,1,6,11,6,1,3,2,2,10,9,4,11,11,0,11,0,7,11,11,0,11,8,8,1,9,8,10,2,7,10,11,9,5,5,11,2,3,1,6,3,10,6,6,7,9,5,11,8,6,4,8,2,1,4,10,5,3,4,3,11,11,8,2,9,11,11,8,10,6,6,2,5,11,11,4,1
"CKE",4,6,11,8,3,0,3,8,0,8,8,6,3,3,2,4,1,2,0,8,3,7,3,14,2,2,3,1,3,5,0,0,1,3,3,3,7,4,2,8,0,9,2,3,2,7,5,6,6,2,1,4,3,3,8,3,8,15,3,3,8,3,0,0,9,1,0,2,10,1,2,3,1,3,3,3,6,5,7,2,5,2,2,2,1,1,3,3,0,2,12,0,6,7,12,2,3,5,4,11,3,3,0,6,1,3,3,0,2,2,2,6,3,3,3,4,7
"D34",4,2,3,0,11,8,11,0,8,0,0,2,11,11,6,4,9,6,8,0,5,1,11,6,6,6,11,9,11,3,8,8,9,11,11,11,1,4,6,0,8,1,6,11,6,1,3,2,2,10,9,4,11,11,0,11,0,7,11,11,0,11,8,8,1,9,8,10,2,7,10,11,9,5,5,11,2,3,1,6,3,10,6,6,7,9,5,11,8,6,4,8,2,1,4,10,5,3,4,3,11,11,8,2,9,11,11,8,10,6,6,2,5,11,11,4,1
