"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"AB9",0,0.0857558689542376,0.0169829797764623,0.0322000943102231,0.0848724258683712,0.080432141905815,0.95095860496795,0.00236829399662295,0.0173607194924154,0.0275509707270027,0.0925023845280247,0.108807987412043,0.939121134015886,0.948367982475699,0.0203079691199022,0.0866815033613866,0.0888655906877509,0.0857558689542376,0.0275509707270027,0.0311924198102259,0.0275509707270027,0.015688804878091,0.0137245756131759,0.0203079691199022,0.0322000943102231,0.0751778307063553,0.0546088211927831,0.113876111533043,0.95095860496795,0.00236829399662295,0.0751778307063553,0.0222602603051287,0.108184715725612,0.948367982475699,0.0137245756131759,0.0911825888321163,0.0167405682395292,0.0925023845280247,0.0857558689542376,0.0866815033613866,0.0137245756131759,0.00236829399662295,0.948764022446703,0.937854829802808,0.080432141905815,0.937854829802808,0.0103289293275864,0.00744663033556307,0.0194434981717256,0.0517377286490106,0.0167405682395292,0.0184563182441376,0.0983305268586063,0.108184715725612,0.080432141905815,0.935673056397112,0.0764686209174435,0.023827367458282,0.0178177204798119,0.0857558689542376,0.0247284815542735,0.0685939677989879,0.110908020459274,0.0546088211927831,0.0961069617351904,0.0169829797764623,0.00382664584471021,0.014853105369381,0.00434756706156647,0.0173607194924154,0.113876111533043,0.0911825888321163,0.103838181978239,0.0194434981717256,0.00382664584471021,0.0857558689542376,0.108807987412043,0.0296782903029009,0.0167405682395292,0.00236829399662295,0.00434756706156647,0.00236829399662295,0.0759448879719677,0.014853105369381,0.00744663033556307,0.0233668540117197,0.0857558689542376,0.103838181978239,0.0961069617351904,0.0728855208710778,0.00382664584471021,0.0178177204798119,0.10154735330402,0.948764022446703,0.0961069617351904,0.0888655906877509,0.0848724258683712,0.0184563182441376,0.0177533618232865,0.0247284815542735,0.935451425049978,0.935451425049978,0,0.00371307404085948,0.0190369967817388,0.0863567771500364,0.0863567771500364,0.0247284815542735,0.0194434981717256,0.0171307245314951,0.0190369967817388,0.110908020459274,0.0759448879719677,0.0517377286490106,0.935673056397112,0.00371307404085948,0.0281668505987388
"AJJ",0.0857558689542376,0,0.0708505791203694,0.0599381927808845,0.00362373464273764,0.00595235201487113,0.985565530896357,0.0852925245063506,0.0732806661223344,0.0644468906105727,0.00806242893336511,0.0278308488072772,0.973479252858878,0.98352219454253,0.0709426064126292,0.0038250375851525,0.00313803655144408,0,0.0644468906105727,0.0610763115022574,0.0644468906105727,0.0757037516934066,0.0764313760613716,0.0709426064126292,0.0599381927808845,0.0106681044587096,0.032783445634976,0.0331637784219823,0.985565530896357,0.0852925245063506,0.0106681044587096,0.0692880504272119,0.0274245796630075,0.98352219454253,0.0764313760613716,0.0105110239733864,0.0737626301697108,0.00806242893336511,0,0.0038250375851525,0.0764313760613716,0.0852925245063506,0.983764838875982,0.97262471178148,0.00595235201487113,0.97262471178148,0.0792104779257637,0.0784528273753274,0.0716811186344923,0.0372046939164186,0.0737626301697108,0.072435582442788,0.0126139206112481,0.0274245796630075,0.00595235201487113,0.970433114128138,0.010790856564177,0.0737631210323551,0.0743403383129413,0,0.0672021046466599,0.0174054793622905,0.0253321353366129,0.032783445634976,0.0149003980212397,0.0708505791203694,0.0836863919982457,0.0725668425364539,0.0846857020150471,0.0732806661223344,0.0331637784219823,0.0105110239733864,0.0180829279405809,0.0716811186344923,0.0836863919982457,0,0.0278308488072772,0.062208178152592,0.0737626301697108,0.0852925245063506,0.0846857020150471,0.0852925245063506,0.00993263801635724,0.0725668425364539,0.0784528273753274,0.0681975467147678,0,0.0180829279405809,0.0149003980212397,0.0129103893542283,0.0836863919982457,0.0743403383129413,0.0169586026933322,0.983764838875982,0.0149003980212397,0.00313803655144408,0.00362373464273764,0.072435582442788,0.0737526236257572,0.0672021046466599,0.971241425188835,0.971241425188835,0.0857558689542376,0.0862589516957419,0.0733988345439757,0.0119374671257752,0.0119374671257752,0.0672021046466599,0.0716811186344923,0.0740591639506628,0.0733988345439757,0.0253321353366129,0.00993263801635724,0.0372046939164186,0.970433114128138,0.0862589516957419,0.0636398070807261
"AMU",0.0169829797764623,0.0708505791203694,0,0.0152996026491241,0.0696177361276778,0.0652766961833736,0.949838623377387,0.0156420579173335,0.00422532135866293,0.0109194908151716,0.0771481575592115,0.0926528116341219,0.937939519879533,0.947367189468281,0.00523662838126183,0.0714033445505979,0.0739014715328373,0.0708505791203694,0.0109194908151716,0.014349634248721,0.0109194908151716,0.00587308287508085,0.0057716006828191,0.00523662838126183,0.0152996026491241,0.0601843378261113,0.0387145273171015,0.0976238217884053,0.949838623377387,0.0156420579173335,0.0601843378261113,0.00650401866054976,0.0920166802141659,0.947367189468281,0.0057716006828191,0.0754419622942003,0.00423353642088312,0.0771481575592115,0.0708505791203694,0.0714033445505979,0.0057716006828191,0.0156420579173335,0.947729586057298,0.936763087648431,0.0652766961833736,0.936763087648431,0.00837868364593728,0.0099789075440493,0.00483400246974728,0.0353776051073749,0.00423353642088312,0.00443304707875993,0.0832736046379187,0.0920166802141659,0.0652766961833736,0.934577855842032,0.0622834956186392,0.0263365040256245,0.00598911156778886,0.0708505791203694,0.0084986229092653,0.0541809928127103,0.0961736083096077,0.0387145273171015,0.0823018033101873,0,0.0138184087705569,0.00214096217337943,0.0144765022178812,0.00422532135866293,0.0976238217884053,0.0754419622942003,0.0888406758573933,0.00483400246974728,0.0138184087705569,0.0708505791203694,0.0926528116341219,0.0128558647237619,0.00423353642088312,0.0156420579173335,0.0144765022178812,0.0156420579173335,0.0612812679018106,0.00214096217337943,0.0099789075440493,0.00727446368519128,0.0708505791203694,0.0888406758573933,0.0823018033101873,0.057948202708097,0.0138184087705569,0.00598911156778886,0.0871827360217377,0.947729586057298,0.0823018033101873,0.0739014715328373,0.0696177361276778,0.00443304707875993,0.00522965129503752,0.0084986229092653,0.934583889733106,0.934583889733106,0.0169829797764623,0.0161453433180354,0.00619443905734801,0.0728462709604132,0.0728462709604132,0.0084986229092653,0.00483400246974728,0.00498877914680011,0.00619443905734801,0.0961736083096077,0.0612812679018106,0.0353776051073749,0.934577855842032,0.0161453433180354,0.0114312942116262
"AY9",0.0322000943102231,0.0599381927808845,0.0152996026491241,0,0.0581708727589144,0.0540910082496841,0.946908332238993,0.0306744667715272,0.0154221289604534,0.00497299238070422,0.0654058617157131,0.0794287729500858,0.934957785622847,0.944543454505085,0.0124975711739961,0.0598828221177355,0.0628332363292866,0.0599381927808845,0.00497299238070422,0.00117558156914312,0.00497299238070422,0.0177019059948055,0.0191790635133057,0.0124975711739961,0,0.0494108581078307,0.0271668981169348,0.084203692101075,0.946908332238993,0.0306744667715272,0.0494108581078307,0.0105130276352218,0.0787745495240064,0.944543454505085,0.0191790635133057,0.0630871136216172,0.016034049062774,0.0654058617157131,0.0599381927808845,0.0598828221177355,0.0191790635133057,0.0306744667715272,0.944875856053035,0.933861484309529,0.0540910082496841,0.933861484309529,0.0226253143150905,0.0252705426072837,0.0133809425822906,0.0228490332575425,0.016034049062774,0.0143455572390842,0.0719039413347459,0.0787745495240064,0.0540910082496841,0.931673793503003,0.0527334685270537,0.0374034446577926,0.0158078859625217,0.0599381927808845,0.00801679843156549,0.0446027392588878,0.085111705856944,0.0271668981169348,0.0727635185725801,0.0152996026491241,0.0288261984368741,0.0174384011829229,0.0292677416970327,0.0154221289604534,0.084203692101075,0.0630871136216172,0.0774847320619662,0.0133809425822906,0.0288261984368741,0.0599381927808845,0.0794287729500858,0.0026150460992787,0.016034049062774,0.0306744667715272,0.0292677416970327,0.0306744667715272,0.0510136457112782,0.0174384011829229,0.0252705426072837,0.0093114682999014,0.0599381927808845,0.0774847320619662,0.0727635185725801,0.047343766301033,0.0288261984368741,0.0158078859625217,0.0767701887677289,0.944875856053035,0.0727635185725801,0.0628332363292866,0.0581708727589144,0.0143455572390842,0.015463349304284,0.00801679843156549,0.931882193834901,0.931882193834901,0.0322000943102231,0.0309313813270957,0.0146298624478708,0.063947910641156,0.063947910641156,0.00801679843156549,0.0133809425822906,0.0159695896742881,0.0146298624478708,0.085111705856944,0.0510136457112782,0.0228490332575425,0.931673793503003,0.0309313813270957,0.00421228115810915
"B7D",0.0848724258683712,0.00362373464273764,0.0696177361276778,0.0581708727589144,0,0.004504021483097,0.982005785472112,0.0843138608765604,0.0718816825365253,0.0627826925844227,0.0076659374626733,0.0265826439667098,0.969917755577842,0.979967260235993,0.069459220627459,0.00181604364433174,0.00509174214323768,0.00362373464273764,0.0627826925844227,0.0593230220180899,0.0627826925844227,0.0743117628553897,0.0751240373364605,0.069459220627459,0.0581708727589144,0.00988183487337641,0.0311496146347348,0.0319717174643814,0.982005785472112,0.0843138608765604,0.00988183487337641,0.0677523527821175,0.0261117504890605,0.979967260235993,0.0751240373364605,0.00826270690697408,0.0723816004035116,0.0076659374626733,0.00362373464273764,0.00181604364433174,0.0751240373364605,0.0843138608765604,0.980208547083573,0.969066743878032,0.004504021483097,0.969066743878032,0.0779945611830695,0.0775135694840013,0.0702204462864519,0.0353341714321914,0.0723816004035116,0.0710044194728089,0.0137410217165766,0.0261117504890605,0.004504021483097,0.966875127211071,0.0121549534141125,0.0738260189190108,0.0728760492871409,0.00362373464273764,0.0655989677817593,0.0173589651466505,0.0269587094879089,0.0311496146347348,0.0182438439826083,0.0696177361276778,0.0826711243993938,0.0713935346693354,0.0836295571746093,0.0718816825365253,0.0319717174643814,0.00826270690697408,0.0193269103941254,0.0702204462864519,0.0826711243993938,0.00362373464273764,0.0265826439667098,0.0605062942346867,0.0723816004035116,0.0843138608765604,0.0836295571746093,0.0843138608765604,0.0101592396978083,0.0713935346693354,0.0775135694840013,0.0666387902973316,0.00362373464273764,0.0193269103941254,0.0182438439826083,0.0121924567891295,0.0826711243993938,0.0728760492871409,0.0194289072128045,0.980208547083573,0.0182438439826083,0.00509174214323768,0,0.0710044194728089,0.0723120206364286,0.0655989677817593,0.967692627360163,0.967692627360163,0.0848724258683712,0.085224793534249,0.071897991344717,0.0154479544477712,0.0154479544477712,0.0655989677817593,0.0702204462864519,0.0726432972594234,0.071897991344717,0.0269587094879089,0.0101592396978083,0.0353341714321914,0.966875127211071,0.085224793534249,0.0619727133479096
"BFX",0.080432141905815,0.00595235201487113,0.0652766961833736,0.0540910082496841,0.004504021483097,0,0.98089989682889,0.079896442172423,0.0676085348084268,0.0586418491974557,0.012164377922603,0.0308521951875722,0.968823361373574,0.978830918739774,0.0652245497838721,0.00631638909660773,0.00874223341971958,0.00595235201487113,0.0586418491974557,0.0552346844582017,0.0586418491974557,0.0700361408537518,0.0708130186536825,0.0652245497838721,0.0540910082496841,0.00537937571696215,0.026971475576277,0.0362439047077182,0.98089989682889,0.079896442172423,0.00537937571696215,0.0635431992116108,0.0303568001792187,0.978830918739774,0.0708130186536825,0.0122993208521027,0.0681006971114917,0.012164377922603,0.00595235201487113,0.00631638909660773,0.0708130186536825,0.079896442172423,0.979080685521882,0.967949574964623,0,0.967949574964623,0.0736494081962723,0.0730850471829518,0.065975116345626,0.0313121918260754,0.0681006971114917,0.0667455547390072,0.0179976729743294,0.0303568001792187,0,0.965758098507573,0.00877891552297917,0.0693477121891375,0.0686331300286113,0.00595235201487113,0.0614247409309143,0.012926122935419,0.0310505636300392,0.026971475576277,0.0204875043649123,0.0652766961833736,0.0782632293662118,0.0670318853810804,0.0792334284308746,0.0676085348084268,0.0362439047077182,0.0122993208521027,0.0235711738132197,0.065975116345626,0.0782632293662118,0.00595235201487113,0.0308521951875722,0.0563868652853672,0.0681006971114917,0.079896442172423,0.0792334284308746,0.079896442172423,0.00601537369713696,0.0670318853810804,0.0730850471829518,0.0624412094164727,0.00595235201487113,0.0235711738132197,0.0204875043649123,0.00768857822399417,0.0782632293662118,0.0686331300286113,0.0229073823060686,0.979080685521882,0.0204875043649123,0.00874223341971958,0.004504021483097,0.0667455547390072,0.0680578510701569,0.0614247409309143,0.966519093847983,0.966519093847983,0.080432141905815,0.0808226094657951,0.0676724958670503,0.0153958297900272,0.0153958297900272,0.0614247409309143,0.065975116345626,0.0683779007877312,0.0676724958670503,0.0310505636300392,0.00601537369713696,0.0313121918260754,0.965758098507573,0.0808226094657951,0.0578332874953676
"C23",0.95095860496795,0.985565530896357,0.949838623377387,0.946908332238993,0.982005785472112,0.98089989682889,0,0.948986130366508,0.945630967635313,0.945812020054887,0.984392440028963,0.979705868818543,0.0123461722671213,0.00707319731252861,0.945288979324074,0.982588206322343,0.986550553199777,0.985565530896357,0.945812020054887,0.946427481132889,0.945812020054887,0.944559609897686,0.945849166772994,0.945288979324074,0.946908332238993,0.979791306539244,0.964621611406629,0.97952308178891,0,0.948986130366508,0.979791306539244,0.945247413833621,0.979260816081977,0.00707319731252861,0.945849166772994,0.97944930709613,0.94572671721648,0.984392440028963,0.985565530896357,0.982588206322343,0.945849166772994,0.948986130366508,0.00520714055642898,0.0131824182330565,0.98089989682889,0.0131824182330565,0.946402780181094,0.952373145463942,0.945312816795737,0.95996027648871,0.94572671721648,0.94546296433196,0.990197122366882,0.979260816081977,0.98089989682889,0.0153346081524085,0.986125715217502,0.973899374834408,0.943874333937595,0.985565530896357,0.945243998158136,0.98047530875294,0.999884352938978,0.964621611406629,1,0.949838623377387,0.948786822198221,0.950166078604574,0.947497811849024,0.945630967635313,0.97952308178891,0.97944930709613,0.993490421677843,0.945312816795737,0.948786822198221,0.985565530896357,0.979705868818543,0.946528099150162,0.94572671721648,0.948986130366508,0.947497811849024,0.948986130366508,0.982605419077565,0.950166078604574,0.952373145463942,0.945442441150094,0.985565530896357,0.993490421677843,1,0.979131113436725,0.948786822198221,0.943874333937595,0.998503310013625,0.00520714055642898,1,0.986550553199777,0.982005785472112,0.94546296433196,0.944618617095206,0.945243998158136,0.020726856073245,0.020726856073245,0.95095860496795,0.947371651065757,0.94368382184745,0.996202734597628,0.996202734597628,0.945243998158136,0.945312816795737,0.94492613839569,0.94368382184745,0.999884352938978,0.982605419077565,0.95996027648871,0.0153346081524085,0.947371651065757,0.946231691526478
"CHC",0.00236829399662295,0.0852925245063506,0.0156420579173335,0.0306744667715272,0.0843138608765604,0.079896442172423,0.948986130366508,0,0.0155650277692902,0.0259263532043962,0.0919219258197658,0.107969489798814,0.937143764206673,0.946404748156343,0.0185460302283235,0.086118006170256,0.0883899264708496,0.0852925245063506,0.0259263532043962,0.0296333090281536,0.0259263532043962,0.0137362915878101,0.0118408795861661,0.0185460302283235,0.0306744667715272,0.0746788547069589,0.0538200003378402,0.112999953597894,0.948986130366508,0,0.0746788547069589,0.0205297389049868,0.10734096105013,0.946404748156343,0.0118408795861661,0.0904829458069791,0.0149385630747402,0.0919219258197658,0.0852925245063506,0.086118006170256,0.0118408795861661,0,0.946798166513322,0.93588438891919,0.079896442172423,0.93588438891919,0.00836185874732258,0.0068829182607264,0.0176660689760283,0.0507804587042428,0.0149385630747402,0.0166707456745407,0.0978379627477808,0.10734096105013,0.079896442172423,0.933702321220589,0.0761681151346882,0.0254312222860104,0.0158719607392495,0.0852925245063506,0.0230338537758586,0.06822704488669,0.11050961554241,0.0538200003378402,0.0959175905125205,0.0156420579173335,0.00184890148147666,0.0135581051151425,0.00198952743751735,0.0155650277692902,0.112999953597894,0.0904829458069791,0.103365658466058,0.0176660689760283,0.00184890148147666,0.0852925245063506,0.107969489798814,0.0281159128642069,0.0149385630747402,0,0.00198952743751735,0,0.075530460282817,0.0135581051151425,0.0068829182607264,0.0216681215111811,0.0852925245063506,0.103365658466058,0.0959175905125205,0.0723978473289696,0.00184890148147666,0.0158719607392495,0.101234149437901,0.946798166513322,0.0959175905125205,0.0883899264708496,0.0843138608765604,0.0166707456745407,0.0158721374817519,0.0230338537758586,0.933498510701029,0.933498510701029,0.00236829399662295,0.00165194298020064,0.0171107616875369,0.0862192200805086,0.0862192200805086,0.0230338537758586,0.0176660689760283,0.0152604621094055,0.0171107616875369,0.11050961554241,0.075530460282817,0.0507804587042428,0.933702321220589,0.00165194298020064,0.0265748431179152
"CKE",0.0173607194924154,0.0732806661223344,0.00422532135866293,0.0154221289604534,0.0718816825365253,0.0676085348084268,0.945630967635313,0.0155650277692902,0,0.0105146473494232,0.0793340504196337,0.0942810675948253,0.93373325472128,0.943156908449061,0.00299192213356097,0.0736485533994882,0.0762935276769226,0.0732806661223344,0.0105146473494232,0.0143154913029139,0.0105146473494232,0.00243210655570678,0.00378287106674527,0.00299192213356097,0.0154221289604534,0.0626184650963795,0.0407834243011964,0.0991626017911421,0.945630967635313,0.0155650277692902,0.0626184650963795,0.0049966442551988,0.0936358562870857,0.943156908449061,0.00378287106674527,0.0774072547263503,0.000627509399644971,0.0793340504196337,0.0732806661223344,0.0736485533994882,0.00378287106674527,0.0155650277692902,0.943520023460688,0.932554745688021,0.0676085348084268,0.932554745688021,0.00728096105547724,0.0114417267783761,0.00210400210429027,0.0370926740025261,0.000627509399644971,0.00110736952855706,0.0855932873658444,0.0936358562870857,0.0676085348084268,0.930369583392898,0.0650465583572167,0.0300848696250773,0.00176379186779986,0.0732806661223344,0.0075290268276409,0.0568994780616723,0.0986101643949253,0.0407834243011964,0.0851271897554894,0.00422532135866293,0.0137302569727487,0.00485214888579536,0.0139945603933675,0,0.0991626017911421,0.0774072547263503,0.0911745799682815,0.00210400210429027,0.0137302569727487,0.0732806661223344,0.0942810675948253,0.0128120865277747,0.000627509399644971,0.0155650277692902,0.0139945603933675,0.0155650277692902,0.063858544023271,0.00485214888579536,0.0114417267783761,0.00617119895323856,0.0732806661223344,0.0911745799682815,0.0851271897554894,0.0604201795893498,0.0137302569727487,0.00176379186779986,0.0897920178477019,0.943520023460688,0.0851271897554894,0.0762935276769226,0.0718816825365253,0.00110736952855706,0.00101464187532971,0.0075290268276409,0.930370893091194,0.930370893091194,0.0173607194924154,0.0156328590763749,0.0022279968564669,0.0757971710163039,0.0757971710163039,0.0075290268276409,0.00210400210429027,0.000854026741531628,0.0022279968564669,0.0986101643949253,0.063858544023271,0.0370926740025261,0.930369583392898,0.0156328590763749,0.0112251085623004
"D34",0.0275509707270027,0.0644468906105727,0.0109194908151716,0.00497299238070422,0.0627826925844227,0.0586418491974557,0.945812020054887,0.0259263532043962,0.0105146473494232,0,0.0700851202669743,0.0843391033017731,0.933877799216725,0.943412635114685,0.00755678991873161,0.0645120513783761,0.0673795777050227,0.0644468906105727,0,0.00382711994090201,0,0.0127524914222374,0.014291175205448,0.00755678991873161,0.00497299238070422,0.0538613636317554,0.0316713901416848,0.0891351050000376,0.945812020054887,0.0259263532043962,0.0538613636317554,0.00555742596401324,0.0836865605187249,0.943412635114685,0.014291175205448,0.0678680533525049,0.0111341461280248,0.0700851202669743,0.0644468906105727,0.0645120513783761,0.014291175205448,0.0259263532043962,0.943754730396205,0.932755518781689,0.0586418491974557,0.932755518781689,0.017767547986561,0.020853624724865,0.00844614286157169,0.0275389377362513,0.0111341461280248,0.0094240012928802,0.0765234349677877,0.0836865605187249,0.0586418491974557,0.930568560203331,0.0569181814390806,0.0350471107202416,0.010836919271687,0.0644468906105727,0.00304468781498177,0.0487565643339574,0.0896885833243346,0.0316713901416848,0.0770029786018044,0.0109194908151716,0.0240781808602761,0.0130130480930243,0.024451735129332,0.0105146473494232,0.0891351050000376,0.0678680533525049,0.0821086038044681,0.00844614286157169,0.0240781808602761,0.0644468906105727,0.0843391033017731,0.00237445618207163,0.0111341461280248,0.0259263532043962,0.024451735129332,0.0259263532043962,0.0553577524299701,0.0130130480930243,0.020853624724865,0.0043588992075274,0.0644468906105727,0.0821086038044681,0.0770029786018044,0.0517496744945186,0.0240781808602761,0.010836919271687,0.0812066385736806,0.943754730396205,0.0770029786018044,0.0673795777050227,0.0627826925844227,0.0094240012928802,0.0105074120286623,0.00304468781498177,0.930711694968095,0.930711694968095,0.0275509707270027,0.0261057214157651,0.00965695786535819,0.0680165957103797,0.0680165957103797,0.00304468781498177,0.00844614286157169,0.0110271934286163,0.00965695786535819,0.0896885833243346,0.0553577524299701,0.0275389377362513,0.930568560203331,0.0261057214157651,0.000810790274922554
