"","AB9","AJJ","AMU","AY9","B7D","BFX","C23","CHC","CKE","D34","DSD","DUB","DWH","DY7","DYG","E1F","ERD","F06","F3C","F6V","FCZ","FF2","FKB","G0A","GC2","GEB","GKN","H7Z","HAF","HAN","JAX","JEB","JGV","JPE","JUS","JZU","K4E","K71","M19","MBS","MK3","MYQ","N3A","N67","N6Q","NCW","ND3","NK4","NR7","P4Z","P5W","P64","PN5","QD1","QZM","R7H","S0H","S64","SNZ","SYE","T01","T1B","T4Y","T91","TDD","TM1","U0H","U0J","UNT","V1C","VCT","VSX","VWW","WCK","WQE","X1J","X2X","X4C","X9J","XTG","XVF","XXM","YCU","YGN","YX3","Z6V","Z8V","ZAT","ZGA","ZVF","ZVQ","ZWP","ZZQ","FUT","KE0","QVY","N64","W90","CV9","FGN","Y15","SSD","TUE","X58","KJ2","Q0Z","K3V","YBV","WT6","HE7","M9X","X2C","HGH","ME6","T0N","G2Y","Y9Y"
"AB9",0,0.758134291944245,3.88354438880677,0.533640301532163,2.94971603626728,0.395228798254875,2.49245385542338,1.07159627959741,1.67780912180264,1.64447270153505,1.351680755931,0.665746067313808,4.36905220458847,2.80631289516361,1.45806115948957,1.53952210594855,0.464557465581114,0.758134291944245,1.64447270153505,3.42806886012394,1.64447270153505,0.786836197912775,0.571458489911359,1.45806115948957,0.533640301532163,0.997455292702604,4.74374565402988,0.282550819827394,2.49245385542338,1.07159627959741,0.997455292702604,1.46831765965676,1.62821218066327,2.80631289516361,0.571458489911359,7.14164092682825,0.237367200800055,1.351680755931,0.758134291944245,1.53952210594855,0.571458489911359,1.07159627959741,2.83757583362408,3.78823420900244,0.395228798254875,3.78823420900244,7.14164092682825,1.65518561816482,2.09178491957871,4.40080090290305,0.237367200800055,1.69922321630646,2.32945657145583,1.62821218066327,0.395228798254875,1.81134051442716,1.17549418770456,1.40238891854155,6.4484937462683,0.758134291944245,0.448937029262986,0.425046153307271,0.354923976223169,4.74374565402988,0.919362322101838,3.88354438880677,1.06974913060765,1.09190747159629,1.72110592755596,1.67780912180264,0.282550819827394,7.14164092682825,4.09711848910483,2.09178491957871,1.06974913060765,0.758134291944245,0.665746067313808,0.690380927067055,0.237367200800055,1.07159627959741,1.72110592755596,1.07159627959741,1.88936749878162,1.09190747159629,1.65518561816482,2.52652040998699,0.758134291944245,4.09711848910483,0.919362322101838,0.586995525620349,1.06974913060765,6.4484937462683,2.32864389363784,2.83757583362408,0.919362322101838,0.464557465581114,2.94971603626728,1.69922321630646,0.969835950731367,0.448937029262986,5.75534656570836,5.75534656570836,0,1.30216273671815,3.55812198837214,4.74374565402988,4.74374565402988,0.448937029262986,2.09178491957871,0.975698000387339,3.55812198837214,0.354923976223169,1.88936749878162,4.40080090290305,1.81134051442716,1.30216273671815,2.52652040998699
"AJJ",0.758134291944245,0,3.12541009686252,0.224493990412082,2.19158174432304,0.36290549368937,1.73431956347914,0.313461987653167,0.919674829858394,0.886338409590802,0.593546463986751,0.0923882246304366,3.61091791264422,2.04817860321936,0.699926867545324,0.781387814004304,0.293576826363131,0,0.886338409590802,2.6699345681797,0.886338409590802,0.0287019059685303,0.186675802032886,0.699926867545324,0.224493990412082,0.239321000758359,3.98561136208563,0.475583472116851,1.73431956347914,0.313461987653167,0.239321000758359,0.710183367712512,0.870077888719022,2.04817860321936,0.186675802032886,6.38350663488401,0.9955014927443,0.593546463986751,0,0.781387814004304,0.186675802032886,0.313461987653167,2.07944154167984,3.0300999170582,0.36290549368937,3.0300999170582,6.38350663488401,0.897051326220573,1.33365062763447,3.6426666109588,0.9955014927443,0.941088924362212,1.57132227951159,0.870077888719022,0.36290549368937,1.05320622248292,0.417359895760313,2.16052321048579,5.69035945432406,0,0.309197262681259,0.333088138636974,0.403210315721076,3.98561136208563,0.161228030157593,3.12541009686252,0.311614838663408,0.333773179652047,0.962971635611719,0.919674829858394,0.475583472116851,6.38350663488401,3.33898419716058,1.33365062763447,0.311614838663408,0,0.0923882246304366,0.0677533648771895,0.9955014927443,0.313461987653167,0.962971635611719,0.313461987653167,1.13123320683738,0.333773179652047,0.897051326220573,1.76838611804275,0,3.33898419716058,0.161228030157593,0.171138766323896,0.311614838663408,5.69035945432406,1.5705096016936,2.07944154167984,0.161228030157593,0.293576826363131,2.19158174432304,0.941088924362212,0.211701658787122,0.309197262681259,4.99721227376411,4.99721227376411,0.758134291944245,0.544028444773904,2.79998769642789,3.98561136208563,3.98561136208563,0.309197262681259,1.33365062763447,0.217563708443095,2.79998769642789,0.403210315721076,1.13123320683738,3.6426666109588,1.05320622248292,0.544028444773904,1.76838611804275
"AMU",3.88354438880677,3.12541009686252,0,3.3499040872746,0.933828352539483,3.48831559055189,1.39109053338338,2.81194810920936,2.20573526700413,2.23907168727172,2.53186363287577,3.21779832149296,0.485507815781701,1.07723149364316,2.4254832293172,2.34402228285822,3.41898692322565,3.12541009686252,2.23907168727172,0.455475528682825,2.23907168727172,3.09670819089399,3.31208589889541,2.4254832293172,3.3499040872746,2.88608909610416,0.860201265223111,3.60099356897937,1.39109053338338,2.81194810920936,2.88608909610416,2.41522672915001,2.2553322081435,1.07723149364316,3.31208589889541,3.25809653802148,4.12091158960682,2.53186363287577,3.12541009686252,2.34402228285822,3.31208589889541,2.81194810920936,1.04596855518269,0.0953101798043248,3.48831559055189,0.0953101798043248,3.25809653802148,2.22835877064195,1.79175946922806,0.517256514096281,4.12091158960682,2.18432117250031,1.55408781735094,2.2553322081435,3.48831559055189,2.07220387437961,2.70805020110221,5.28593330734831,2.56494935746154,3.12541009686252,3.43460735954378,3.4584982354995,3.5286204125836,0.860201265223111,2.96418206670493,0,2.81379525819912,2.79163691721048,2.1624384612508,2.20573526700413,3.60099356897937,3.25809653802148,0.213574100298059,1.79175946922806,2.81379525819912,3.12541009686252,3.21779832149296,3.19316346173971,4.12091158960682,2.81194810920936,2.1624384612508,2.81194810920936,1.99417689002515,2.79163691721048,2.22835877064195,1.35702397881978,3.12541009686252,0.213574100298059,2.96418206670493,3.29654886318642,2.81379525819912,2.56494935746154,1.55490049516893,1.04596855518269,2.96418206670493,3.41898692322565,0.933828352539483,2.18432117250031,2.9137084380754,3.43460735954378,1.87180217690159,1.87180217690159,3.88354438880677,2.58138165208862,0.325422400434628,0.860201265223111,0.860201265223111,3.43460735954378,1.79175946922806,2.90784638841943,0.325422400434628,3.5286204125836,1.99417689002515,0.517256514096281,2.07220387437961,2.58138165208862,1.35702397881978
"AY9",0.533640301532163,0.224493990412082,3.3499040872746,0,2.41607573473512,0.138411503277288,1.95881355389122,0.537955978065249,1.14416882027048,1.11083240000288,0.818040454398833,0.132105765781645,3.83541190305631,2.27267259363145,0.924420857957406,1.00588180441639,0.0690828359510487,0.224493990412082,1.11083240000288,2.89442855859178,1.11083240000288,0.253195896380612,0.0378181883791964,0.924420857957406,0,0.463814991170441,4.21010535249772,0.251089481704769,1.95881355389122,0.537955978065249,0.463814991170441,0.934677358124594,1.0945718791311,2.27267259363145,0.0378181883791964,6.60800062529609,0.771007502332218,0.818040454398833,0.224493990412082,1.00588180441639,0.0378181883791964,0.537955978065249,2.30393553209192,3.25459390747028,0.138411503277288,3.25459390747028,6.60800062529609,1.12154531663266,1.55814461804655,3.86716060137089,0.771007502332218,1.16558291477429,1.79581626992367,1.0945718791311,0.138411503277288,1.277700212895,0.641853886172395,1.93602922007371,5.91485344473614,0.224493990412082,0.0847032722691772,0.108594148224892,0.178716325308994,4.21010535249772,0.385722020569675,3.3499040872746,0.53610882907549,0.558267170064129,1.1874656260238,1.14416882027048,0.251089481704769,6.60800062529609,3.56347818757266,1.55814461804655,0.53610882907549,0.224493990412082,0.132105765781645,0.156740625534892,0.771007502332218,0.537955978065249,1.1874656260238,0.537955978065249,1.35572719724946,0.558267170064129,1.12154531663266,1.99288010845483,0.224493990412082,3.56347818757266,0.385722020569675,0.053355224088186,0.53610882907549,5.91485344473614,1.79500359210568,2.30393553209192,0.385722020569675,0.0690828359510487,2.41607573473512,1.16558291477429,0.436195649199204,0.0847032722691772,5.2217062641762,5.2217062641762,0.533640301532163,0.768522435185986,3.02448168683998,4.21010535249772,4.21010535249772,0.0847032722691772,1.55814461804655,0.442057698855177,3.02448168683998,0.178716325308994,1.35572719724946,3.86716060137089,1.277700212895,0.768522435185986,1.99288010845483
"B7D",2.94971603626728,2.19158174432304,0.933828352539483,2.41607573473512,0,2.55448723801241,0.457262180843901,1.87811975666987,1.27190691446465,1.30524333473224,1.59803528033629,2.28396996895348,1.41933616832118,0.143403141103676,1.49165487677772,1.41019393031874,2.48515857068617,2.19158174432304,1.30524333473224,0.478352823856658,1.30524333473224,2.16287983835451,2.37825754635593,1.49165487677772,2.41607573473512,1.95226074356468,1.79402961776259,2.66716521643989,0.457262180843901,1.87811975666987,1.95226074356468,1.48139837661053,1.32150385560402,0.143403141103676,2.37825754635593,4.19192489056097,3.18708323706734,1.59803528033629,2.19158174432304,1.41019393031874,2.37825754635593,1.87811975666987,0.112140202643205,0.838518172735158,2.55448723801241,0.838518172735158,4.19192489056097,1.29453041810247,0.857931116688572,1.45108486663576,3.18708323706734,1.25049281996083,0.620259464811452,1.32150385560402,2.55448723801241,1.13837552184012,1.77422184856273,4.35210495480883,3.49877771000102,2.19158174432304,2.5007790070043,2.52466988296001,2.59479206004412,1.79402961776259,2.03035371416545,0.933828352539483,1.87996690565963,1.85780856467099,1.22861010871132,1.27190691446465,2.66716521643989,4.19192489056097,1.14740245283754,0.857931116688572,1.87996690565963,2.19158174432304,2.28396996895348,2.25933510920023,3.18708323706734,1.87811975666987,1.22861010871132,1.87811975666987,1.06034853748566,1.85780856467099,1.29453041810247,0.423195626280294,2.19158174432304,1.14740245283754,2.03035371416545,2.36272051064694,1.87996690565963,3.49877771000102,0.621072142629443,0.112140202643205,2.03035371416545,2.48515857068617,0,1.25049281996083,1.97988008553592,2.5007790070043,2.80563052944107,2.80563052944107,2.94971603626728,1.64755329954914,0.608405952104855,1.79402961776259,1.79402961776259,2.5007790070043,0.857931116688572,1.97401803587995,0.608405952104855,2.59479206004412,1.06034853748566,1.45108486663576,1.13837552184012,1.64755329954914,0.423195626280294
"BFX",0.395228798254875,0.36290549368937,3.48831559055189,0.138411503277288,2.55448723801241,0,2.09722505716851,0.676367481342536,1.28258032354776,1.24924390328017,0.956451957676121,0.270517269058933,3.97382340633359,2.41108409690873,1.06283236123469,1.14429330769367,0.0693286673262392,0.36290549368937,1.24924390328017,3.03284006186907,1.24924390328017,0.3916073996579,0.176229691656484,1.06283236123469,0.138411503277288,0.602226494447729,4.348516855775,0.112677978427481,2.09722505716851,0.676367481342536,0.602226494447729,1.07308886140188,1.23298338240839,2.41108409690873,0.176229691656484,6.74641212857338,0.63259599905493,0.956451957676121,0.36290549368937,1.14429330769367,0.176229691656484,0.676367481342536,2.44234703536921,3.39300541074757,0,3.39300541074757,6.74641212857338,1.25995681990994,1.69655612132384,4.00557210464817,0.63259599905493,1.30399441805158,1.93422777320096,1.23298338240839,0,1.41611171617229,0.780265389449683,1.79761771679642,6.05326494801343,0.36290549368937,0.0537082310081107,0.0298173550523959,0.0403048220317057,4.348516855775,0.524133523846963,3.48831559055189,0.674520332352778,0.696678673341417,1.32587712930109,1.28258032354776,0.112677978427481,6.74641212857338,3.70188969084995,1.69655612132384,0.674520332352778,0.36290549368937,0.270517269058933,0.29515212881218,0.63259599905493,0.676367481342536,1.32587712930109,0.676367481342536,1.49413870052675,0.696678673341417,1.25995681990994,2.13129161173212,0.36290549368937,3.70188969084995,0.524133523846963,0.191766727365474,0.674520332352778,6.05326494801343,1.93341509538297,2.44234703536921,0.524133523846963,0.0693286673262392,2.55448723801241,1.30399441805158,0.574607152476492,0.0537082310081107,5.36011776745348,5.36011776745348,0.395228798254875,0.906933938463274,3.16289319011726,4.348516855775,4.348516855775,0.0537082310081107,1.69655612132384,0.580469202132464,3.16289319011726,0.0403048220317057,1.49413870052675,4.00557210464817,1.41611171617229,0.906933938463274,2.13129161173212
"C23",2.49245385542338,1.73431956347914,1.39109053338338,1.95881355389122,0.457262180843901,2.09722505716851,0,1.42085757582597,0.814644733620745,0.847981153888337,1.14077309949239,1.82670778810958,1.87659834916508,0.313859039740224,1.03439269593381,0.952931749474835,2.02789638984227,1.73431956347914,0.847981153888337,0.935615004700558,0.847981153888337,1.70561765751061,1.92099536551202,1.03439269593381,1.95881355389122,1.49499856272078,2.25129179860649,2.20990303559599,0,1.42085757582597,1.49499856272078,1.02413619576663,0.864241674760117,0.313859039740224,1.92099536551202,4.64918707140487,2.72982105622344,1.14077309949239,1.73431956347914,0.952931749474835,1.92099536551202,1.42085757582597,0.345121978200696,1.29578035357906,2.09722505716851,1.29578035357906,4.64918707140487,0.837268237258566,0.400668935844672,1.90834704747966,2.72982105622344,0.793230639116927,0.162997283967552,0.864241674760117,2.09722505716851,0.681113340996222,1.31695966771883,3.89484277396493,3.95603989084492,1.73431956347914,2.0435168261604,2.06740770211611,2.13752987920021,2.25129179860649,1.57309153332155,1.39109053338338,1.42270472481573,1.40054638382709,0.77134792786742,0.814644733620745,2.20990303559599,4.64918707140487,1.60466463368144,0.400668935844672,1.42270472481573,1.73431956347914,1.82670778810958,1.80207292835633,2.72982105622344,1.42085757582597,0.77134792786742,1.42085757582597,0.603086356641763,1.40054638382709,0.837268237258566,0.0340665545636067,1.73431956347914,1.60466463368144,1.57309153332155,1.90545832980303,1.42270472481573,3.95603989084492,0.163809961785542,0.345121978200696,1.57309153332155,2.02789638984227,0.457262180843901,0.793230639116927,1.52261790469202,2.0435168261604,3.26289271028498,3.26289271028498,2.49245385542338,1.19029111870524,1.06566813294876,2.25129179860649,2.25129179860649,2.0435168261604,0.400668935844672,1.51675585503604,1.06566813294876,2.13752987920021,0.603086356641763,1.90834704747966,0.681113340996222,1.19029111870524,0.0340665545636067
"CHC",1.07159627959741,0.313461987653167,2.81194810920936,0.537955978065249,1.87811975666987,0.676367481342536,1.42085757582597,0,0.606212842205228,0.572876421937636,0.280084476333585,0.405850212283603,3.29745592499106,1.7347166155662,0.386464879892157,0.467925826351138,0.607038814016297,0.313461987653167,0.572876421937636,2.35647258052653,0.572876421937636,0.284760081684636,0.500137789686052,0.386464879892157,0.537955978065249,0.0741409868948075,3.67214937443247,0.789045459770017,1.42085757582597,0,0.0741409868948075,0.396721380059345,0.556615901065856,1.7347166155662,0.500137789686052,6.07004464723084,1.30896348039747,0.280084476333585,0.313461987653167,0.467925826351138,0.500137789686052,0,1.76597955402667,2.71663792940503,0.676367481342536,2.71663792940503,6.07004464723084,0.583589338567407,1.0201886399813,3.32920462330564,1.30896348039747,0.627626936709046,1.25786029185842,0.556615901065856,0.676367481342536,0.73974423482975,0.103897908107147,2.47398519813896,5.37689746667089,0.313461987653167,0.622659250334426,0.646550126290141,0.716672303374242,3.67214937443247,0.152233957495573,2.81194810920936,0.00184714898975891,0.0203111919988803,0.649509647958553,0.606212842205228,0.789045459770017,6.07004464723084,3.02552220950742,1.0201886399813,0.00184714898975891,0.313461987653167,0.405850212283603,0.381215352530356,1.30896348039747,0,0.649509647958553,0,0.817771219184209,0.0203111919988803,0.583589338567407,1.45492413038958,0.313461987653167,3.02552220950742,0.152233957495573,0.484600753977062,0.00184714898975891,5.37689746667089,1.25704761404043,1.76597955402667,0.152233957495573,0.607038814016297,1.87811975666987,0.627626936709046,0.101760328866044,0.622659250334426,4.68375028611095,4.68375028611095,1.07159627959741,0.230566457120737,2.48652570877473,3.67214937443247,3.67214937443247,0.622659250334426,1.0201886399813,0.095898279210072,2.48652570877473,0.716672303374242,0.817771219184209,3.32920462330564,0.73974423482975,0.230566457120737,1.45492413038958
"CKE",1.67780912180264,0.919674829858394,2.20573526700413,1.14416882027048,1.27190691446465,1.28258032354776,0.814644733620745,0.606212842205228,0,0.0333364202675916,0.326128365871643,1.01206305448883,2.69124308278583,1.12850377336097,0.21974796231307,0.13828701585409,1.21325165622152,0.919674829858394,0.0333364202675916,1.7502597383213,0.0333364202675916,0.890972923889864,1.10635063189128,0.21974796231307,1.14416882027048,0.680353829100035,3.06593653222724,1.39525830197524,0.814644733620745,0.606212842205228,0.680353829100035,0.209491462145882,0.049596941139372,1.12850377336097,1.10635063189128,5.46383180502561,1.91517632260269,0.326128365871643,0.919674829858394,0.13828701585409,1.10635063189128,0.606212842205228,1.15976671182144,2.1104250871998,1.28258032354776,2.1104250871998,5.46383180502561,0.0226235036378206,0.413975797776073,2.72299178110041,1.91517632260269,0.0214140945038181,0.651647449653193,0.049596941139372,1.28258032354776,0.133531392624523,0.502314934098081,3.08019804034419,4.77068462446567,0.919674829858394,1.22887209253965,1.25276296849537,1.32288514557947,3.06593653222724,0.758446799700801,2.20573526700413,0.608059991194986,0.585901650206347,0.0432968057533252,0,1.39525830197524,5.46383180502561,2.41930936730219,0.413975797776073,0.608059991194986,0.919674829858394,1.01206305448883,0.987428194735584,1.91517632260269,0.606212842205228,0.0432968057533252,0.606212842205228,0.211558376978981,0.585901650206347,0.0226235036378206,0.848711288184352,0.919674829858394,2.41930936730219,0.758446799700801,1.09081359618229,0.608059991194986,4.77068462446567,0.650834771835203,1.15976671182144,0.758446799700801,1.21325165622152,1.27190691446465,0.0214140945038181,0.707973171071272,1.22887209253965,4.07753744390572,4.07753744390572,1.67780912180264,0.37564638508449,1.8803128665695,3.06593653222724,3.06593653222724,1.22887209253965,0.413975797776073,0.7021111214153,1.8803128665695,1.32288514557947,0.211558376978981,2.72299178110041,0.133531392624523,0.37564638508449,0.848711288184352
"D34",1.64447270153505,0.886338409590802,2.23907168727172,1.11083240000288,1.30524333473224,1.24924390328017,0.847981153888337,0.572876421937636,0.0333364202675916,0,0.292791945604051,0.978726634221239,2.72457950305342,1.16184019362856,0.186411542045478,0.104950595586498,1.17991523595393,0.886338409590802,0,1.7835961585889,0,0.857636503622272,1.07301421162369,0.186411542045478,1.11083240000288,0.647017408832443,3.09927295249483,1.36192188170765,0.847981153888337,0.572876421937636,0.647017408832443,0.176155041878291,0.0162605208717803,1.16184019362856,1.07301421162369,5.4971682252932,1.8818399023351,0.292791945604051,0.886338409590802,0.104950595586498,1.07301421162369,0.572876421937636,1.19310313208903,2.1437615074674,1.24924390328017,2.1437615074674,5.4971682252932,0.010712916629771,0.447312218043665,2.756328201368,1.8818399023351,0.0547505147714098,0.684983869920785,0.0162605208717803,1.24924390328017,0.166867812892114,0.468978513830489,3.04686162007659,4.80402104473326,0.886338409590802,1.19553567227206,1.21942654822778,1.28954872531188,3.09927295249483,0.725110379433209,2.23907168727172,0.574723570927395,0.552565229938756,0.0766332260209168,0.0333364202675916,1.36192188170765,5.4971682252932,2.45264578756978,0.447312218043665,0.574723570927395,0.886338409590802,0.978726634221239,0.954091774467992,1.8818399023351,0.572876421937636,0.0766332260209168,0.572876421937636,0.244894797246573,0.552565229938756,0.010712916629771,0.882047708451943,0.886338409590802,2.45264578756978,0.725110379433209,1.0574771759147,0.574723570927395,4.80402104473326,0.684171192102794,1.19310313208903,0.725110379433209,1.17991523595393,1.30524333473224,0.0547505147714098,0.67463675080368,1.19553567227206,4.11087386417331,4.11087386417331,1.64447270153505,0.342309964816899,1.91364928683709,3.09927295249483,3.09927295249483,1.19553567227206,0.447312218043665,0.668774701147708,1.91364928683709,1.28954872531188,0.244894797246573,2.756328201368,0.166867812892114,0.342309964816899,0.882047708451943
