"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"A19",0,20.75,21.0833333333334,8.8333333333334,10.5833333333333,20.9166666666667,13,41.5833333333333,15.9166666666667,21.0833333333334,10.6666666666667,2.6666666666666,12.0833333333334,18.5,14,19,22,23.1666666666666,2.75,29.75,24.25,28.5,21.4166666666667,19.8333333333334,20.5833333333333,1.8333333333334,17.3333333333334,8.6666666666666,17,11.6666666666666,9.3333333333333,10.6666666666667,14.0833333333334,4.5,7.25,15.25,22.6666666666667,17.0833333333333,14.3333333333333,5.0833333333334,22.3333333333334,19.1666666666667,9.75,18.4166666666667,21,24.5,15.4166666666667,28.25,0.6666666666666,10.4166666666667,22.0833333333333,7.5833333333334,5.1666666666666,16.4166666666666,18.25,28.5,19.3333333333334,6.5833333333333,21.0833333333333,12.5,41.8333333333333,14.1666666666666,26.5,7.5,30.1666666666666,15.4166666666667,27,14.75,5.4166666666667,3.25,21.9166666666667,17.75,21.6666666666666,18.1666666666666,13.1666666666667,9.8333333333334,12.5,6.75,18.6666666666667,20.5833333333334,24,17.0833333333334,10.6666666666666,12.5833333333333,23.4166666666667,26.3333333333334,13.9166666666667,14.6666666666666,10.8333333333334,14.8333333333334,17.6666666666667,10.25,13.1666666666666,13.75,17.3333333333334,24.5833333333333,17.6666666666666,6.0833333333334,30.25,20.1666666666667,19.1666666666666,27,20.3333333333334,15.5833333333334,2.25,3.5833333333334,0.8333333333334,13.9166666666666,18.4166666666666,38.1666666666666,13.0833333333334,6.3333333333333,10.6666666666666,8.75,17.3333333333334,4.8333333333333,33.25,25.8333333333334,10.0833333333333,7.8333333333334,31.0833333333333,7,18.9166666666667,17.9166666666666,3.4166666666666,22.25,6.75,15.0833333333333,5.1666666666666,20.0833333333333,18.1666666666667,24.6666666666667,24.6666666666667,16.3333333333333,29.1666666666666,20,18,28,22.8333333333334,2.5833333333333,27.3333333333334,20.6666666666666,23.25,14.5833333333334,10.0833333333333,25.4166666666667,14.8333333333334,5.3333333333334,2.4166666666666
"A1J",20.75,0,41.8333333333334,29.5833333333334,10.1666666666667,41.6666666666667,7.75,20.8333333333333,36.6666666666667,41.8333333333334,31.4166666666667,18.0833333333334,32.8333333333334,2.25,6.75,1.75,1.25,2.4166666666666,18,9,45,49.25,42.1666666666667,40.5833333333334,0.1666666666667,22.5833333333334,38.0833333333334,12.0833333333334,37.75,9.0833333333334,11.4166666666667,31.4166666666667,34.8333333333334,16.25,28,5.5,43.4166666666667,3.6666666666667,6.4166666666667,25.8333333333334,43.0833333333334,39.9166666666667,11,39.1666666666667,41.75,45.25,36.1666666666667,7.5,20.0833333333334,31.1666666666667,1.3333333333333,28.3333333333334,15.5833333333334,4.3333333333334,2.5,49.25,40.0833333333334,14.1666666666667,0.3333333333333,33.25,21.0833333333333,6.5833333333334,5.75,13.25,9.4166666666666,36.1666666666667,47.75,35.5,26.1666666666667,24,42.6666666666667,3,0.9166666666666,2.5833333333334,33.9166666666667,30.5833333333334,33.25,27.5,39.4166666666667,41.3333333333334,44.75,37.8333333333334,10.0833333333334,8.1666666666667,44.1666666666667,47.0833333333334,34.6666666666667,6.0833333333334,31.5833333333334,35.5833333333334,38.4166666666667,31,7.5833333333334,34.5,38.0833333333334,3.8333333333333,3.0833333333334,26.8333333333334,9.5,40.9166666666667,1.5833333333334,6.25,41.0833333333334,36.3333333333334,18.5,24.3333333333334,21.5833333333334,6.8333333333334,2.3333333333334,17.4166666666666,33.8333333333334,14.4166666666667,10.0833333333334,29.5,38.0833333333334,15.9166666666667,12.5,46.5833333333334,10.6666666666667,28.5833333333334,10.3333333333333,27.75,39.6666666666667,2.8333333333334,17.3333333333334,1.5,27.5,5.6666666666667,15.5833333333334,0.6666666666667,38.9166666666667,45.4166666666667,45.4166666666667,4.4166666666667,8.4166666666666,40.75,2.75,48.75,43.5833333333334,18.1666666666667,48.0833333333334,0.0833333333333997,44,35.3333333333334,10.6666666666667,46.1666666666667,35.5833333333334,26.0833333333334,18.3333333333334
"AGQ",21.0833333333334,41.8333333333334,0,12.25,31.6666666666667,0.1666666666667,34.0833333333334,62.6666666666667,5.1666666666667,0,10.4166666666667,23.75,9,39.5833333333334,35.0833333333334,40.0833333333334,43.0833333333334,44.25,23.8333333333334,50.8333333333334,3.1666666666666,7.4166666666666,0.3333333333333,1.25,41.6666666666667,19.25,3.75,29.75,4.0833333333334,32.75,30.4166666666667,10.4166666666667,7,25.5833333333334,13.8333333333334,36.3333333333334,1.5833333333333,38.1666666666667,35.4166666666667,16,1.25,1.9166666666667,30.8333333333334,2.6666666666667,0.0833333333333997,3.4166666666666,5.6666666666667,49.3333333333334,21.75,10.6666666666667,43.1666666666667,13.5,26.25,37.5,39.3333333333334,7.4166666666666,1.75,27.6666666666667,42.1666666666667,8.5833333333334,62.9166666666667,35.25,47.5833333333334,28.5833333333334,51.25,5.6666666666667,5.9166666666666,6.3333333333334,15.6666666666667,17.8333333333334,0.8333333333333,38.8333333333334,42.75,39.25,7.9166666666667,11.25,8.5833333333334,14.3333333333334,2.4166666666667,0.5,2.9166666666666,4,31.75,33.6666666666667,2.3333333333333,5.25,7.1666666666667,35.75,10.25,6.25,3.4166666666667,10.8333333333334,34.25,7.3333333333334,3.75,45.6666666666667,38.75,15,51.3333333333334,0.9166666666667,40.25,48.0833333333334,0.75,5.5,23.3333333333334,17.5,20.25,35,39.5,59.25,8,27.4166666666667,31.75,12.3333333333334,3.75,25.9166666666667,54.3333333333334,4.75,31.1666666666667,13.25,52.1666666666667,14.0833333333334,2.1666666666667,39,24.5,43.3333333333334,14.3333333333334,36.1666666666667,26.25,41.1666666666667,2.9166666666667,3.5833333333333,3.5833333333333,37.4166666666667,50.25,1.0833333333334,39.0833333333334,6.9166666666666,1.75,23.6666666666667,6.25,41.75,2.1666666666666,6.5,31.1666666666667,4.3333333333333,6.25,15.75,23.5
"AGT",8.8333333333334,29.5833333333334,12.25,0,19.4166666666667,12.0833333333333,21.8333333333334,50.4166666666667,7.0833333333333,12.25,1.8333333333333,11.5,3.25,27.3333333333334,22.8333333333334,27.8333333333334,30.8333333333334,32,11.5833333333334,38.5833333333334,15.4166666666666,19.6666666666666,12.5833333333333,11,29.4166666666667,7,8.5,17.5,8.1666666666666,20.5,18.1666666666667,1.8333333333333,5.25,13.3333333333334,1.5833333333334,24.0833333333334,13.8333333333333,25.9166666666667,23.1666666666667,3.75,13.5,10.3333333333333,18.5833333333334,9.5833333333333,12.1666666666666,15.6666666666666,6.5833333333333,37.0833333333334,9.5,1.5833333333333,30.9166666666667,1.25,14,25.25,27.0833333333334,19.6666666666666,10.5,15.4166666666667,29.9166666666667,3.6666666666666,50.6666666666667,23,35.3333333333334,16.3333333333334,39,6.5833333333333,18.1666666666666,5.9166666666666,3.4166666666667,5.5833333333334,13.0833333333333,26.5833333333334,30.5,27,4.3333333333333,1,3.6666666666666,2.0833333333334,9.8333333333333,11.75,15.1666666666666,8.25,19.5,21.4166666666667,14.5833333333333,17.5,5.0833333333333,23.5,2,6,8.8333333333333,1.4166666666666,22,4.9166666666666,8.5,33.4166666666667,26.5,2.75,39.0833333333334,11.3333333333333,28,35.8333333333334,11.5,6.75,11.0833333333334,5.25,8,22.75,27.25,47,4.25,15.1666666666667,19.5,0.0833333333333997,8.5,13.6666666666667,42.0833333333334,17,18.9166666666667,1,39.9166666666667,1.8333333333334,10.0833333333333,26.75,12.25,31.0833333333334,2.0833333333334,23.9166666666667,14,28.9166666666667,9.3333333333333,15.8333333333333,15.8333333333333,25.1666666666667,38,11.1666666666666,26.8333333333334,19.1666666666666,14,11.4166666666667,18.5,29.5,14.4166666666666,5.75,18.9166666666667,16.5833333333333,6,3.5,11.25
"AJW",10.5833333333333,10.1666666666667,31.6666666666667,19.4166666666667,0,31.5,2.4166666666667,31,26.5,31.6666666666667,21.25,7.9166666666667,22.6666666666667,7.9166666666667,3.4166666666667,8.4166666666667,11.4166666666667,12.5833333333333,7.8333333333333,19.1666666666667,34.8333333333333,39.0833333333333,32,30.4166666666667,10,12.4166666666667,27.9166666666667,1.9166666666667,27.5833333333333,1.0833333333333,1.25,21.25,24.6666666666667,6.0833333333333,17.8333333333333,4.6666666666667,33.25,6.5,3.75,15.6666666666667,32.9166666666667,29.75,0.8333333333333,29,31.5833333333333,35.0833333333333,26,17.6666666666667,9.9166666666667,21,11.5,18.1666666666667,5.4166666666667,5.8333333333333,7.6666666666667,39.0833333333333,29.9166666666667,4,10.5,23.0833333333333,31.25,3.5833333333333,15.9166666666667,3.0833333333333,19.5833333333333,26,37.5833333333333,25.3333333333333,16,13.8333333333333,32.5,7.1666666666667,11.0833333333333,7.5833333333333,23.75,20.4166666666667,23.0833333333333,17.3333333333333,29.25,31.1666666666667,34.5833333333333,27.6666666666667,0.0833333333333002,2,34,36.9166666666667,24.5,4.0833333333333,21.4166666666667,25.4166666666667,28.25,20.8333333333333,2.5833333333333,24.3333333333333,27.9166666666667,14,7.0833333333333,16.6666666666667,19.6666666666667,30.75,8.5833333333333,16.4166666666667,30.9166666666667,26.1666666666667,8.3333333333333,14.1666666666667,11.4166666666667,3.3333333333333,7.8333333333333,27.5833333333333,23.6666666666667,4.25,0.0833333333333002,19.3333333333333,27.9166666666667,5.75,22.6666666666667,36.4166666666667,0.5,18.4166666666667,20.5,17.5833333333333,29.5,7.3333333333333,7.1666666666667,11.6666666666667,17.3333333333333,4.5,5.4166666666667,9.5,28.75,35.25,35.25,5.75,18.5833333333333,30.5833333333333,7.4166666666667,38.5833333333333,33.4166666666667,8,37.9166666666667,10.0833333333333,33.8333333333333,25.1666666666667,0.5,36,25.4166666666667,15.9166666666667,8.1666666666667
"ASY",20.9166666666667,41.6666666666667,0.1666666666667,12.0833333333333,31.5,0,33.9166666666667,62.5,5,0.1666666666667,10.25,23.5833333333333,8.8333333333333,39.4166666666667,34.9166666666667,39.9166666666667,42.9166666666667,44.0833333333333,23.6666666666667,50.6666666666667,3.3333333333333,7.5833333333333,0.5,1.0833333333333,41.5,19.0833333333333,3.5833333333333,29.5833333333333,3.9166666666667,32.5833333333333,30.25,10.25,6.8333333333333,25.4166666666667,13.6666666666667,36.1666666666667,1.75,38,35.25,15.8333333333333,1.4166666666667,1.75,30.6666666666667,2.5,0.0833333333333002,3.5833333333333,5.5,49.1666666666667,21.5833333333333,10.5,43,13.3333333333333,26.0833333333333,37.3333333333333,39.1666666666667,7.5833333333333,1.5833333333333,27.5,42,8.4166666666667,62.75,35.0833333333333,47.4166666666667,28.4166666666667,51.0833333333333,5.5,6.0833333333333,6.1666666666667,15.5,17.6666666666667,1,38.6666666666667,42.5833333333333,39.0833333333333,7.75,11.0833333333333,8.4166666666667,14.1666666666667,2.25,0.3333333333333,3.0833333333333,3.8333333333333,31.5833333333333,33.5,2.5,5.4166666666667,7,35.5833333333333,10.0833333333333,6.0833333333333,3.25,10.6666666666667,34.0833333333333,7.1666666666667,3.5833333333333,45.5,38.5833333333333,14.8333333333333,51.1666666666667,0.75,40.0833333333333,47.9166666666667,0.5833333333333,5.3333333333333,23.1666666666667,17.3333333333333,20.0833333333333,34.8333333333333,39.3333333333333,59.0833333333333,7.8333333333333,27.25,31.5833333333333,12.1666666666667,3.5833333333333,25.75,54.1666666666667,4.9166666666667,31,13.0833333333333,52,13.9166666666667,2,38.8333333333333,24.3333333333333,43.1666666666667,14.1666666666667,36,26.0833333333333,41,2.75,3.75,3.75,37.25,50.0833333333333,0.9166666666667,38.9166666666667,7.0833333333333,1.9166666666667,23.5,6.4166666666667,41.5833333333333,2.3333333333333,6.3333333333333,31,4.5,6.0833333333333,15.5833333333333,23.3333333333333
"AZE",13,7.75,34.0833333333334,21.8333333333334,2.4166666666667,33.9166666666667,0,28.5833333333333,28.9166666666667,34.0833333333334,23.6666666666667,10.3333333333334,25.0833333333334,5.5,1,6,9,10.1666666666666,10.25,16.75,37.25,41.5,34.4166666666667,32.8333333333334,7.5833333333333,14.8333333333334,30.3333333333334,4.3333333333334,30,1.3333333333334,3.6666666666667,23.6666666666667,27.0833333333334,8.5,20.25,2.25,35.6666666666667,4.0833333333333,1.3333333333333,18.0833333333334,35.3333333333334,32.1666666666667,3.25,31.4166666666667,34,37.5,28.4166666666667,15.25,12.3333333333334,23.4166666666667,9.0833333333333,20.5833333333334,7.8333333333334,3.4166666666666,5.25,41.5,32.3333333333334,6.4166666666667,8.0833333333333,25.5,28.8333333333333,1.1666666666666,13.5,5.5,17.1666666666666,28.4166666666667,40,27.75,18.4166666666667,16.25,34.9166666666667,4.75,8.6666666666666,5.1666666666666,26.1666666666667,22.8333333333334,25.5,19.75,31.6666666666667,33.5833333333334,37,30.0833333333334,2.3333333333334,0.4166666666667,36.4166666666667,39.3333333333334,26.9166666666667,1.6666666666666,23.8333333333334,27.8333333333334,30.6666666666667,23.25,0.1666666666666,26.75,30.3333333333334,11.5833333333333,4.6666666666666,19.0833333333334,17.25,33.1666666666667,6.1666666666666,14,33.3333333333334,28.5833333333334,10.75,16.5833333333334,13.8333333333334,0.9166666666666,5.4166666666666,25.1666666666666,26.0833333333334,6.6666666666667,2.3333333333334,21.75,30.3333333333334,8.1666666666667,20.25,38.8333333333334,2.9166666666667,20.8333333333334,18.0833333333333,20,31.9166666666667,4.9166666666666,9.5833333333334,9.25,19.75,2.0833333333333,7.8333333333334,7.0833333333333,31.1666666666667,37.6666666666667,37.6666666666667,3.3333333333333,16.1666666666666,33,5,41,35.8333333333334,10.4166666666667,40.3333333333334,7.6666666666666,36.25,27.5833333333334,2.9166666666667,38.4166666666667,27.8333333333334,18.3333333333334,10.5833333333334
"B5X",41.5833333333333,20.8333333333333,62.6666666666667,50.4166666666667,31,62.5,28.5833333333333,0,57.5,62.6666666666667,52.25,38.9166666666667,53.6666666666667,23.0833333333333,27.5833333333333,22.5833333333333,19.5833333333333,18.4166666666667,38.8333333333333,11.8333333333333,65.8333333333333,70.0833333333333,63,61.4166666666667,21,43.4166666666667,58.9166666666667,32.9166666666667,58.5833333333333,29.9166666666667,32.25,52.25,55.6666666666667,37.0833333333333,48.8333333333333,26.3333333333333,64.25,24.5,27.25,46.6666666666667,63.9166666666667,60.75,31.8333333333333,60,62.5833333333333,66.0833333333333,57,13.3333333333333,40.9166666666667,52,19.5,49.1666666666667,36.4166666666667,25.1666666666667,23.3333333333333,70.0833333333333,60.9166666666667,35,20.5,54.0833333333333,0.25,27.4166666666667,15.0833333333333,34.0833333333333,11.4166666666667,57,68.5833333333333,56.3333333333333,47,44.8333333333333,63.5,23.8333333333333,19.9166666666667,23.4166666666667,54.75,51.4166666666667,54.0833333333333,48.3333333333333,60.25,62.1666666666667,65.5833333333333,58.6666666666667,30.9166666666667,29,65,67.9166666666667,55.5,26.9166666666667,52.4166666666667,56.4166666666667,59.25,51.8333333333333,28.4166666666667,55.3333333333333,58.9166666666667,17,23.9166666666667,47.6666666666667,11.3333333333333,61.75,22.4166666666667,14.5833333333333,61.9166666666667,57.1666666666667,39.3333333333333,45.1666666666667,42.4166666666667,27.6666666666667,23.1666666666667,3.4166666666667,54.6666666666667,35.25,30.9166666666667,50.3333333333333,58.9166666666667,36.75,8.3333333333333,67.4166666666667,31.5,49.4166666666667,10.5,48.5833333333333,60.5,23.6666666666667,38.1666666666667,19.3333333333333,48.3333333333333,26.5,36.4166666666667,21.5,59.75,66.25,66.25,25.25,12.4166666666667,61.5833333333333,23.5833333333333,69.5833333333333,64.4166666666667,39,68.9166666666667,20.9166666666667,64.8333333333333,56.1666666666667,31.5,67,56.4166666666667,46.9166666666667,39.1666666666667
"C3P",15.9166666666667,36.6666666666667,5.1666666666667,7.0833333333333,26.5,5,28.9166666666667,57.5,0,5.1666666666667,5.25,18.5833333333333,3.8333333333333,34.4166666666667,29.9166666666667,34.9166666666667,37.9166666666667,39.0833333333333,18.6666666666667,45.6666666666667,8.3333333333333,12.5833333333333,5.5,3.9166666666667,36.5,14.0833333333333,1.4166666666667,24.5833333333333,1.0833333333333,27.5833333333333,25.25,5.25,1.8333333333333,20.4166666666667,8.6666666666667,31.1666666666667,6.75,33,30.25,10.8333333333333,6.4166666666667,3.25,25.6666666666667,2.5,5.0833333333333,8.5833333333333,0.5,44.1666666666667,16.5833333333333,5.5,38,8.3333333333333,21.0833333333333,32.3333333333333,34.1666666666667,12.5833333333333,3.4166666666667,22.5,37,3.4166666666667,57.75,30.0833333333333,42.4166666666667,23.4166666666667,46.0833333333333,0.5,11.0833333333333,1.1666666666667,10.5,12.6666666666667,6,33.6666666666667,37.5833333333333,34.0833333333333,2.75,6.0833333333333,3.4166666666667,9.1666666666667,2.75,4.6666666666667,8.0833333333333,1.1666666666667,26.5833333333333,28.5,7.5,10.4166666666667,2,30.5833333333333,5.0833333333333,1.0833333333333,1.75,5.6666666666667,29.0833333333333,2.1666666666667,1.4166666666667,40.5,33.5833333333333,9.8333333333333,46.1666666666667,4.25,35.0833333333333,42.9166666666667,4.4166666666667,0.3333333333333,18.1666666666667,12.3333333333333,15.0833333333333,29.8333333333333,34.3333333333333,54.0833333333333,2.8333333333333,22.25,26.5833333333333,7.1666666666667,1.4166666666667,20.75,49.1666666666667,9.9166666666667,26,8.0833333333333,47,8.9166666666667,3,33.8333333333333,19.3333333333333,38.1666666666667,9.1666666666667,31,21.0833333333333,36,2.25,8.75,8.75,32.25,45.0833333333333,4.0833333333333,33.9166666666667,12.0833333333333,6.9166666666667,18.5,11.4166666666667,36.5833333333333,7.3333333333333,1.3333333333333,26,9.5,1.0833333333333,10.5833333333333,18.3333333333333
"C8A",21.0833333333334,41.8333333333334,0,12.25,31.6666666666667,0.1666666666667,34.0833333333334,62.6666666666667,5.1666666666667,0,10.4166666666667,23.75,9,39.5833333333334,35.0833333333334,40.0833333333334,43.0833333333334,44.25,23.8333333333334,50.8333333333334,3.1666666666666,7.4166666666666,0.3333333333333,1.25,41.6666666666667,19.25,3.75,29.75,4.0833333333334,32.75,30.4166666666667,10.4166666666667,7,25.5833333333334,13.8333333333334,36.3333333333334,1.5833333333333,38.1666666666667,35.4166666666667,16,1.25,1.9166666666667,30.8333333333334,2.6666666666667,0.0833333333333997,3.4166666666666,5.6666666666667,49.3333333333334,21.75,10.6666666666667,43.1666666666667,13.5,26.25,37.5,39.3333333333334,7.4166666666666,1.75,27.6666666666667,42.1666666666667,8.5833333333334,62.9166666666667,35.25,47.5833333333334,28.5833333333334,51.25,5.6666666666667,5.9166666666666,6.3333333333334,15.6666666666667,17.8333333333334,0.8333333333333,38.8333333333334,42.75,39.25,7.9166666666667,11.25,8.5833333333334,14.3333333333334,2.4166666666667,0.5,2.9166666666666,4,31.75,33.6666666666667,2.3333333333333,5.25,7.1666666666667,35.75,10.25,6.25,3.4166666666667,10.8333333333334,34.25,7.3333333333334,3.75,45.6666666666667,38.75,15,51.3333333333334,0.9166666666667,40.25,48.0833333333334,0.75,5.5,23.3333333333334,17.5,20.25,35,39.5,59.25,8,27.4166666666667,31.75,12.3333333333334,3.75,25.9166666666667,54.3333333333334,4.75,31.1666666666667,13.25,52.1666666666667,14.0833333333334,2.1666666666667,39,24.5,43.3333333333334,14.3333333333334,36.1666666666667,26.25,41.1666666666667,2.9166666666667,3.5833333333333,3.5833333333333,37.4166666666667,50.25,1.0833333333334,39.0833333333334,6.9166666666666,1.75,23.6666666666667,6.25,41.75,2.1666666666666,6.5,31.1666666666667,4.3333333333333,6.25,15.75,23.5
