"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"A19",0,40,24,21,42,32,44,40,44,4,31,35,40,45,36,41,45,45,32,43,35,13,34,41,40,31,38,33,33,44,45,20,30,42,41,38,1,37,41,34,2,31,45,39,19,21,42,44,43,32,34,44,24,45,41,11,3,43,45,35,39,43,40,32,43,40,25,41,40,41,22,46,45,43,32,36,31,21,26,44,37,25,44,30,28,37,33,39,7,5,26,27,44,41,41,43,41,43,30,32,40,45,29,20,3,43,33,40,44,43,38,44,38,36,14,45,44,42,34,43,43,29,43,43,43,37,37,38,34,45,24,28,38,43,41,13,43,44,21,41,34,38,2,31,42,40,1,42,38
"A1J",40,0,16,19,2,8,4,0,4,36,9,5,0,5,4,1,5,5,8,3,5,27,6,1,0,9,2,7,7,4,5,20,10,2,1,2,41,3,1,6,38,9,5,1,59,61,2,4,3,8,6,4,16,5,1,29,43,3,5,5,1,3,0,8,3,0,15,1,0,1,18,6,5,3,8,4,9,19,14,4,3,65,4,10,12,3,7,1,33,45,14,13,4,1,1,3,1,3,10,8,0,5,11,20,43,3,7,0,4,3,2,4,2,4,26,5,4,2,6,3,3,11,3,3,3,3,3,2,6,5,16,12,2,3,1,27,3,4,19,1,6,2,38,9,2,0,39,2,2
"AGQ",24,16,0,3,18,8,20,16,20,20,7,11,16,21,12,17,21,21,8,19,11,11,10,17,16,7,14,9,9,20,21,4,6,18,17,14,25,13,17,10,22,7,21,15,43,45,18,20,19,8,10,20,0,21,17,13,27,19,21,11,15,19,16,8,19,16,1,17,16,17,2,22,21,19,8,12,7,3,2,20,13,49,20,6,4,13,9,15,17,29,2,3,20,17,17,19,17,19,6,8,16,21,5,4,27,19,9,16,20,19,14,20,14,12,10,21,20,18,10,19,19,5,19,19,19,13,13,14,10,21,0,4,14,19,17,11,19,20,3,17,10,14,22,7,18,16,23,18,14
"AGT",21,19,3,0,21,11,23,19,23,17,10,14,19,24,15,20,24,24,11,22,14,8,13,20,19,10,17,12,12,23,24,1,9,21,20,17,22,16,20,13,19,10,24,18,40,42,21,23,22,11,13,23,3,24,20,10,24,22,24,14,18,22,19,11,22,19,4,20,19,20,1,25,24,22,11,15,10,0,5,23,16,46,23,9,7,16,12,18,14,26,5,6,23,20,20,22,20,22,9,11,19,24,8,1,24,22,12,19,23,22,17,23,17,15,7,24,23,21,13,22,22,8,22,22,22,16,16,17,13,24,3,7,17,22,20,8,22,23,0,20,13,17,19,10,21,19,20,21,17
"AJW",42,2,18,21,0,10,2,2,2,38,11,7,2,3,6,1,3,3,10,1,7,29,8,1,2,11,4,9,9,2,3,22,12,0,1,4,43,5,1,8,40,11,3,3,61,63,0,2,1,10,8,2,18,3,1,31,45,1,3,7,3,1,2,10,1,2,17,1,2,1,20,4,3,1,10,6,11,21,16,2,5,67,2,12,14,5,9,3,35,47,16,15,2,1,1,1,1,1,12,10,2,3,13,22,45,1,9,2,2,1,4,2,4,6,28,3,2,0,8,1,1,13,1,1,1,5,5,4,8,3,18,14,4,1,1,29,1,2,21,1,8,4,40,11,0,2,41,0,4
"ASY",32,8,8,11,10,0,12,8,12,28,1,3,8,13,4,9,13,13,0,11,3,19,2,9,8,1,6,1,1,12,13,12,2,10,9,6,33,5,9,2,30,1,13,7,51,53,10,12,11,0,2,12,8,13,9,21,35,11,13,3,7,11,8,0,11,8,7,9,8,9,10,14,13,11,0,4,1,11,6,12,5,57,12,2,4,5,1,7,25,37,6,5,12,9,9,11,9,11,2,0,8,13,3,12,35,11,1,8,12,11,6,12,6,4,18,13,12,10,2,11,11,3,11,11,11,5,5,6,2,13,8,4,6,11,9,19,11,12,11,9,2,6,30,1,10,8,31,10,6
"AZE",44,4,20,23,2,12,0,4,0,40,13,9,4,1,8,3,1,1,12,1,9,31,10,3,4,13,6,11,11,0,1,24,14,2,3,6,45,7,3,10,42,13,1,5,63,65,2,0,1,12,10,0,20,1,3,33,47,1,1,9,5,1,4,12,1,4,19,3,4,3,22,2,1,1,12,8,13,23,18,0,7,69,0,14,16,7,11,5,37,49,18,17,0,3,3,1,3,1,14,12,4,1,15,24,47,1,11,4,0,1,6,0,6,8,30,1,0,2,10,1,1,15,1,1,1,7,7,6,10,1,20,16,6,1,3,31,1,0,23,3,10,6,42,13,2,4,43,2,6
"B5X",40,0,16,19,2,8,4,0,4,36,9,5,0,5,4,1,5,5,8,3,5,27,6,1,0,9,2,7,7,4,5,20,10,2,1,2,41,3,1,6,38,9,5,1,59,61,2,4,3,8,6,4,16,5,1,29,43,3,5,5,1,3,0,8,3,0,15,1,0,1,18,6,5,3,8,4,9,19,14,4,3,65,4,10,12,3,7,1,33,45,14,13,4,1,1,3,1,3,10,8,0,5,11,20,43,3,7,0,4,3,2,4,2,4,26,5,4,2,6,3,3,11,3,3,3,3,3,2,6,5,16,12,2,3,1,27,3,4,19,1,6,2,38,9,2,0,39,2,2
"C3P",44,4,20,23,2,12,0,4,0,40,13,9,4,1,8,3,1,1,12,1,9,31,10,3,4,13,6,11,11,0,1,24,14,2,3,6,45,7,3,10,42,13,1,5,63,65,2,0,1,12,10,0,20,1,3,33,47,1,1,9,5,1,4,12,1,4,19,3,4,3,22,2,1,1,12,8,13,23,18,0,7,69,0,14,16,7,11,5,37,49,18,17,0,3,3,1,3,1,14,12,4,1,15,24,47,1,11,4,0,1,6,0,6,8,30,1,0,2,10,1,1,15,1,1,1,7,7,6,10,1,20,16,6,1,3,31,1,0,23,3,10,6,42,13,2,4,43,2,6
"C8A",4,36,20,17,38,28,40,36,40,0,27,31,36,41,32,37,41,41,28,39,31,9,30,37,36,27,34,29,29,40,41,16,26,38,37,34,5,33,37,30,2,27,41,35,23,25,38,40,39,28,30,40,20,41,37,7,7,39,41,31,35,39,36,28,39,36,21,37,36,37,18,42,41,39,28,32,27,17,22,40,33,29,40,26,24,33,29,35,3,9,22,23,40,37,37,39,37,39,26,28,36,41,25,16,7,39,29,36,40,39,34,40,34,32,10,41,40,38,30,39,39,25,39,39,39,33,33,34,30,41,20,24,34,39,37,9,39,40,17,37,30,34,2,27,38,36,3,38,34
