"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"A19",0,8.6662492282067,1.4269815631006,1.7682768914645,6.423126418453,4.1682185700719,3.517294721564,6.4401308070191,7.389903627411,5.3264258020881,3.1992074378906,4.3865342204554,3.1692779417625,0.205302514238401,7.4683737235177,2.1369568192454,5.4539375131335,3.9081578737598,5.320613734614,4.9644357864656,6.4014631915866,2.9473628911742,2.7500907491481,5.7622063326366,9.7398759985883,0.899692873204799,0.2019616819281,0.700237395487299,3.4590665794038,4.947273379377,2.3473992750215,6.2138605160835,5.4603908898335,8.3597130387788,1.0374113626543,0.212929037020302,5.2696238525001,4.1606861799921,3.5637336998527,2.1041040290631,1.2374041760477,6.2204430528587,5.2674771155879,4.0828592096753,2.9578524178263,0.213490845356699,6.3571809231879,2.957818096213,4.1614471022511,2.0031152153814,2.5726775199026,6.6095051942699,5.7080529673346,7.3343033385085,3.673927650212,2.5775404059671,5.4107605547935,3.949868008371,5.8374820298777,1.6335404609682,3.6229543757625,2.0167420551374,0.958667480104399,8.1223618848545,3.1592204727704,7.6416362612718,7.2195411217221,1.2487791184146,8.7874722242277,4.6269555291859,5.4979985400172,3.1939112146456,1.8039199381696,1.5592866286598,1.3858901758554,3.3437677151776,4.523365521023,2.3147388646047,1.8400265435033,4.7539661426592,2.9404539104382,1.9601095566947,6.3960078418982,4.8788997277398,4.0987269796901,2.9415195903826,3.4737218525265,0.1262865132767,0.681735226533199,0.822796075594699,0.222211598034498,3.4647421520308,0.907818634498099,3.0016093163486,7.1023473783265,3.8134773531721,4.9202732779901,5.9285942577668,5.5960283447573,0.0427080646939011,0.717992518634802,6.4683510773311,1.3068463267795,3.6587011468995,3.537229574176,19.8854115217684,0.885627484350099,7.1706823829923,0.537181484775598,4.8479695287695,0.421531690517899,4.4261693435662,8.0007446104938,5.0596371100045,2.2420861117081,5.7170508020881,0.693635659130699,1.3592443107406,2.099119254469,3.1311753427087,0.4221308629349,6.8207598625517,1.965902060441,0.766802581243301,11.3545624263198,6.0110911652659,4.3726522796294,0.264231567901501,0.623079878416199,5.9514258020881,1.2908714843076,5.8312122807155,2.7720123786609,5.094038312845,3.327504607702,1.0915355533422,3.4891766180254,5.7938532490437,2.3652968643016,8.4068393121891,1.1188866979119,4.3498633020881,2.6542177088392,2.4925237427011,10.5084981712689,1.6753533428552,2.6960451703931,1.1129642556836,3.4676874722528
"A1J",8.6662492282067,0,7.2392676651061,10.4345261196712,15.0893756466597,4.4980306581348,12.1835439497707,2.2261184211876,16.0561528556177,3.3398234261186,5.4670417903161,4.2797150077513,5.4969712864442,8.8715517424451,16.1346229517244,6.5292924089613,3.2123117150732,12.5744071019665,3.3456354935927,3.7018134417411,15.0677124197933,5.7188863370325,5.9161584790586,14.4284555608433,1.0736267703816,7.7665563550019,8.8682109101348,7.9660118327194,5.2071826488029,3.7189758488297,11.0136485032282,14.8801097442902,3.2058583383732,17.0259622669855,9.703660590861,8.879178265227,3.3966253757066,12.8269354081988,5.102515528354,6.5621451991436,7.428845052159,14.8866922810654,3.3987721126188,4.5833900185314,5.7083968103804,8.45275838285,2.3090683050188,5.7084311319937,12.8276963304578,6.6631340128253,6.0935717083041,15.2757544224766,14.3743021955413,1.3319458896982,4.9923215779947,6.0887088222396,3.2554886734132,4.7163812198357,14.5037312580844,7.0327087672385,5.0432948524442,6.6495071730693,7.7075817481023,0.5438873433522,11.8254697009771,1.0246129669349,1.4467081064846,7.4174701097921,17.4537214524344,13.2932047573926,14.1642477682239,5.4723380135611,10.4701691663763,10.2255358568665,7.2803590523513,5.3224815130291,4.1428837071837,10.9809880928114,6.8262226847034,3.9122830855475,5.7257953177685,6.706139671512,2.2702413863085,3.7873495004669,4.5675222485166,5.7247296378241,5.1925273756802,8.7925357414834,9.3479844547399,9.4890453038014,8.4440376301722,12.1309913802375,7.7584305937086,5.6646399118581,1.5639018498802,12.4797265813788,3.7459759502166,2.7376549704399,3.0702208834494,8.7089572929006,9.3842417468415,2.1978981508756,7.3594029014272,5.0075480813072,12.2034788023827,28.5516607499751,9.5518767125568,1.4955668452144,8.1290677434311,13.5142187569762,8.2447175376888,4.2400798846405,0.665504617712898,3.6066121182022,6.4241631164986,2.9491984261186,9.3598848873374,7.3070049174661,6.5671299737377,11.7974245709154,9.0883800911416,15.4870090907584,6.7003471677657,7.8994466469634,20.0208116545265,2.6551580629408,13.0389015078361,8.9304807961082,8.0431693497905,2.7148234261186,9.9571207125143,2.8350369474912,5.8942368495458,3.5722109153617,11.9937538359087,7.5747136748645,5.1770726101813,2.872395979163,6.3009523639051,0.259409916017599,9.7851359261186,4.3163859261186,6.0120315193675,6.1737254855056,1.8422489430622,6.9908958853515,5.9702040578136,9.7792134838903,5.1985617559539
"AGQ",1.4269815631006,7.2392676651061,0,3.1952584545651,7.8501079815536,2.7412370069713,4.9442762846646,5.0131492439185,8.8168851905116,3.8994442389875,1.77222587479,2.9595526573548,1.7422963786619,1.632284077339,8.8953552866183,0.709975256144798,4.0269559500329,5.3351394368604,3.8936321715134,3.537454223365,7.8284447546872,1.5203813280736,1.3231091860475,7.1891878957372,8.3128944354877,0.527288689895801,1.6289432450287,0.726744167613301,2.0320850163032,3.5202918162764,3.7743808381221,7.6408420791841,4.0334093267329,9.7866946018794,2.4643929257549,1.6399106001209,3.8426422893995,5.5876677430927,2.1367521367521,0.677122465962498,0.1895773870529,7.6474246159593,3.8404955524873,2.6558776465747,1.5308708547257,1.2134907177439,4.9301993600873,1.5308365331124,5.5884286653517,0.576133652280799,1.145695956802,8.0364867573705,7.1350345304352,5.9073217754079,2.2469460871114,1.1505588428665,3.9837789916929,2.5228864452704,7.2644635929783,0.206558897867598,2.1959728126619,0.589760492036799,0.468314082996201,6.6953803217539,4.586202035871,6.2146546981712,5.7925595586215,0.178202444686001,10.2144537873283,6.0539370922865,6.9249801031178,1.766929651545,3.2309015012702,2.9862681917604,0.0410913872451992,1.916786152077,3.0963839579224,3.7417204277053,0.413044980402699,3.3269845795586,1.5134723473376,0.5331279935941,4.9690262787976,3.4519181646392,2.6717454165895,1.514538027282,2.0467402894259,1.5532680763773,2.1087167896338,2.2497776386953,1.2047699650661,4.8917237151314,0.519162928602501,1.574627753248,5.6753658152259,5.2404589162727,3.4932917148895,4.5016126946662,4.1690467816567,1.4696896277945,2.1449740817354,5.0413695142305,0.120135236321101,2.2317195837989,4.9642111372766,21.312393084869,2.3126090474507,5.7437008198917,0.889800078325003,6.2749510918701,1.0054498725827,2.9991877804656,6.5737630473932,3.6326555469039,0.815104548607501,4.2900692389875,2.1206172222313,0.0677372523600006,0.672137691368398,4.5581569058093,1.8491124260355,8.2477414256523,0.538920497340399,0.6601789818573,12.7815439894204,4.5841096021653,5.79963384273,1.6912131310021,0.803901684684401,4.5244442389875,2.7178530474082,4.4042307176149,1.3450308155603,3.6670567497444,4.7544861708026,0.3354460097584,2.0621950549248,4.3668716859431,0.938315301200998,6.9798577490885,2.5458682610125,2.9228817389875,1.2272361457386,1.0655421796005,9.0815166081683,0.248371779754599,1.2690636072925,2.5399458187842,2.0407059091522
"AGT",1.7682768914645,10.4345261196712,3.1952584545651,0,4.6548495269885,5.9364954615364,1.7490178300995,8.2084076984836,5.6216267359465,7.0947026935526,4.9674843293551,6.1548111119199,4.937554833227,1.5629743772261,5.7000968320532,3.9052337107099,7.222214404598,2.1398809822953,7.0888906260785,6.7327126779301,4.63318630012211,4.7156397826387,4.5183676406126,3.9939294411721,11.5081528900528,2.6679697646693,1.5663152095364,2.4685142869518,5.2273434708683,6.7155502708415,0.579122383557003,4.445583624619,7.228667781298,6.5914361473143,0.730865528810199,1.5553478544442,7.0379007439646,2.3924092885276,5.3320105913172,3.8723809205276,3.0056810675122,4.4521661613942,7.0357540070524,5.8511361011398,4.7261293092908,1.9817677368212,8.1254578146524,4.7260949876775,2.3931702107866,3.7713921068459,4.3409544113671,4.8412283028054,3.9397760758701,9.102580229973,5.4422045416765,4.3458172974316,7.179037446258,5.7181448998355,4.0692051384132,3.4018173524327,5.391231267227,3.7850189466019,2.7269443715689,9.890638776319,1.3909435813059,9.4099131527363,8.9878180131866,3.0170560098791,7.0191953327632,2.8586786377214,3.7297216485527,4.9621881061101,0.0356430467051005,0.208990262804697,3.1541670673199,5.1120446066421,6.2916424124875,0.5464619731402,3.6083034349678,6.5222430341237,4.7087308019027,3.7283864481592,8.1642847333627,6.6471766192043,5.8670038711546,4.7097964818471,5.241998743991,1.6419903781878,1.0865416649313,0.9454808158698,1.990488489499,1.6964652605663,2.6760955259626,4.7698862078131,8.870624269791,2.0452004617076,6.6885501694546,7.6968711492313,7.3643052362218,1.7255688267706,1.0502843728297,8.2366279687956,3.075123218244,5.426978038364,1.7689526827115,18.1171346303039,0.8826494071144,8.9389592744568,2.3054583762401,3.079692637305,2.1898085819824,6.1944462350307,9.7690215019583,6.827914001469,4.0103630031726,7.4853276935526,1.0746412323338,3.1275212022051,3.8673961459335,1.3628984512442,1.3461460285296,5.0524829710872,3.7341789519055,2.5350794727078,9.5862855348553,7.7793680567304,2.6043753881649,1.504045323563,2.3913567698807,7.7197026935526,0.477405407156898,7.59948917218,4.5402892701254,6.8623152043095,1.5592277162375,2.8598124448067,5.2574535094899,7.5621301405082,4.1335737557661,10.1751162036536,0.649390193552598,6.1181401935526,4.4224946003037,4.2608006341656,12.2767750627334,3.4436302343197,4.4643220618576,0.655312635780898,5.2359643637173
"AJW",6.423126418453,15.0893756466597,7.8501079815536,4.6548495269885,0,10.5913449885249,2.905831696889,12.8632572254721,0.966777208958,11.7495522205411,9.6223338563436,10.8096606389084,9.5924043602155,6.2178239042146,1.0452473050647,8.5600832376984,11.8770639315865,2.5149685446932,11.743740153067,11.3875622049186,0.0216632268663943,9.3704893096272,9.1732171676011,0.6609200858164,16.1630024170413,7.3228192916578,6.2211647365249,7.1233638139403,9.8821929978568,11.37039979783,4.0757271434315,0.209265902369495,11.8835173082865,1.93658662032581,5.3857150557987,6.2101973814327,11.6927502709531,2.2624402384609,9.9868601183057,8.5272304475161,7.6605305945007,0.202683365594297,11.6906035340409,10.5059856281283,9.3809788362793,6.6366172638097,12.7803073416409,9.380944514666,2.2616793162019,8.4262416338344,8.9958039383556,0.186378775816905,0.7150734511184,13.7574297569615,10.097054068665,9.0006668244201,11.8338869732465,10.372994426824,0.585644388575297,8.0566668794212,10.0460807942155,8.4398684735904,7.3817938985574,14.5454883033075,3.2639059456826,14.0647626797248,13.6426675401751,7.6719055368676,2.3643458057747,1.7961708892671,0.925127878435795,9.6170376330986,4.6192064802834,4.8638397897932,7.8090165943084,9.7668941336306,10.946491939476,4.1083875538483,8.2631529619563,11.1770925611122,9.3635803288912,8.3832359751477,12.8191342603512,11.3020261461928,10.5218533981431,9.3646460088356,9.8968482709795,6.2968399051763,5.7413911919198,5.6003303428583,6.6453380164875,2.9583842664222,7.3309450529511,9.4247357348016,13.5254737967795,2.6096490652809,11.3433996964431,12.3517206762198,12.0191547632103,6.3804183537591,5.7051338998182,12.8914774957841,7.7299727452325,10.0818275653525,2.885896844277,13.4622851033154,5.5374989341029,13.5938088014453,6.9603079032286,1.5751568896835,6.8446581089709,10.8492957620192,14.4238710289468,11.4827635284575,8.6652125301611,12.1401772205411,5.7294907593223,7.7823707291936,8.522245672922,3.2919510757443,6.0009955555181,0.397633444098702,8.389028478894,7.1899289996963,4.9314360078668,12.4342175837189,2.0504741388236,6.1588948505515,7.0462062968692,12.3745522205411,5.1322549341454,12.2543386991685,9.1951387971139,11.517164731298,3.095621810751,7.5146619717952,9.9123030364784,12.2169796674967,8.7884232827546,14.8299657306421,5.3042397205411,10.7729897205411,9.0773441272922,8.9156501611541,16.9316245897219,8.0984797613082,9.1191715888461,5.3101621627694,9.8908138907058
"ASY",4.1682185700719,4.4980306581348,2.7412370069713,5.9364954615364,10.5913449885249,0,7.6855132916359,2.2719122369472,11.5581221974829,1.1582072320162,0.969011132181301,0.218315650383499,0.998940628309402,4.3735210843103,11.6365922935896,2.0312617508265,1.2857189430616,8.0763764438317,1.1523951645421,0.7962172163937,10.5696817616585,1.2208556788977,1.4181278209238,9.9304249027085,5.5716574285164,3.2685256968671,4.370180252,3.4679811745846,0.709151990668101,0.779054809305098,6.5156178450934,10.3820790861554,1.2921723197616,12.5279316088507,5.2056299327262,4.3811476070922,1.1014052824282,8.328904750064,0.604484870219199,2.0641145410088,2.9308143940242,10.3886616229306,1.099258545516,0.0853593603966019,1.2103661522456,3.9547277247152,2.188962353116,1.2104004738589,8.329665672323,2.1651033546905,1.5955410501693,10.7777237643418,9.8762715374065,3.1660847684366,0.4942909198599,1.5906781641048,1.2425419847216,0.218350561700902,10.0057005999496,2.5346781091037,0.5452641943094,2.1514765149345,3.2095510899675,3.9541433147826,7.3274390428423,3.4734176911999,3.0513225516502,2.9194394516573,12.9556907942996,8.7951740992578,9.6662171100891,0.974307355426301,5.9721385082415,5.7275051987317,2.7823283942165,0.824450854894302,0.355146950951099,6.4829574346766,2.3281920265686,0.585747572587298,1.2277646596337,2.2081090133772,2.2277892718263,0.710681157667899,0.0694915903818014,1.2266989796893,0.694496717545402,4.2945050833486,4.8499537966051,4.9910146456666,3.9460069720374,7.6329607221027,3.2603999355738,1.1666092537233,2.9341288082546,7.981695923244,0.752054707918198,1.7603756876949,1.4278097746854,4.2109266347658,4.8862110887067,2.3001325072592,2.8613722432924,0.509517423172401,7.7054481442479,24.0536300918403,5.053846054422,3.0024638129204,3.6310370852963,9.0161880988414,3.746686879554,0.257950773494301,3.8325260404219,0.891418539932598,1.9261324583638,1.5488322320162,4.8618542292026,2.8089742593313,2.0690993156029,7.2993939127806,4.5903494330068,10.9889784326236,2.2023165096309,3.4014159888286,15.5227809963917,1.842872595194,8.5408708497013,4.4324501379734,3.5451386916557,1.7832072320162,5.4590900543795,1.6629937106436,1.396206191411,0.925819742773101,7.4957231777739,3.0766830167297,0.6790419520465,1.6256346789718,1.8029217057703,4.2386207421172,5.2871052679838,0.181644732016199,1.5140008612327,1.6756948273708,6.340279601197,2.4928652272167,1.4721733996788,5.2811828257555,0.700531097819102
"AZE",3.517294721564,12.1835439497707,4.9442762846646,1.7490178300995,2.905831696889,7.6855132916359,0,9.9574255285831,3.872608905847,8.8437205236521,6.7165021594546,7.9038289420194,6.6865726633265,3.3119922073256,3.9510790019537,5.6542515408094,8.9712322346975,0.390863152195802,8.837908456178,8.4817305080296,2.8841684700226,6.4646576127382,6.2673854707121,2.2449116110726,13.2571707201523,4.4169875947688,3.3153330396359,4.2175321170513,6.9763613009678,8.464568100941,1.1698954465425,2.6965657945195,8.9776856113975,4.8424183172148,2.4798833589097,3.3043656845437,8.7869185740641,0.643391458428102,7.0810284214167,5.6213987506271,4.7546988976117,2.7031483312947,8.7847718371519,7.6001539312393,6.4751471393903,3.7307855669207,9.8744756447519,6.475112817777,0.6441523806871,5.5204099369454,6.0899722414666,3.0922104727059,2.1907582457706,10.8515980600725,7.191222371776,6.0948351275311,8.9280552763575,7.467162729935,2.3201873083137,5.1508351825322,7.1402490973265,5.5340367767014,4.4759622016684,11.6396566064185,0.358074248793599,11.1589309828358,10.7368358432861,4.7660738399786,5.2701775026637,1.1096608076219,1.9807038184532,6.7112059362096,1.7133747833944,1.9580080929042,4.9031848974194,6.8610624367416,8.040660242587,1.2025558569593,5.3573212650673,8.2712608642232,6.4577486320022,5.4774042782587,9.9133025634622,8.3961944493038,7.6160217012541,6.4588143119466,6.9910165740905,3.3910082082873,2.8355594950308,2.6944986459693,3.7395063195985,0.0525525695331979,4.4251133560621,6.5189040379126,10.6196420998905,0.296182631608101,8.4375679995541,9.4458889793308,9.1133230663213,3.4745866568701,2.7993022029292,9.9856457988951,4.8241410483435,7.1759958684635,0.0199348526119998,16.3681168002044,2.6316672372139,10.6879771045563,4.0544762063396,1.3306748072055,3.9388264120819,7.9434640651302,11.5180393320578,8.5769318315685,5.7593808332721,9.2343455236521,2.8236590624333,4.8765390323046,5.616413976033,0.386119378855298,3.0951638586291,3.3034651409877,5.483196782005,4.2840973028073,7.8372677047558,9.5283858868299,0.8553575580654,3.2530631536625,4.1403745999802,9.4687205236521,2.2264232372564,9.3485070022795,6.2893071002249,8.611333034409,0.189790113861999,4.6088302749062,7.0064713395894,9.3111479706077,5.8825915858656,11.9241340337531,2.3984080236521,7.8671580236521,6.1715124304032,6.0098184642651,14.0257928928329,5.1926480644192,6.2133398919571,2.4043304658804,6.9849821938168
"B5X",6.4401308070191,2.2261184211876,5.0131492439185,8.2084076984836,12.8632572254721,2.2719122369472,9.9574255285831,0,13.8300344344301,1.113705004931,3.2409233691285,2.0535965865637,3.2708528652566,6.6454333212575,13.9085045305368,4.3031739877737,0.986193293885599,10.3482886807789,1.1195170724051,1.4756950205535,12.8415939986057,3.4927679158449,3.690040057871,12.2023371396557,3.2997451915692,5.5404379338143,6.6420924889472,5.7398934115318,2.9810642276153,1.4928574276421,8.7875300820406,12.6539913231026,0.979739917185601,14.7998438457979,7.4775421696734,6.6530598440394,1.170506954519,10.6008169870112,2.8763971071664,4.336026777956,5.2027266309714,12.6605738598778,1.1726536914312,2.3572715973438,3.4822783891928,6.2266399616624,0.0829498838311977,3.4823127108061,10.6015779092702,4.4370155916377,3.8674532871165,13.049636001289,12.1481837743537,0.894172531489399,2.7662031568071,3.862590401052,1.0293702522256,2.4902627986481,12.2776128368968,4.8065903460509,2.8171764312566,4.4233887518817,5.4814633269147,1.6822310778354,9.5993512797895,1.2015054542527,0.779410314703,5.1913516886045,15.2276030312468,11.067086336205,11.9381293470363,3.2462195923735,8.2440507451887,7.9994174356789,5.0542406311637,3.0963630918415,1.9167652859961,8.7548696716238,4.6001042635158,1.6861646643599,3.4996768965809,4.4800212503244,0.0441229651208985,1.5612310792793,2.341403827329,3.4986112166365,2.9664089544926,6.5664173202958,7.1218660335523,7.2629268826138,6.2179192089846,9.9048729590499,5.532312172521,3.4385214906705,0.6622165713074,10.2536081601912,1.519857529029,0.511536549252298,0.844102462261798,6.482838871713,7.1581233256539,0.0282202703120014,5.1332844802396,2.7814296601196,9.9773603811951,26.3255423287875,7.3257582913692,0.730551575973202,5.9029493222435,11.2881003357886,6.0185991165012,2.0139614634529,1.5606138034747,1.3804936970146,4.198044695311,0.723080004930999,7.1337664661498,5.0808864962785,4.3410115525501,9.5713061497278,6.862261669954,13.2608906695708,4.4742287465781,5.6733282257758,17.7946932333389,0.429039641753199,10.8127830866485,6.7043623749206,5.8170509286029,0.488705004930999,7.7310022913267,0.608918526303601,3.6681184283582,1.3460924941741,9.7676354147211,5.3485952536769,2.9509541889937,0.646277557975399,4.0748339427175,1.96670850517,7.559017504931,2.090267504931,3.7859130981799,3.947607064318,4.0683673642498,4.7647774641639,3.744085636626,7.5530950627027,2.9724433347663
"C3P",7.389903627411,16.0561528556177,8.8168851905116,5.6216267359465,0.966777208958,11.5581221974829,3.872608905847,13.8300344344301,0,12.7163294294991,10.5891110653016,11.7764378478664,10.5591815691735,7.1846011131726,0.0784700961066989,9.5268604466564,12.8438411405445,3.4817457536512,12.710517362025,12.3543394138766,0.988440435824394,10.3372665185852,10.1399943765591,1.6276972947744,17.1297796259993,8.2895965006158,7.1879419454829,8.0901410228983,10.8489702068148,12.337177006788,5.0425043523895,1.17604311132749,12.8502945172445,0.969809411367805,6.3524922647567,7.1769745903907,12.6595274799111,3.2292174474189,10.9536373272637,9.4940076564741,8.6273078034587,1.1694605745523,12.6573807429989,11.4727628370863,10.3477560452373,7.6033944727677,13.7470845505989,10.347721723624,3.2284565251599,9.3930188427924,9.9625811473136,0.780398433141094,1.6818506600764,14.7242069659195,11.063831277623,9.9674440333781,12.8006641822045,11.339771635782,1.5524215975333,9.0234440883792,11.0128580031735,9.4066456825484,8.3485711075154,15.5122655122655,4.2306831546406,15.0315398886828,14.6094447491331,8.6386827458256,1.3975685968167,2.7629480982251,1.89190508739379,10.5838148420566,5.5859836892414,5.8306169987512,8.7757938032664,10.7336713425886,11.913269148434,5.0751647628063,9.2299301709143,12.1438697700702,10.3303575378492,9.3500131841057,13.7859114693092,12.2688033551508,11.4886306071011,10.3314232177936,10.8636254799375,7.2636171141343,6.7081684008778,6.5671075518163,7.6121152254455,3.9251614753802,8.2977222619091,10.3915129437596,14.4922510057375,3.5764262742389,12.3101769054011,13.3184978851778,12.9859319721683,7.3471955627171,6.6719111087762,13.8582547047421,8.6967499541905,11.0486047743105,3.852674053235,12.4955078943574,6.5042761430609,14.5605860104033,7.9270851121866,2.5419340986415,7.8114353179289,11.8160729709772,15.3906482379048,12.4495407374155,9.6319897391191,13.1069544294991,6.6962679682803,8.7491479381516,9.48902288188,4.2587282847023,6.9677727644761,0.569143764859298,9.355805687852,8.1567062086543,3.9646587989088,13.4009947926769,3.0172513477816,7.1256720595095,8.0129835058272,13.3413294294991,6.0990321431034,13.2211159081265,10.1619160060719,12.483941940256,4.062399019709,8.4814391807532,10.8790802454364,13.1837568764547,9.7552004917126,15.7967429396001,6.2710169294991,11.7397669294991,10.0441213362502,9.8824273701121,17.8984017986799,9.0652569702662,10.0859487978041,6.2769393717274,10.8575910996638
"C8A",5.3264258020881,3.3398234261186,3.8994442389875,7.0947026935526,11.7495522205411,1.1582072320162,8.8437205236521,1.113705004931,12.7163294294991,0,2.1272183641975,0.9398915816327,2.1571478603256,5.5317283163265,12.7947995256058,3.1894689828427,0.1275117110454,9.2345836758479,0.00581206747409979,0.361990015622499,11.7278889936747,2.3790629109139,2.57633505294,11.0886321347247,4.4134501965002,4.4267329288833,5.5283874840162,4.6261884066008,1.8673592226843,0.379152422711101,7.6738250771096,11.5402863181716,0.133965087745398,13.6861388408669,6.3638371647424,5.5393548391084,0.0568019495879994,9.4871119820802,1.7626921022354,3.222321773025,4.0890216260404,11.5468688549468,0.0589486865002016,1.2435665924128,2.3685733842618,5.1129349567314,1.0307551210998,2.3686077058751,9.4878729043392,3.3233105867067,2.7537482821855,11.935930996358,11.0344787694227,2.0078775364204,1.6524981518761,2.748885396121,0.0843347527053986,1.3765577937171,11.1639078319658,3.6928853411199,1.7034714263256,3.3096837469507,4.3677583219837,2.7959360827664,8.4856462748585,2.3152104591837,1.893115319634,4.0776466836735,14.1138980263158,9.953381331274,10.8244243421053,2.1325145874425,7.1303457402577,6.8857124307479,3.9405356262327,1.9826580869105,0.8030602810651,7.6411646666928,3.4863992585848,0.572459659428901,2.3859718916499,3.3663162453934,1.0695820398101,0.4475260743483,1.227698822398,2.3849062117055,1.8527039495616,5.4527123153648,6.0081610286213,6.1492218776828,5.1042142040536,8.7911679541189,4.41860716759,2.3248164857395,1.7759215762384,9.1399031552602,0.406152524098001,0.602168455678701,0.269602542669201,5.369133866782,6.0444183207229,1.141925275243,4.0195794753086,1.6677246551886,8.8636553762641,25.2118373238565,6.2120532864382,1.8442565809042,4.7892443173125,10.1743953308576,4.9048941115702,0.900256458521898,2.6743188084057,0.266788692083601,3.08433969038,0.390625,6.0200614612188,3.9671814913475,3.2273065476191,8.4576011447968,5.748556665023,12.1471856646398,3.3605237416471,4.5596232208448,16.6809882284079,0.6846653631778,9.6990780817175,5.5906573699896,4.7033459236719,0.625,6.6172972863957,0.504786478627398,2.5544134234272,0.232387489243099,8.6539304097901,4.2348902487459,1.8372491840627,0.4674274469556,2.9611289377865,3.080413510101,6.4453125,0.9765625,2.6722080932489,2.833902059387,5.1820723691808,3.6510724592329,2.630380631695,6.4393900577717,1.8587383298353
