"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"A19",0,9,8,4,0,8,6,6,4,0,7,11,3,10,6,11,11,6,10,9,0,0,11,0,11,6,9,6,6,11,8,2,0,8,6,5,0,11,11,4,0,2,11,5,4,2,8,11,6,5,11,10,6,6,9,2,3,10,10,2,10,8,9,6,11,11,0,10,5,0,0,7,10,11,0,6,11,0,11,10,0,6,9,10,0,11,6,11,5,5,5,2,9,10,11,8,9,11,9,0,11,11,11,11,0,2,11,2,6,9,11,6,10,2,0,6,11,1,6,9,8,0,0,5,11,10,0,2,7,11,0,4,2,8,11,4,6,2,9,11,2,10,2,5,4,11,0,9,10
"A1J",9,0,1,5,9,1,3,3,5,9,2,2,12,1,3,2,2,3,1,0,9,9,2,9,2,3,0,3,15,2,1,11,9,1,3,4,9,2,2,13,9,11,2,4,13,7,1,2,3,4,2,1,3,3,0,7,12,1,1,11,1,1,0,3,2,2,9,1,4,9,9,2,1,2,9,3,2,9,2,1,9,3,0,1,9,2,3,2,14,14,14,7,0,1,2,1,0,2,0,9,2,2,2,2,9,7,2,7,3,0,2,3,1,7,9,3,2,8,3,0,1,9,9,4,2,1,9,11,16,2,9,13,11,1,2,13,3,11,0,2,7,1,11,4,5,2,9,0,1
"AGQ",8,1,0,4,8,0,2,2,4,8,1,3,11,2,2,3,3,2,2,1,8,8,3,8,3,2,1,2,14,3,0,10,8,0,2,3,8,3,3,12,8,10,3,3,12,6,0,3,2,3,3,2,2,2,1,6,11,2,2,10,2,0,1,2,3,3,8,2,3,8,8,1,2,3,8,2,3,8,3,2,8,2,1,2,8,3,2,3,13,13,13,6,1,2,3,0,1,3,1,8,3,3,3,3,8,6,3,6,2,1,3,2,2,6,8,2,3,7,2,1,0,8,8,3,3,2,8,10,15,3,8,12,10,0,3,12,2,10,1,3,6,2,10,3,4,3,8,1,2
"AGT",4,5,4,0,4,4,2,2,0,4,3,7,7,6,2,7,7,2,6,5,4,4,7,4,7,2,5,2,10,7,4,6,4,4,2,1,4,7,7,8,4,6,7,1,8,2,4,7,2,1,7,6,2,2,5,2,7,6,6,6,6,4,5,2,7,7,4,6,1,4,4,3,6,7,4,2,7,4,7,6,4,2,5,6,4,7,2,7,9,9,9,2,5,6,7,4,5,7,5,4,7,7,7,7,4,2,7,2,2,5,7,2,6,2,4,2,7,3,2,5,4,4,4,1,7,6,4,6,11,7,4,8,6,4,7,8,2,6,5,7,2,6,6,1,0,7,4,5,6
"AJW",0,9,8,4,0,8,6,6,4,0,7,11,3,10,6,11,11,6,10,9,0,0,11,0,11,6,9,6,6,11,8,2,0,8,6,5,0,11,11,4,0,2,11,5,4,2,8,11,6,5,11,10,6,6,9,2,3,10,10,2,10,8,9,6,11,11,0,10,5,0,0,7,10,11,0,6,11,0,11,10,0,6,9,10,0,11,6,11,5,5,5,2,9,10,11,8,9,11,9,0,11,11,11,11,0,2,11,2,6,9,11,6,10,2,0,6,11,1,6,9,8,0,0,5,11,10,0,2,7,11,0,4,2,8,11,4,6,2,9,11,2,10,2,5,4,11,0,9,10
"ASY",8,1,0,4,8,0,2,2,4,8,1,3,11,2,2,3,3,2,2,1,8,8,3,8,3,2,1,2,14,3,0,10,8,0,2,3,8,3,3,12,8,10,3,3,12,6,0,3,2,3,3,2,2,2,1,6,11,2,2,10,2,0,1,2,3,3,8,2,3,8,8,1,2,3,8,2,3,8,3,2,8,2,1,2,8,3,2,3,13,13,13,6,1,2,3,0,1,3,1,8,3,3,3,3,8,6,3,6,2,1,3,2,2,6,8,2,3,7,2,1,0,8,8,3,3,2,8,10,15,3,8,12,10,0,3,12,2,10,1,3,6,2,10,3,4,3,8,1,2
"AZE",6,3,2,2,6,2,0,0,2,6,1,5,9,4,0,5,5,0,4,3,6,6,5,6,5,0,3,0,12,5,2,8,6,2,0,1,6,5,5,10,6,8,5,1,10,4,2,5,0,1,5,4,0,0,3,4,9,4,4,8,4,2,3,0,5,5,6,4,1,6,6,1,4,5,6,0,5,6,5,4,6,0,3,4,6,5,0,5,11,11,11,4,3,4,5,2,3,5,3,6,5,5,5,5,6,4,5,4,0,3,5,0,4,4,6,0,5,5,0,3,2,6,6,1,5,4,6,8,13,5,6,10,8,2,5,10,0,8,3,5,4,4,8,1,2,5,6,3,4
"B5X",6,3,2,2,6,2,0,0,2,6,1,5,9,4,0,5,5,0,4,3,6,6,5,6,5,0,3,0,12,5,2,8,6,2,0,1,6,5,5,10,6,8,5,1,10,4,2,5,0,1,5,4,0,0,3,4,9,4,4,8,4,2,3,0,5,5,6,4,1,6,6,1,4,5,6,0,5,6,5,4,6,0,3,4,6,5,0,5,11,11,11,4,3,4,5,2,3,5,3,6,5,5,5,5,6,4,5,4,0,3,5,0,4,4,6,0,5,5,0,3,2,6,6,1,5,4,6,8,13,5,6,10,8,2,5,10,0,8,3,5,4,4,8,1,2,5,6,3,4
"C3P",4,5,4,0,4,4,2,2,0,4,3,7,7,6,2,7,7,2,6,5,4,4,7,4,7,2,5,2,10,7,4,6,4,4,2,1,4,7,7,8,4,6,7,1,8,2,4,7,2,1,7,6,2,2,5,2,7,6,6,6,6,4,5,2,7,7,4,6,1,4,4,3,6,7,4,2,7,4,7,6,4,2,5,6,4,7,2,7,9,9,9,2,5,6,7,4,5,7,5,4,7,7,7,7,4,2,7,2,2,5,7,2,6,2,4,2,7,3,2,5,4,4,4,1,7,6,4,6,11,7,4,8,6,4,7,8,2,6,5,7,2,6,6,1,0,7,4,5,6
"C8A",0,9,8,4,0,8,6,6,4,0,7,11,3,10,6,11,11,6,10,9,0,0,11,0,11,6,9,6,6,11,8,2,0,8,6,5,0,11,11,4,0,2,11,5,4,2,8,11,6,5,11,10,6,6,9,2,3,10,10,2,10,8,9,6,11,11,0,10,5,0,0,7,10,11,0,6,11,0,11,10,0,6,9,10,0,11,6,11,5,5,5,2,9,10,11,8,9,11,9,0,11,11,11,11,0,2,11,2,6,9,11,6,10,2,0,6,11,1,6,9,8,0,0,5,11,10,0,2,7,11,0,4,2,8,11,4,6,2,9,11,2,10,2,5,4,11,0,9,10
