"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","A_S"
"1","A19","STP","M","MESTIZO",47.1666666666667,27.3967383020881,36.325,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,72,0,3,22430,2,1,1,46
"2","A1J","BA6","F","AFROCOLOMBIAN",67.9166666666667,18.7304890738814,17.95,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",17,6,0,10,10393,2,2,2,6
"3","AGQ","MJX","M","EMBERA",26.0833333333333,25.9697567389875,37.575,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",15,18,0,2,830,2,1,2,22
"4","AGT","TRZ","M","MESTIZO",38.3333333333333,29.1650151935526,60.1,"NONE","NEVER","NEVER","NO",7,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",18,145,0,6,25610,2,2,2,25
"5","AJW","BHJ","F","AFROCOLOMBIAN",57.75,33.8198647205411,25.05,"CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",17,0,0,4,3850,1,1,1,4
"6","ASY","BPA","F","EMBERA",26.25,23.2285197320162,26.025,"NONE","ONCEPERWEEK","EVERYDAY","YES",3,"DONTKNOW","DISAGREE","DONTKNOW","DISAGREE",17,77,0,4,350,1,1,1,14
"7","AZE","WSC","F","AFROCOLOMBIAN",60.1666666666667,30.9140330236521,28.05,"CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",5,"AGREE","DISAGREE","AGREE","DISAGREE",17,150,0,4,7520,1,1,1,2
"8","B5X","JV3","M","AFROCOLOMBIAN",88.75,20.956607495069,9.15,"NONE","NEVER","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",20,81,0,4,3760,2,1,1,6
"9","C3P","PCW","F","AFROCOLOMBIAN",31.25,34.7866419294991,32.275,"NONE","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",7,"AGREE","DISAGREE","DONTKNOW","DISAGREE",10,50,0,5,3620,2,2,1,2
"10","C8A","VPT","F","AFROCOLOMBIAN",26.0833333333333,22.0703125,22.85,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",19,38,2,0,3990,2,1,1,42
"11","CAQ","RMA","M","AFROCOLOMBIAN",36.5,24.1975308641975,69.625,"NONE","AFEWTIMESPERYEAR","EVERYDAY","YES",4,"AGREE","DISAGREE","AGREE","DISAGREE",10,73,1,1,1530,2,1,1,15
"12","CFR","QNG","F","EMBERA",49.8333333333333,23.0102040816327,17.575,"NONE","AFEWTIMESPERMONTH","EVERYDAY","YES",0,"DONTKNOW","DONTKNOW","DONTKNOW","DONTKNOW",20,122,0,4,90,2,1,1,11
"13","CK7","ZDG","F","AFROCOLOMBIAN",35.0833333333333,24.2274603603256,33.3,"NONE","AFEWTIMESPERYEAR","EVERYDAY","NO",14,"AGREE","DISAGREE","DISAGREE","DISAGREE",19,115,0,2,6130,2,1,2,6
"14","CNS","RND","F","MESTIZO",65.6666666666667,27.6020408163265,16.25,"CATHOLIC","ONCEPERWEEK","EVERYDAY","YES",1,"AGREE","DISAGREE","DISAGREE","DISAGREE",17,98,0,5,1820,1,1,1,1
"15","CRM","NVT","F","AFROCOLOMBIAN",61.1666666666667,34.8651120256058,24.075,"CATHOLIC","MORETHANONCEPERWEEK","EVERYDAY","YES",5,"DONTKNOW","DISAGREE","DONTKNOW","DISAGREE",16,100,0,4,6250,1,1,1,10
"16","CRN","XAE","M","AFROCOLOMBIAN",66.1666666666667,25.2597814828427,24,"CATHOLIC","ONCEPERWEEK","AFEWTIMESPERWEEK","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",16,75,1,18,4130,1,2,1,5
"17","CZE","CH2","F","AFROCOLOMBIAN",69.1666666666667,21.9428007889546,25.45,"NONE","ONCEPERWEEK","EVERYDAY","NO",0,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",18,83,0,5,3190,1,1,2,1
"18","D3H","PWK","F","AFROCOLOMBIAN",70.3333333333333,31.3048961758479,22.175,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",5,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",5,65,0,7,15430,2,1,2,1
"19","D7G","AZJ","M","AFROCOLOMBIAN",49.9166666666667,22.0761245674741,51.95,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",1,"AGREE","DISAGREE","DONTKNOW","DONTKNOW",5,49,0,4,4350,2,1,2,14
"20","D88","VC0","M","AFROCOLOMBIAN",76.9166666666667,22.4323025156225,27.15,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",2,"AGREE","DISAGREE","DISAGREE","DISAGREE",14,101,3,6,630,2,1,1,3
"21","E09","VPT","F","AFROCOLOMBIAN",22.9166666666667,33.7982014936747,21.1,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",20,133,1,1,3990,2,1,1,11
"22","E22","SHE","F","AFROCOLOMBIAN",18.6666666666667,24.4493754109139,25.45,"CATHOLIC","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","YES",11,"AGREE","AGREE","AGREE","AGREE",7,28,0,0,5040,2,2,1,33
"23","ED1","R3P","F","EMBERA",25.75,24.64664755294,20.35,"UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN",0,"DONTKNOW","DONTKNOW","DONTKNOW","DONTKNOW",19,112,0,4,30,2,2,2,12
