"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"A19",0,0,0,0.168830928951911,0,0,0,0,0,0,0,0,0,0.231117888610677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130785296677872,0,0,0,0,0.194142595986421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180644814155281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106626484414766,0,0,0,0,0,0,0,0,0,0,0,0,0.194142595986421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168830928951911,0,0,0,0,0,0,0,0,0,0.024666748423753,0,0,0,0.194142595986421,0,0,0,0,0,0,0.024666748423753,0
"A1J",0,0,0,0,0.0840410807961949,0,0.227668940703153,0.153728294667302,0.142380136888636,0.0522900056684041,0.0773980645335835,0,0.170324005351215,0,0.203967985189982,0.112141283911423,0.159155298140597,0.173680802048598,0.0179295264093964,0.124898811807524,0.0522900056684041,0.07682759164108,0,0.108985556142284,0.0176629625329438,0.145078005134565,0,0.145078005134565,0.117848723809804,0,0.100809026212494,0.0586633079760423,0.052093119234991,0.13955134163287,0.124898811807524,0.044675363074857,0,0.137280738711257,0.138304617719154,0.132993856787243,0,0.203637639196813,0,0.0176629625329438,0.112325651606922,0,0.0502957359870088,0.257945919061035,0.0522900056684041,0.0842650552661223,0.0158368152005525,0.122477404402077,0.143749130438435,0.153728294667302,0.154622923146373,0.0620706746545342,0.145078005134565,0.0245948648808733,0.176504872314769,0.143137455560498,0.0434962231042903,0.154622923146373,0.122384299199596,0.128077521282979,0.0189011151470593,0.0174104103958016,0.092047880011475,0.26120132575386,0.120451286241134,0.0711324067470572,0.092047880011475,0.165628306961295,0,0.257945919061035,0.07682759164108,0.0620706746545342,0,0.1462657680488,0,0.0176629625329438,0.0948849694392163,0.139316232792714,0,0.13955134163287,0.145078005134565,0,0,0.150411743676474,0.166987726781359,0.143137455560498,0.0948849694392163,0,0.0345347880651516,0,0,0.0989220293101259,0.0261450099606488,0.0445875818336154,0,0.00924472332770399,0.173232879870201,0.238118066215824,0,0,0,0.044675363074857,0.058030781148903,0.154323631983796,0.112141283911423,0.0840410807961949,0,0.112911019293382,0.0445875818336154,0.137280738711257,0.147915355159343,0.120876426158584,0.303500642257864,0.132993856787243,0.163317215036016,0.0358590575935357,0.0927449181822163,0.092047880011475,0.0636958112720752,0.102100590622299,0.253163497386293,0.165628306961295,0,0.108985556142284,0.128972940829729,0.0773980645335835,0.1462657680488,0,0.253163497386293,0.100809026212494,0.0669853486232709,0.212991754381751,0,0.0445875818336154,0,0.131732991673642,0,0.0533531174249207,0.120451286241134,0.0669853486232709,0.134762135620645,0,0.212991754381751,0,0.0222104109261317
"AGQ",0,0,0,0,0,0.00382164757162775,0,0,0,0,0,0.951271302891733,0,0,0,0,0,0,0,0,0,0,0.951058712227028,0,0,0,0.0157969849759877,0,0,0.968955718024301,0,0,0,0,0,0,0.00382164757162775,0,0,0,0,0,0.952134280482274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0284626879464968,0,0.913886022530157,0,0,0,0.952134280482274,0,0,0.943308623689745,0.952134280482274,0,0,0,0,0,0,0.961862820675634,0.932323286324882,0,0,0,0,0,0,0,0.603684470136276,0.0284626879464968,0,0,0,0,0,0,0.961862820675634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.946263626583423,0,0,0,0,0,0,0.0233172026868254,0,0,0,0,0,0,0.0233172026868254,0,0,0
"AGT",0.168830928951911,0,0,0,0,0,0,0,0,0,0,0,0,0.0643960461221155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25946660963844,0,0,0,0,0.347202683115358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162029495063485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152893366352232,0,0,0,0,0,0,0,0,0,0,0,0,0.347202683115358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147915500034527,0,0,0,0.347202683115358,0,0,0,0,0,0,0.147915500034527,0
"AJW",0,0.0840410807961949,0,0,0,0,0.303155385934344,0.234825464892275,0.105367871291237,0.0366999470878906,0.0575939587722653,0,0.121497400595758,0,0.278373180452838,0.0326918424981531,0.214791372147953,0.243246045902068,0.07538117761766,0.147156377029439,0.0366999470878906,0.0673583802848433,0,0.144604750811375,0.0667256467149465,0.0622148831870161,0,0.0622148831870161,0.0855467083285339,0,0.13275705457073,0.0569338422745067,0.0323596527293097,0.197786098357528,0.147156377029439,0.0567861816098828,0,0.203637355410846,0.186208461879293,0.140486309029999,0,0.137280434816943,0,0.0667256467149465,0.0797428101161888,0,0.061706795472008,0.202544034489606,0.0366999470878906,0.0594108002329669,0.0947205325711583,0.0991552119872679,0.158115390387627,0.234825464892275,0.208023500961826,0.0379015102488543,0.0622148831870161,0.101328233642132,0.096254103487964,0.0670345243761543,0.0637773279584316,0.208023500961826,0.157666863641596,0.204198504962528,0.0703695615989966,0.0933990828335247,0.129592032379679,0.202040706668765,0.0364253286263787,0.0380103068803974,0.129592032379679,0.246362901432107,0,0.202544034489606,0.0673583802848433,0.0379015102488543,0,0.225855221235106,0,0.0667256467149465,0.0211201837019373,0.150411930044879,0,0.197786098357528,0.0622148831870161,0,0,0.231015295862238,0.235859571142113,0.0670345243761543,0.0211201837019373,0,0.0642572808255714,0,0,0.0172673279672537,0.0593408278333092,0.115742689430286,0.0840410807961949,0.0889330325837309,0.230249097217393,0.31352383328693,0,0,0,0.0567861816098828,0.0654949669485781,0.0790591552455976,0.0326918424981531,0,0,0.0903330217076412,0.115742689430286,0.203637355410846,0.0721878027148468,0.134555094454271,0.277805851587143,0.140486309029999,0.235784070750446,0.0703183709007199,0.123704860401062,0.129592032379679,0.0253926048194581,0.0825881625758077,0.190691222694352,0.246362901432107,0,0.144604750811375,0.202652135680254,0.0575939587722653,0.225855221235106,0,0.190691222694352,0.13275705457073,0.0441607064925477,0.296338893144534,0,0.115742689430286,0,0.210084409820314,0,0.106195516839188,0.0364253286263787,0.0441607064925477,0.212628481338924,0,0.296338893144534,0,0.0927449660979323
"ASY",0,0,0.00382164757162775,0,0,0,0,0,0,0,0,0.954873246834078,0,0,0,0,0,0,0,0,0,0,0.954658365982105,0,0,0,0.0123652673780076,0,0,0.972521557461191,0,0,0,0,0,0,0,0,0,0,0,0,0.955726712793495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0246667739274813,0,0.917417553910272,0,0,0,0.955726712793495,0,0,0.946875633829989,0.955726712793495,0,0,0,0,0,0,0.965467572717531,0.934768464764668,0,0,0,0,0,0,0,0.60731259325636,0.0246667739274813,0,0,0,0,0,0,0.965467572717531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.949847429209005,0,0,0,0,0,0,0.0200030526693532,0,0,0,0,0,0,0.0200030526693532,0,0,0
"AZE",0,0.227668940703153,0,0,0.303155385934344,0,0,0.0829131011949894,0.366249465317911,0.27861293920131,0.303974652291397,0,0.396033976660133,0,0.0253321252383255,0.335007443943189,0.116589507201229,0.0658423168345394,0.244009452524428,0.202595241353299,0.27861293920131,0.301396659360072,0,0.184782439823878,0.244314809122058,0.364914880232532,0,0.364914880232532,0.342453845962173,0,0.194535388593387,0.251205017353792,0.272051370592999,0.121546883696883,0.202595241353299,0.271921838009929,0,0.104721519245539,0.146538258631243,0.226663119075441,0,0.431301792129793,0,0.244314809122058,0.337514042220508,0,0.276278579622462,0.483429059381064,0.27861293920131,0.310813374390357,0.212967115704678,0.343674173056956,0.214383078466156,0.0829131011949894,0.124958956979616,0.289497890114605,0.364914880232532,0.204836127648842,0.399391813867117,0.36825769408178,0.269439954208761,0.124958956979616,0.179710466073509,0.0997255061249165,0.246372709226242,0.229168446594544,0.190338613796961,0.487722142351441,0.336685087479943,0.272893938275945,0.190338613796961,0.0717182402059227,0,0.483429059381064,0.301396659360072,0.289497890114605,0,0.0843515879704467,0,0.244314809122058,0.304829406796598,0.220392936989147,0,0.121546883696883,0.364914880232532,0,0,0.0836003668699406,0.0733645882070654,0.36825769408178,0.304829406796598,0,0.261273565648874,0,0,0.32012170230844,0.253072328551062,0.187877524879816,0.227668940703153,0.219735919683565,0.105800943045362,0.0104500432749901,0,0,0,0.271921838009929,0.243233188524724,0.379942179777306,0.335007443943189,0.303155385934344,0,0.335174409277353,0.187877524879816,0.104721519245539,0.373262658868931,0.217641315822841,0.363679338713879,0.226663119075441,0.0683252310418167,0.260559053307298,0.199794621497075,0.190338613796961,0.288787884930117,0.324975703267076,0.480419402175992,0.0717182402059227,0,0.184782439823878,0.100503449973,0.303974652291397,0.0843515879704467,0,0.480419402175992,0.194535388593387,0.265871380273102,0.0841844059720068,0,0.187877524879816,0,0.0964659050990823,0,0.198330226440961,0.336685087479943,0.265871380273102,0.0931790577815486,0,0.0841844059720068,0,0.234085423034071
"B5X",0,0.153728294667302,0,0,0.234825464892275,0,0.0829131011949894,0,0.287073077434198,0.205967351468929,0.227117996893757,0,0.317562215031386,0,0.0660072098930566,0.265067454271338,0.107651110402087,0.0664969952146695,0.168440587987136,0.168995368012431,0.205967351468929,0.223416472681926,0,0.146003231584574,0.171206350251703,0.296994111618177,0,0.296994111618177,0.263864896378726,0,0.151900216696624,0.188930309021336,0.202611372334416,0.0980276088372868,0.168995368012431,0.196277417837111,0,0.0738930211306343,0.12354653742987,0.192608368692392,0,0.355762217197502,0,0.171206350251703,0.259280863234326,0,0.199560063659106,0.40433669067349,0.205967351468929,0.233830730422626,0.140642207625647,0.26383254585032,0.186544547727063,0,0.112661087676751,0.215572237707138,0.296994111618177,0.133547155281409,0.32973969332218,0.296806046259348,0.192879219965998,0.112661087676751,0.147198314032143,0.0412940993322112,0.171597993280091,0.152057338767062,0.144209449646003,0.409408221241058,0.270284008083474,0.209732617226722,0.144209449646003,0.0121485071222714,0,0.40433669067349,0.223416472681926,0.215572237707138,0,0.0140801263628344,0,0.171206350251703,0.240338311650146,0.189800283974594,0,0.0980276088372868,0.296994111618177,0,0,0.00540098366711518,0.0669853687748199,0.296806046259348,0.240338311650146,0,0.185429875672365,0,0,0.251010903107645,0.179844129679601,0.120350383671582,0.153728294667302,0.146965892094638,0.107810982783805,0.0926548071455549,0,0,0,0.196277417837111,0.182046020299174,0.308047766749642,0.265067454271338,0.234825464892275,0,0.255768474939988,0.120350383671582,0.0738930211306343,0.301616498825766,0.18049050549709,0.355761172774349,0.192608368692392,0.05139204477961,0.183725378931069,0.153726050506699,0.144209449646003,0.217091261537343,0.245923221195347,0.40304521538338,0.0121485071222714,0,0.146003231584574,0.050229891781198,0.227117996893757,0.0140801263628344,0,0.40304521538338,0.151900216696624,0.203101701264008,0.0674160213137556,0,0.120350383671582,0,0.0299099660556615,0,0.13734386274742,0.270284008083474,0.203101701264008,0.0298401173893181,0,0.0674160213137556,0,0.156328035211252
"C3P",0,0.142380136888636,0,0,0.105367871291237,0,0.366249465317911,0.287073077434198,0,0.101427020852431,0.0658277021869119,0,0.0315597230786753,0,0.343661276442992,0.0865165572025407,0.299943132836223,0.315629547724749,0.124666475437325,0.246612155656419,0.101427020852431,0.0656507722186969,0,0.238925464720263,0.128746885157954,0.10078194529928,0,0.10078194529928,0.02459489168199,0,0.227992391137885,0.15384889068914,0.117479235271459,0.280799770344936,0.246612155656419,0.0983795278064745,0,0.279659852840608,0.275846614897303,0.243549483919025,0,0.0801019239356108,0,0.128746885157954,0.0304319125707786,0,0.0920870079054023,0.117291272170307,0.101427020852431,0.0592164341296798,0.1581790897361,0.0245732748984849,0.260171049363803,0.287073077434198,0.294646583692436,0.0883558458545792,0.10078194529928,0.16693019447509,0.100473868806201,0.075588494536866,0.0988894218058325,0.294646583692436,0.252694548724147,0.268101343542912,0.123705476816396,0.137505175066036,0.222232343045044,0.122630428829027,0.108533354617483,0.140559853736743,0.222232343045044,0.299217097798181,0,0.117291272170307,0.0656507722186969,0.0883558458545792,0,0.282423617680413,0,0.128746885157954,0.123831508992075,0.253008189989337,0,0.280799770344936,0.10078194529928,0,0,0.28482938101405,0.309103325562029,0.075588494536866,0.123831508992075,0,0.107892198809162,0,0,0.0951466605045533,0.120814761333108,0.186694383884759,0.142380136888636,0.151388389450086,0.314536292930436,0.376617976085727,0,0,0,0.0983795278064745,0.161296963267948,0.0751772452981333,0.0865165572025407,0.105367871291237,0,0.0313501127598317,0.186694383884759,0.279659852840608,0.0751772452981333,0.235967834237394,0.379999584561274,0.243549483919025,0.304524019124061,0.107024720644069,0.218766611787049,0.222232343045044,0.0976671832995517,0.041274149597791,0.117831465600776,0.299217097798181,0,0.238925464720263,0.270207640753348,0.0658277021869119,0.282423617680413,0,0.117831465600776,0.227992391137885,0.145090346179724,0.336219827336612,0,0.186694383884759,0,0.269857183111942,0,0.189006981909227,0.108533354617483,0.145090346179724,0.273255346153962,0,0.336219827336612,0,0.132307953993286
"C8A",0,0.0522900056684041,0,0,0.0366999470878906,0,0.27861293920131,0.205967351468929,0.101427020852431,0,0.0377391452127896,0,0.125401035853973,0,0.254472265325011,0.060401053519229,0.200528869056713,0.22207850353675,0.0401504802749871,0.146008554148327,0,0.0438302238615942,0,0.137499608703708,0.0347648188205261,0.0939505241033988,0,0.0939505241033988,0.0775156851897377,0,0.126622992646797,0.0545143544426847,0.0185000693740631,0.181994819090545,0.146008554148327,0.020767759494612,0,0.183856064227997,0.175041419163941,0.145427059623486,0,0.153392937174592,0,0.0347648188205261,0.0713694902315436,0,0.0273626066174404,0.211869750524216,0,0.0432784261869686,0.0658276159573344,0.0870916856750355,0.160854824158936,0.205967351468929,0.194726890748017,0.0130724960122258,0.0939505241033988,0.0737845495757264,0.124341931260939,0.0908524053646685,0.027790865369078,0.194726890748017,0.15127428502245,0.178892306150939,0.0356757684676314,0.0583595713509453,0.120821742211024,0.213749482839706,0.0718906592309303,0.0482340346001101,0.120821742211024,0.217830646493974,0,0.211869750524216,0.0438302238615942,0.0130724960122258,0,0.198226703338317,0,0.0347648188205261,0.054260334578087,0.15424910501298,0,0.181994819090545,0.0939505241033988,0,0,0.202580268620511,0.215029189071146,0.0908524053646685,0.054260334578087,0,0.0275668628197704,0,0,0.0484380284323558,0.0261449957077755,0.0914678949605004,0.0522900056684041,0.059216357907014,0.215520325511084,0.28905741370924,0,0,0,0.020767759494612,0.0610303007762741,0.102099138130047,0.060401053519229,0.0366999470878906,0,0.0771369205355361,0.0914678949605004,0.183856064227997,0.0956491593232629,0.136499466076607,0.299266422115382,0.145427059623486,0.212893728473138,0.0336572706820748,0.117412446221237,0.120821742211024,0.0121095127114883,0.0669174864779191,0.204503950908015,0.217830646493974,0,0.137499608703708,0.178825236617621,0.0377391452127896,0.198226703338317,0,0.204503950908015,0.126622992646797,0.0498498821094842,0.264944870073533,0,0.0914678949605004,0,0.183321960694416,0,0.0889684217310351,0.0718906592309303,0.0498498821094842,0.18621212538358,0,0.264944870073533,0,0.0569195071833516
