"","A19","A1J","AGQ","AGT","AJW","ASY","AZE","B5X","C3P","C8A","CAQ","CFR","CK7","CNS","CRM","CRN","CZE","D3H","D7G","D88","E09","E22","ED1","ETK","EV5","F32","F60","FBD","FEE","G6E","GDP","GS3","GYG","H1H","H71","H8T","HAS","HNS","HXU","J1N","JAM","JFJ","JSP","JVY","K3W","K7R","KGA","KKA","KMT","KU1","KUK","MC7","MCC","MP1","MTY","N06","N49","NA9","NCD","NE0","NG9","NQ5","NRM","NTK","NX0","P3N","PAK","Q1P","Q6C","QQ9","QZ7","R5F","R6N","RBV","RG0","RHW","RME","RRR","RT7","RZJ","S5P","S5T","S9D","SET","T7H","T81","T8Q","TDC","TXE","U1B","U8R","UCP","V3H","V9B","VVW","VZ2","W0K","W42","W86","W8A","WAB","WBA","WT8","WZV","X99","XA6","XBX","XED","XFV","XHN","XM8","XNG","XW3","XY3","XZQ","Y3C","Y4W","Y80","YDJ","YDY","YF0","YH4","YHV","YNV","YQN","Z3Q","Z4N","Z50","ZM9","ZQG","ZQU","ZRN","ZXH","ZYK","ZZS","YZF","RDQ","BUJ","C93","Q7R","ZNY","MC1","AK0","U8D","DGV","NC6","FPJ","XU0","G8F"
"A19",0,0.769266845925832,3.29672892672361,0.132583551679316,1.76232620023242,4.1602214730308,1.09283321057037,1.78598039113031,1.82392532269444,1.72660811763035,2.68513161312777,5.51834495718399,1.297204598584,2.51156284744341,1.27781788478381,1.69212194155918,1.95037843173536,0.374085682157048,1.64022350343152,3.57243480812868,1.72660811763035,1.49299326644884,6.6169572458521,1.42030353308056,5.92381006529215,0.590286443009498,2.05260905438426,0.590286443009498,1.53534586295985,4.67104709679679,1.53970226441445,0,2.67731907339098,1.87057689131248,3.57243480812868,1.53555288086764,4.1602214730308,1.53555288086764,2.07012263687697,1.61749525235397,1.53534586295985,0.335937381910655,6.6169572458521,5.92381006529215,1.16111463209424,0.335937381910655,1.28908107706252,2.39990352963756,1.72660811763035,1.09084051645366,1.95824629293598,1.45598807045529,1.45981949276684,1.78598039113031,1.98546975154663,0.527912370405254,0.590286443009498,1.47529368934944,1.84627262138643,0.598364031355866,3.97789991623684,1.98546975154663,2.34959351949836,1.45598807045529,2.68513161312777,6.6169572458521,0.709780515266706,1.90742704453977,0.504751081047988,1.21713679397354,0.709780515266706,1.82669157618733,2.35427736881078,2.39990352963756,1.49299326644884,0.527912370405254,2.29946913231579,0.352733926887712,2.18614044700879,5.92381006529215,1.42771097435842,2.68513161312777,6.6169572458521,1.87057689131248,0.590286443009498,6.6169572458521,6.6169572458521,2.07012263687697,0.12553023090191,0.598364031355866,1.42771097435842,1.45981949276684,1.96904690618785,4.07798337479382,3.70823634928774,1.96458545837971,1.31034107648937,1.01238142127935,0.769266845925832,1.96936634398006,0.914286500048588,1.76440628418575,2.42226470979572,2.29946913231579,0.335937381910655,1.53555288086764,0.759342264639422,0.850617377863381,1.69212194155918,1.76232620023242,4.07798337479382,1.82116670025536,1.01238142127935,1.53555288086764,0.955154843436782,1.64390844541795,1.90742704453977,1.61749525235397,0.808201972256152,1.86913075946248,1.96299689569458,0.709780515266706,2.68513161312777,1.6425250004198,1.76753454533956,1.82669157618733,0.132583551679316,1.42030353308056,0.638071480950977,2.68513161312777,0.352733926887712,3.30885028725596,1.76753454533956,1.53970226441445,1.55225473048557,0.893372143899718,1.56710123860256,1.01238142127935,4.1602214730308,1.62199976447507,0.335937381910655,1.55015168028879,0.504751081047988,1.55225473048557,1.57784248043398,4.1602214730308,0.893372143899718,1.56710123860256,1.89804179467179
"A1J",0.769266845925832,0,2.52746208079778,0.901850397605148,0.993059354306592,3.39095462710496,0.323566364644536,1.01671354520448,1.0546584767686,0.957341271704513,1.91586476720194,4.74907811125816,0.527937752658165,1.74229600151758,0.508551038857975,0.922855095633343,1.18111158580953,0.395181163768784,0.870956657505692,2.80316796220284,0.957341271704513,0.723726420523008,5.84769039992627,0.651036687154731,5.15454321936632,0.178980402916334,1.28334220845843,0.178980402916334,0.766079017034016,3.90178025087095,0.770435418488615,0.769266845925832,1.90805222746515,1.10131004538665,2.80316796220284,0.766286034941803,3.39095462710496,0.766286034941803,1.30085579095114,0.848228406428136,0.766079017034016,0.433329464015177,5.84769039992627,5.15454321936632,1.93038147802007,0.433329464015177,0.519814231136685,1.63063668371173,0.957341271704513,0.321573670527826,1.18897944701015,0.686721224529453,0.690552646841009,1.01671354520448,1.2162029056208,0.241354475520579,0.178980402916334,0.706026843423608,1.0770057754606,0.170902814569967,3.20863307031101,1.2162029056208,1.58032667357253,0.686721224529453,1.91586476720194,5.84769039992627,0.0594863306591265,1.13816019861393,0.264515764877844,0.447869948047709,0.0594863306591265,1.05742473026149,1.58501052288495,1.63063668371173,0.723726420523008,0.241354475520579,1.53020228638996,0.41653291903812,1.41687360108295,5.15454321936632,0.658444128432592,1.91586476720194,5.84769039992627,1.10131004538665,0.178980402916334,5.84769039992627,5.84769039992627,1.30085579095114,0.894797076827743,0.170902814569967,0.658444128432592,0.690552646841009,1.19978006026202,3.30871652886799,2.93896950336191,1.19531861245388,0.541074230563535,0.243114575353514,0,1.20009949805422,0.145019654122756,0.995139438259921,1.65299786386988,1.53020228638996,0.433329464015177,0.766286034941803,1.52860911056525,0.0813505319375487,0.922855095633343,0.993059354306592,3.30871652886799,1.05189985432953,0.243114575353514,0.766286034941803,0.18588799751095,0.874641599492119,1.13816019861393,0.848228406428136,1.57746881818198,1.09986391353665,1.19373004976874,0.0594863306591265,1.91586476720194,0.873258154493971,0.998267699413731,1.05742473026149,0.901850397605148,0.651036687154731,0.131195364974856,1.91586476720194,0.41653291903812,2.53958344133012,0.998267699413731,0.770435418488615,0.782987884559736,0.124105297973886,0.79783439267673,0.243114575353514,3.39095462710496,0.852732918549242,0.433329464015177,0.780884834362956,0.264515764877844,0.782987884559736,0.808575634508143,3.39095462710496,0.124105297973886,0.79783439267673,1.12877494874596
"AGQ",3.29672892672361,2.52746208079778,0,3.42931247840293,1.53440272649119,0.863492546307184,2.20389571615324,1.5107485355933,1.47280360402917,1.57012080909327,0.611597313595838,2.22161603046038,1.99952432813961,0.785166079280198,2.0189110419398,1.60460698516444,1.34635049498825,2.92264324456656,1.65650542329209,0.275705881405065,1.57012080909327,1.80373566027477,3.32022831912849,1.87642539364305,2.62708113856854,2.70644248371411,1.24411987233935,2.70644248371411,1.76138306376376,1.37431817007317,1.75702666230916,3.29672892672361,0.619409853332631,1.42615203541113,0.275705881405065,1.76117604585598,0.863492546307184,1.76117604585598,1.22660628984664,1.67923367436964,1.76138306376376,2.96079154481296,3.32022831912849,2.62708113856854,4.45784355881785,2.96079154481296,2.00764784966109,0.896825397086052,1.57012080909327,2.20588841026995,1.33848263378763,1.84074085626833,1.83690943395677,1.5107485355933,1.31125917517698,2.76881655631836,2.70644248371411,1.82143523737417,1.45045630533718,2.69836489536775,0.681170989513229,1.31125917517698,0.947135407225254,1.84074085626833,0.611597313595838,3.32022831912849,2.58694841145691,1.38930188218385,2.79197784567562,2.07959213275007,2.58694841145691,1.47003735053628,0.942451557912827,0.896825397086052,1.80373566027477,2.76881655631836,0.997259794407823,2.9439949998359,1.11058847971483,2.62708113856854,1.86901795236519,0.611597313595838,3.32022831912849,1.42615203541113,2.70644248371411,3.32022831912849,3.32022831912849,1.22660628984664,3.42225915762552,2.69836489536775,1.86901795236519,1.83690943395677,1.32768202053576,0.781254448070212,0.411507422564127,1.3321434683439,1.98638785023424,2.28434750544426,2.52746208079778,1.32736258274356,2.38244242667502,1.53232264253786,0.874464216927895,0.997259794407823,2.96079154481296,1.76117604585598,4.05607119136303,2.44611154886023,1.60460698516444,1.53440272649119,0.781254448070212,1.47556222646825,2.28434750544426,1.76117604585598,2.34157408328683,1.65282048130566,1.38930188218385,1.67923367436964,4.10493089897976,1.42759816726113,1.33373203102903,2.58694841145691,0.611597313595838,1.65420392630381,1.52919438138405,1.47003735053628,3.42931247840293,1.87642539364305,2.65865744577263,0.611597313595838,2.9439949998359,0.0121213605323449,1.52919438138405,1.75702666230916,1.74447419623804,2.40335678282389,1.72962768812105,2.28434750544426,0.863492546307184,1.67472916224854,2.96079154481296,1.74657724643482,2.79197784567562,1.74447419623804,1.71888644628964,0.863492546307184,2.40335678282389,1.72962768812105,1.39868713205182
"AGT",0.132583551679316,0.901850397605148,3.42931247840293,0,1.89490975191174,4.29280502471011,1.22541676224968,1.91856394280963,1.95650887437375,1.85919166930966,2.81771516480709,5.65092850886331,1.42978815026331,2.64414639912273,1.41040143646312,1.82470549323849,2.08296198341468,0.506669233836364,1.77280705511084,3.70501835980799,1.85919166930966,1.62557681812816,6.74954079753141,1.55288708475988,6.05639361697147,0.722869994688814,2.18519260606358,0.722869994688814,1.66792941463916,4.8036306484761,1.67228581609376,0.132583551679316,2.8099026250703,2.0031604429918,3.70501835980799,1.66813643254695,4.29280502471011,1.66813643254695,2.20270618855629,1.75007880403328,1.66792941463916,0.468520933589971,6.74954079753141,6.05639361697147,1.02853108041493,0.468520933589971,1.42166462874183,2.53248708131688,1.85919166930966,1.22342406813297,2.09082984461529,1.5885716221346,1.59240304444616,1.91856394280963,2.11805330322595,0.66049592208457,0.722869994688814,1.60787724102876,1.97885617306575,0.730947583035181,4.11048346791616,2.11805330322595,2.48217707117767,1.5885716221346,2.81771516480709,6.74954079753141,0.842364066946022,2.04001059621908,0.637334632727304,1.34972034565286,0.842364066946022,1.95927512786664,2.4868609204901,2.53248708131688,1.62557681812816,0.66049592208457,2.4320526839951,0.485317478567028,2.3187239986881,6.05639361697147,1.56029452603774,2.81771516480709,6.74954079753141,2.0031604429918,0.722869994688814,6.74954079753141,6.74954079753141,2.20270618855629,0.0070533207774055,0.730947583035181,1.56029452603774,1.59240304444616,2.10163045786716,4.21056692647314,3.84081990096705,2.09716901005903,1.44292462816868,1.14496497295866,0.901850397605148,2.10194989565937,1.0468700517279,1.89698983586507,2.55484826147503,2.4320526839951,0.468520933589971,1.66813643254695,0.626758712960106,0.983200929542697,1.82470549323849,1.89490975191174,4.21056692647314,1.95375025193467,1.14496497295866,1.66813643254695,1.0877383951161,1.77649199709727,2.04001059621908,1.75007880403328,0.675618420576836,2.0017143111418,2.09558044737389,0.842364066946022,2.81771516480709,1.77510855209912,1.90011809701888,1.95927512786664,0,1.55288708475988,0.770655032630293,2.81771516480709,0.485317478567028,3.44143383893527,1.90011809701888,1.67228581609376,1.68483828216488,1.02595569557903,1.69968479028188,1.14496497295866,4.29280502471011,1.75458331615439,0.468520933589971,1.6827352319681,0.637334632727304,1.68483828216488,1.71042603211329,4.29280502471011,1.02595569557903,1.69968479028188,2.0306253463511
"AJW",1.76232620023242,0.993059354306592,1.53440272649119,1.89490975191174,0,2.39789527279837,0.669492989662055,0.02365419089789,0.0615991224620132,0.0357180826020791,0.922805412895349,3.75601875695157,0.465121601648427,0.749236647210989,0.484508315448617,0.0702042586732485,0.18805223150294,1.38824051807538,0.1221026968009,1.81010860789625,0.0357180826020791,0.269332933783584,4.85463104561967,0.342022667151861,4.16148386505973,1.17203975722293,0.290282854151839,1.17203975722293,0.226980337272575,2.90872089656436,0.222623935817976,1.76232620023242,0.914992873158556,0.108250691080061,1.81010860789625,0.226773319364789,2.39789527279837,0.226773319364789,0.307796436644547,0.144830947878456,0.226980337272575,1.42638881832177,4.85463104561967,4.16148386505973,2.92344083232667,1.42638881832177,0.473245123169907,0.637577329405135,0.0357180826020791,0.671485683778766,0.195920092703554,0.306338129777139,0.302506707465582,0.02365419089789,0.223143551314211,1.23441382982717,1.17203975722293,0.287032510882984,0.0839464211540104,1.16396216887656,2.21557371600442,0.223143551314211,0.587267319265933,0.306338129777139,0.922805412895349,4.85463104561967,1.05254568496572,0.145100844307342,1.25757511918444,0.545189406258883,1.05254568496572,0.0643653759549032,0.59195116857836,0.637577329405135,0.269332933783584,1.23441382982717,0.537142932083364,1.40959227334471,0.423814246776361,4.16148386505973,0.334615225874,0.922805412895349,4.85463104561967,0.108250691080061,1.17203975722293,4.85463104561967,4.85463104561967,0.307796436644547,1.88785643113433,1.16396216887656,0.334615225874,0.302506707465582,0.206720705955425,2.3156571745614,1.94591014905531,0.20225925814729,0.451985123743057,0.749944778953077,0.993059354306592,0.207040143747632,0.848039700183836,0.00208008395332904,0.659938509563292,0.537142932083364,1.42638881832177,0.226773319364789,2.52166846487185,0.911708822369043,0.0702042586732485,0,2.3156571745614,0.0588405000229333,0.749944778953077,0.226773319364789,0.807171356795642,0.118417754814473,0.145100844307342,0.144830947878456,2.57052817248858,0.10680455923006,0.200670695462152,1.05254568496572,0.922805412895349,0.11980119981262,0.00520834510713897,0.0643653759549032,1.89490975191174,0.342022667151861,1.12425471928145,0.922805412895349,1.40959227334471,1.54652408702353,0.00520834510713897,0.222623935817976,0.210071469746856,0.868954056332706,0.195224961629862,0.749944778953077,2.39789527279837,0.14032643575735,1.42638881832177,0.212174519943636,1.25757511918444,0.210071469746856,0.184483719798449,2.39789527279837,0.868954056332706,0.195224961629862,0.135715594439365
"ASY",4.1602214730308,3.39095462710496,0.863492546307184,4.29280502471011,2.39789527279837,0,3.06738826246043,2.37424108190048,2.33629615033636,2.43361335540045,1.47508985990302,1.35812348415319,2.8630168744468,1.64865862558738,2.88240358824699,2.46809953147162,2.20984304129543,3.78613579087375,2.51999796959927,0.58778666490212,2.43361335540045,2.66722820658196,2.4567357728213,2.73991793995023,1.76358859226136,3.5699350300213,2.10761241864653,3.5699350300213,2.62487561007095,0.51082562376599,2.62051920861635,4.1602214730308,1.48290239963982,2.28964458171831,0.58778666490212,2.62466859216316,0,2.62466859216316,2.09009883615382,2.54272622067683,2.62487561007095,3.82428409112014,2.4567357728213,1.76358859226136,5.32133610512504,3.82428409112014,2.87114039596828,1.76031794339324,2.43361335540045,3.06938095657714,2.20197518009482,2.70423340257551,2.70040198026395,2.37424108190048,2.17475172148416,3.63230910262554,3.5699350300213,2.68492778368136,2.31394885164436,3.56185744167493,0.182321556793955,2.17475172148416,1.81062795353244,2.70423340257551,1.47508985990302,2.4567357728213,3.45044095776409,2.25279442849103,3.65547039198281,2.94308467905725,3.45044095776409,2.33352989684347,1.80594410422001,1.76031794339324,2.66722820658196,3.63230910262554,1.86075234071501,3.80748754614308,1.97408102602201,1.76358859226136,2.73251049867237,1.47508985990302,2.4567357728213,2.28964458171831,3.5699350300213,2.4567357728213,2.4567357728213,2.09009883615382,4.28575170393271,3.56185744167493,2.73251049867237,2.70040198026395,2.19117456684295,0.0822380982369726,0.451985123743057,2.19563601465108,2.84988039654143,3.14784005175145,3.39095462710496,2.19085512905074,3.24593497298221,2.39581518884504,1.73795676323508,1.86075234071501,3.82428409112014,2.62466859216316,4.91956373767022,3.30960409516741,2.46809953147162,2.39789527279837,0.0822380982369726,2.33905477277544,3.14784005175145,2.62466859216316,3.20506662959401,2.51631302761284,2.25279442849103,2.54272622067683,4.96842344528695,2.29109071356831,2.19722457733622,3.45044095776409,1.47508985990302,2.51769647261099,2.39268692769123,2.33352989684347,4.29280502471011,2.73991793995023,3.52214999207982,1.47508985990302,3.80748754614308,0.851371185774839,2.39268692769123,2.62051920861635,2.60796674254523,3.26684932913108,2.59312023442823,3.14784005175145,0,2.53822170855572,3.82428409112014,2.61006979274201,3.65547039198281,2.60796674254523,2.58237899259682,0,3.26684932913108,2.59312023442823,2.26217967835901
"AZE",1.09283321057037,0.323566364644536,2.20389571615324,1.22541676224968,0.669492989662055,3.06738826246043,0,0.693147180559945,0.731092112124069,0.633774907059976,1.5922984025574,4.42551174661362,0.204371388013628,1.41872963687304,0.184984674213439,0.599288730988807,0.857545221164996,0.718747528413321,0.547390292861156,2.47960159755831,0.633774907059976,0.400160055878471,5.52412403528173,0.327470322510194,4.83097685472179,0.502546767560871,0.959775843813894,0.502546767560871,0.44251265238948,3.57821388622642,0.446869053844079,1.09283321057037,1.58448586282061,0.777743680742116,2.47960159755831,0.442719670297267,3.06738826246043,0.442719670297267,0.977289426306602,0.5246620417836,0.44251265238948,0.756895828659713,5.52412403528173,4.83097685472179,2.25394784266461,0.756895828659713,0.196247866492149,1.30707031906719,0.633774907059976,0.00199269411671033,0.86541308236561,0.363154859884917,0.366986282196473,0.693147180559945,0.892636540976266,0.564920840165115,0.502546767560871,0.382460478779072,0.753439410816066,0.494469179214503,2.88506670566647,0.892636540976266,1.25676030892799,0.363154859884917,1.5922984025574,5.52412403528173,0.383052695303663,0.814593833969397,0.58808212952238,0.124303583403172,0.383052695303663,0.733858365616959,1.26144415824042,1.30707031906719,0.400160055878471,0.564920840165115,1.20663592174542,0.740099283682657,1.09330723643842,4.83097685472179,0.334877763788056,1.5922984025574,5.52412403528173,0.777743680742116,0.502546767560871,5.52412403528173,5.52412403528173,0.977289426306602,1.21836344147228,0.494469179214503,0.334877763788056,0.366986282196473,0.87621369561748,2.98515016422345,2.61540313871737,0.871752247809345,0.217507865918998,0.0804517892910219,0.323566364644536,0.876533133409687,0.178546710521781,0.671573073615384,1.32943149922535,1.20663592174542,0.756895828659713,0.442719670297267,1.85217547520979,0.242215832706988,0.599288730988807,0.669492989662055,2.98515016422345,0.728333489684989,0.0804517892910219,0.442719670297267,0.137678367133587,0.551075234847582,0.814593833969397,0.5246620417836,1.90103518282652,0.776297548892115,0.870163685124208,0.383052695303663,1.5922984025574,0.549691789849435,0.674701334769194,0.733858365616959,1.22541676224968,0.327470322510194,0.454761729619392,1.5922984025574,0.740099283682657,2.21601707668559,0.674701334769194,0.446869053844079,0.4594215199152,0.199461066670651,0.474268028032194,0.0804517892910219,3.06738826246043,0.529166553904705,0.756895828659713,0.45731846971842,0.58808212952238,0.4594215199152,0.485009269863607,3.06738826246043,0.199461066670651,0.474268028032194,0.80520858410142
"B5X",1.78598039113031,1.01671354520448,1.5107485355933,1.91856394280963,0.02365419089789,2.37424108190048,0.693147180559945,0,0.0379449315641232,0.0593722734999691,0.899151221997459,3.73236456605368,0.488775792546317,0.725582456313099,0.508162506346507,0.0938584495711385,0.16439804060505,1.41189470897327,0.14575688769879,1.78645441699836,0.0593722734999691,0.292987124681474,4.83097685472178,0.365676858049751,4.13782967416184,1.19569394812082,0.266628663253949,1.19569394812082,0.250634528170465,2.88506670566647,0.246278126715866,1.78598039113031,0.891338682260666,0.0845965001821707,1.78645441699836,0.250427510262679,2.37424108190048,0.250427510262679,0.284142245746657,0.168485138776346,0.250634528170465,1.45004300921966,4.83097685472178,4.13782967416184,2.94709502322456,1.45004300921966,0.496899314067797,0.613923138507245,0.0593722734999691,0.695139874676656,0.172265901805664,0.329992320675029,0.326160898363472,0,0.199489360416321,1.25806802072506,1.19569394812082,0.310686701780874,0.0602922302561204,1.18761635977445,2.19191952510653,0.199489360416321,0.563613128368043,0.329992320675029,0.899151221997459,4.83097685472178,1.07619987586361,0.121446653409452,1.28122931008233,0.568843597156773,1.07619987586361,0.0407111850570132,0.56829697768047,0.613923138507245,0.292987124681474,1.25806802072506,0.513488741185474,1.4332464642426,0.400160055878471,4.13782967416184,0.35826941677189,0.899151221997459,4.83097685472178,0.0845965001821707,1.19569394812082,4.83097685472178,4.83097685472178,0.284142245746657,1.91151062203222,1.18761635977445,0.35826941677189,0.326160898363472,0.183066515057535,2.29200298366351,1.92225595815742,0.1786050672494,0.475639314640947,0.773598969850967,1.01671354520448,0.183385952849742,0.871693891081726,0.021574106944561,0.636284318665402,0.513488741185474,1.45004300921966,0.250427510262679,2.54532265576974,0.935363013266933,0.0938584495711385,0.02365419089789,2.29200298366351,0.0351863091250433,0.773598969850967,0.250427510262679,0.830825547693532,0.142071945712363,0.121446653409452,0.168485138776346,2.59418236338647,0.0831503683321699,0.177016504564262,1.07619987586361,0.899151221997459,0.14345539071051,0.018445845790751,0.0407111850570132,1.91856394280963,0.365676858049751,1.14790891017934,0.899151221997459,1.4332464642426,1.52286989612564,0.018445845790751,0.246278126715866,0.233725660644746,0.892608247230596,0.218879152527752,0.773598969850967,2.37424108190048,0.16398062665524,1.45004300921966,0.235828710841526,1.28122931008233,0.233725660644746,0.208137910696339,2.37424108190048,0.892608247230596,0.218879152527752,0.112061403541475
"C3P",1.82392532269444,1.0546584767686,1.47280360402917,1.95650887437375,0.0615991224620132,2.33629615033636,0.731092112124069,0.0379449315641232,0,0.0973172050640922,0.861206290433336,3.69441963448955,0.52672072411044,0.687637524748976,0.54610743791063,0.131803381135262,0.126453109040927,1.44983964053739,0.183701819262913,1.74850948543424,0.0973172050640922,0.330932056245597,4.79303192315766,0.403621789613874,4.09988474259772,1.23363887968494,0.228683731689825,1.23363887968494,0.288579459734589,2.84712177410235,0.28422305827999,1.82392532269444,0.853393750696543,0.0466515686180475,1.74850948543424,0.288372441826802,2.33629615033636,0.288372441826802,0.246197314182534,0.206430070340469,0.288579459734589,1.48798794078378,4.79303192315766,4.09988474259772,2.98503995478868,1.48798794078378,0.53484424563192,0.575978206943122,0.0973172050640922,0.733084806240779,0.134320970241541,0.367937252239152,0.364105829927595,0.0379449315641232,0.161544428852197,1.29601295228918,1.23363887968494,0.348631633344997,0.0223472986919973,1.22556129133857,2.1539745935424,0.161544428852197,0.52566819680392,0.367937252239152,0.861206290433336,4.79303192315766,1.11414480742773,0.0835017218453284,1.31917424164645,0.606788528720896,1.11414480742773,0.00276625349289006,0.530352046116347,0.575978206943122,0.330932056245597,1.29601295228918,0.475543809621351,1.47119139580673,0.362215124314348,4.09988474259772,0.396214348336013,0.861206290433336,4.79303192315766,0.0466515686180475,1.23363887968494,4.79303192315766,4.79303192315766,0.246197314182534,1.94945555359635,1.22556129133857,0.396214348336013,0.364105829927595,0.145121583493411,2.25405805209939,1.8843110265933,0.140660135685277,0.51358424620507,0.81154390141509,1.0546584767686,0.145441021285619,0.909638822645849,0.0595190385086841,0.598339387101279,0.475543809621351,1.48798794078378,0.288372441826802,2.58326758733386,0.973307944831056,0.131803381135262,0.0615991224620132,2.25405805209939,0.00275862243907987,0.81154390141509,0.288372441826802,0.868770479257655,0.180016877276486,0.0835017218453284,0.206430070340469,2.63212729495059,0.0452054367680468,0.139071573000139,1.11414480742773,0.861206290433336,0.181400322274634,0.0563907773548742,0.00276625349289006,1.95650887437375,0.403621789613874,1.18585384174346,0.861206290433336,1.47119139580673,1.48492496456152,0.0563907773548742,0.28422305827999,0.271670592208869,0.930553178794719,0.256824084091875,0.81154390141509,2.33629615033636,0.201925558219363,1.48798794078378,0.273773642405649,1.31917424164645,0.271670592208869,0.246082842260462,2.33629615033636,0.930553178794719,0.256824084091875,0.0741164719773515
"C8A",1.72660811763035,0.957341271704513,1.57012080909327,1.85919166930966,0.0357180826020791,2.43361335540045,0.633774907059976,0.0593722734999691,0.0973172050640922,0,0.958523495497428,3.79173683955364,0.429403519046348,0.784954729813069,0.448790232846537,0.0344861760711694,0.223770314105019,1.3525224354733,0.0863846141988205,1.84582669049833,0,0.233614851181505,4.89034912822175,0.306304584549782,4.19720194766181,1.13632167462085,0.326000936753918,1.13632167462085,0.191262254670496,2.94443897916644,0.186905853215897,1.72660811763035,0.950710955760635,0.14396877368214,1.84582669049833,0.191055236762709,2.43361335540045,0.191055236762709,0.343514519246626,0.109112865276376,0.191262254670496,1.39067073571969,4.89034912822175,4.19720194766181,2.88772274972459,1.39067073571969,0.437527040567828,0.673295412007215,0,0.635767601176687,0.231638175305633,0.270620047175059,0.266788624863503,0.0593722734999691,0.25886163391629,1.19869574722509,1.13632167462085,0.251314428280905,0.11966450375609,1.12824408627448,2.2512917986065,0.25886163391629,0.622985401868013,0.270620047175059,0.958523495497428,4.89034912822175,1.01682760236364,0.180818926909421,1.22185703658236,0.509471323656804,1.01682760236364,0.100083458556982,0.627669251180439,0.673295412007215,0.233614851181505,1.19869574722509,0.572861014685444,1.37387419074263,0.45953232937844,4.19720194766181,0.298897143271921,0.958523495497428,4.89034912822175,0.14396877368214,1.13632167462085,4.89034912822175,4.89034912822175,0.343514519246626,1.85213834853226,1.12824408627448,0.298897143271921,0.266788624863503,0.242438788557504,2.35137525716348,1.98162823165739,0.237977340749369,0.416267041140978,0.714226696350998,0.957341271704513,0.242758226349711,0.812321617581757,0.0377981665554081,0.695656592165371,0.572861014685444,1.39067073571969,0.191055236762709,2.48595038226977,0.875990739766964,0.0344861760711694,0.0357180826020791,2.35137525716348,0.0945585826250124,0.714226696350998,0.191055236762709,0.771453274193563,0.082699672212394,0.180818926909421,0.109112865276376,2.5348100898865,0.142522641832139,0.236388778064232,1.01682760236364,0.958523495497428,0.0840831172105414,0.0409264277092181,0.100083458556982,1.85919166930966,0.306304584549782,1.08853663667937,0.958523495497428,1.37387419074263,1.58224216962561,0.0409264277092181,0.186905853215897,0.174353387144777,0.833235973730627,0.159506879027782,0.714226696350998,2.43361335540045,0.104608353155271,1.39067073571969,0.176456437341557,1.22185703658236,0.174353387144777,0.148765637196369,2.43361335540045,0.833235973730627,0.159506879027782,0.171433677041444
