"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"A16",0,33.1666666666667,36.5,19.3333333333334,25.5,36,32.5833333333334,15.25,26.75,23.5833333333334,35.0833333333334,10.5,2.6666666666667,35.8333333333334,8.3333333333334,21.9166666666667,33.8333333333334,21,37.25,11.8333333333334,13.0833333333334,13.5,32.75,38.9166666666667,10.1666666666667,6.0833333333334,24.3333333333333,0.1666666666666,1.9166666666666,15.75,12.4166666666667,16.4166666666666,37,36.3333333333334,10.8333333333334,13.4166666666667,26.3333333333333,35.75,24.3333333333334,38.5833333333334,0.1666666666667,23.3333333333333,10.0833333333334,4.8333333333334,14.9166666666667,29.3333333333334,38.25,23.1666666666667,15.4166666666667,8.75,31.1666666666667,30.5,12.4166666666667,7,48.75,17.25,27.0833333333334,3.5833333333334,24.0833333333334,7.1666666666666,12,30.4166666666667,23.5,9.5833333333334,36.0833333333334,37.25,10.9166666666667,35.4166666666667,15.75,23.8333333333334,5.5,25.1666666666667,7.5833333333334,11.0833333333334,7.1666666666666,35.5,13.6666666666666,1.0833333333333,29.9166666666667,36.0833333333334,11.5,14.4166666666667,19.4166666666667,20.5833333333334,37.9166666666667,9.0833333333334,15.75,16.9166666666667,38.4166666666667,16.1666666666667,14.75,1.25,15.75,14.3333333333334,35.25,24.0833333333334,6.4166666666667,10.25,1,10.6666666666666,7.0833333333333,13.5833333333334,1.75,3.25,9.6666666666666,7.1666666666667,27.1666666666667,33.3333333333334,10.4166666666667,10.9166666666667,8,14.4166666666667,22.4166666666667,37,30.4166666666667,21.5,13,15.75,33.6666666666667,2.6666666666667,37.5833333333334,5.8333333333334,9.5,10.3333333333333,25.5,9.3333333333334,31.5,8.1666666666667,25.9166666666667,37.3333333333334,30.3333333333334,32.9166666666667,4.6666666666667,29.25,31.3333333333334,34.5
"A64",33.1666666666667,0,3.3333333333333,13.8333333333333,7.6666666666667,2.8333333333333,0.5833333333333,17.9166666666667,59.9166666666667,9.5833333333333,1.9166666666667,43.6666666666667,30.5,2.6666666666667,24.8333333333333,11.25,0.6666666666667,54.1666666666667,4.0833333333333,21.3333333333333,20.0833333333333,19.6666666666667,0.4166666666667,5.75,23,27.0833333333333,57.5,33.3333333333333,35.0833333333333,17.4166666666667,20.75,49.5833333333333,3.8333333333333,3.1666666666667,22.3333333333333,19.75,59.5,2.5833333333333,8.8333333333333,5.4166666666667,33,56.5,23.0833333333333,28.3333333333333,18.25,3.8333333333333,5.0833333333333,10,17.75,41.9166666666667,2,2.6666666666667,20.75,26.1666666666667,15.5833333333333,50.4166666666667,6.0833333333333,29.5833333333333,9.0833333333333,40.3333333333333,21.1666666666667,2.75,9.6666666666667,23.5833333333333,2.9166666666667,4.0833333333333,22.25,2.25,17.4166666666667,9.3333333333333,27.6666666666667,8,25.5833333333333,22.0833333333333,40.3333333333333,2.3333333333333,46.8333333333333,34.25,3.25,2.9166666666667,21.6666666666667,18.75,13.75,12.5833333333333,4.75,24.0833333333333,17.4166666666667,16.25,5.25,17,18.4166666666667,34.4166666666667,17.4166666666667,18.8333333333333,2.0833333333333,9.0833333333333,26.75,22.9166666666667,32.1666666666667,43.8333333333333,40.25,19.5833333333333,31.4166666666667,36.4166666666667,42.8333333333333,26,6,0.1666666666667,22.75,22.25,25.1666666666667,18.75,10.75,3.8333333333333,2.75,11.6666666666667,20.1666666666667,17.4166666666667,0.5,30.5,4.4166666666667,27.3333333333333,23.6666666666667,43.5,7.6666666666667,23.8333333333333,1.6666666666667,25,7.25,4.1666666666667,2.8333333333333,0.25,28.5,3.9166666666667,1.8333333333333,1.3333333333333
"A82",36.5,3.3333333333333,0,17.1666666666666,11,0.5,3.9166666666666,21.25,63.25,12.9166666666666,1.4166666666666,47,33.8333333333333,0.6666666666666,28.1666666666666,14.5833333333333,2.6666666666666,57.5,0.75,24.6666666666666,23.4166666666666,23,3.75,2.4166666666667,26.3333333333333,30.4166666666666,60.8333333333333,36.6666666666666,38.4166666666666,20.75,24.0833333333333,52.9166666666666,0.5,0.1666666666666,25.6666666666666,23.0833333333333,62.8333333333333,0.75,12.1666666666666,2.0833333333334,36.3333333333333,59.8333333333333,26.4166666666666,31.6666666666666,21.5833333333333,7.1666666666666,1.75,13.3333333333333,21.0833333333333,45.25,5.3333333333333,6,24.0833333333333,29.5,12.25,53.75,9.4166666666666,32.9166666666666,12.4166666666666,43.6666666666666,24.5,6.0833333333333,13,26.9166666666666,0.4166666666666,0.75,25.5833333333333,1.0833333333333,20.75,12.6666666666666,31,11.3333333333333,28.9166666666666,25.4166666666666,43.6666666666666,1,50.1666666666666,37.5833333333333,6.5833333333333,0.4166666666666,25,22.0833333333333,17.0833333333333,15.9166666666666,1.4166666666667,27.4166666666666,20.75,19.5833333333333,1.9166666666667,20.3333333333333,21.75,37.75,20.75,22.1666666666666,1.25,12.4166666666666,30.0833333333333,26.25,35.5,47.1666666666666,43.5833333333333,22.9166666666666,34.75,39.75,46.1666666666666,29.3333333333333,9.3333333333333,3.1666666666666,26.0833333333333,25.5833333333333,28.5,22.0833333333333,14.0833333333333,0.5,6.0833333333333,15,23.5,20.75,2.8333333333333,33.8333333333333,1.0833333333334,30.6666666666666,27,46.8333333333333,11,27.1666666666666,5,28.3333333333333,10.5833333333333,0.8333333333334,6.1666666666666,3.5833333333333,31.8333333333333,7.25,5.1666666666666,2
"ACE",19.3333333333334,13.8333333333333,17.1666666666666,0,6.1666666666666,16.6666666666666,13.25,4.0833333333334,46.0833333333334,4.25,15.75,29.8333333333334,16.6666666666667,16.5,11,2.5833333333333,14.5,40.3333333333334,17.9166666666666,7.5,6.25,5.8333333333334,13.4166666666666,19.5833333333333,9.1666666666667,13.25,43.6666666666667,19.5,21.25,3.5833333333334,6.9166666666667,35.75,17.6666666666666,17,8.5,5.9166666666667,45.6666666666667,16.4166666666666,5,19.25,19.1666666666667,42.6666666666667,9.25,14.5,4.4166666666667,10,18.9166666666666,3.8333333333333,3.9166666666667,28.0833333333334,11.8333333333333,11.1666666666666,6.9166666666667,12.3333333333334,29.4166666666666,36.5833333333334,7.75,15.75,4.75,26.5,7.3333333333334,11.0833333333333,4.1666666666666,9.75,16.75,17.9166666666666,8.4166666666667,16.0833333333333,3.5833333333334,4.5,13.8333333333334,5.8333333333333,11.75,8.25,26.5,16.1666666666666,33,20.4166666666667,10.5833333333333,16.75,7.8333333333334,4.9166666666667,0.0833333333333002,1.25,18.5833333333333,10.25,3.5833333333334,2.4166666666667,19.0833333333333,3.1666666666667,4.5833333333334,20.5833333333334,3.5833333333334,5,15.9166666666666,4.75,12.9166666666667,9.0833333333334,18.3333333333334,30,26.4166666666667,5.75,17.5833333333334,22.5833333333334,29,12.1666666666667,7.8333333333333,14,8.9166666666667,8.4166666666667,11.3333333333334,4.9166666666667,3.0833333333333,17.6666666666666,11.0833333333333,2.1666666666666,6.3333333333334,3.5833333333334,14.3333333333333,16.6666666666667,18.25,13.5,9.8333333333334,29.6666666666667,6.1666666666666,10,12.1666666666666,11.1666666666667,6.5833333333333,18,11,13.5833333333333,14.6666666666667,9.9166666666666,12,15.1666666666666
"ADZ",25.5,7.6666666666667,11,6.1666666666666,0,10.5,7.0833333333334,10.25,52.25,1.9166666666666,9.5833333333334,36,22.8333333333333,10.3333333333334,17.1666666666666,3.5833333333333,8.3333333333334,46.5,11.75,13.6666666666666,12.4166666666666,12,7.25,13.4166666666667,15.3333333333333,19.4166666666666,49.8333333333333,25.6666666666666,27.4166666666666,9.75,13.0833333333333,41.9166666666666,11.5,10.8333333333334,14.6666666666666,12.0833333333333,51.8333333333333,10.25,1.1666666666666,13.0833333333334,25.3333333333333,48.8333333333333,15.4166666666666,20.6666666666666,10.5833333333333,3.8333333333334,12.75,2.3333333333333,10.0833333333333,34.25,5.6666666666667,5,13.0833333333333,18.5,23.25,42.75,1.5833333333334,21.9166666666666,1.4166666666666,32.6666666666666,13.5,4.9166666666667,2,15.9166666666666,10.5833333333334,11.75,14.5833333333333,9.9166666666667,9.75,1.6666666666666,20,0.3333333333333,17.9166666666666,14.4166666666666,32.6666666666666,10,39.1666666666666,26.5833333333333,4.4166666666667,10.5833333333334,14,11.0833333333333,6.0833333333333,4.9166666666666,12.4166666666667,16.4166666666666,9.75,8.5833333333333,12.9166666666667,9.3333333333333,10.75,26.75,9.75,11.1666666666666,9.75,1.4166666666666,19.0833333333333,15.25,24.5,36.1666666666666,32.5833333333333,11.9166666666666,23.75,28.75,35.1666666666666,18.3333333333333,1.6666666666667,7.8333333333334,15.0833333333333,14.5833333333333,17.5,11.0833333333333,3.0833333333333,11.5,4.9166666666667,4,12.5,9.75,8.1666666666667,22.8333333333333,12.0833333333334,19.6666666666666,16,35.8333333333333,0,16.1666666666666,6,17.3333333333333,0.4166666666667,11.8333333333334,4.8333333333334,7.4166666666667,20.8333333333333,3.75,5.8333333333334,9
"AQV",36,2.8333333333333,0.5,16.6666666666666,10.5,0,3.4166666666666,20.75,62.75,12.4166666666666,0.9166666666666,46.5,33.3333333333333,0.1666666666666,27.6666666666666,14.0833333333333,2.1666666666666,57,1.25,24.1666666666666,22.9166666666666,22.5,3.25,2.9166666666667,25.8333333333333,29.9166666666666,60.3333333333333,36.1666666666666,37.9166666666666,20.25,23.5833333333333,52.4166666666666,1,0.3333333333334,25.1666666666666,22.5833333333333,62.3333333333333,0.25,11.6666666666666,2.5833333333334,35.8333333333333,59.3333333333333,25.9166666666666,31.1666666666666,21.0833333333333,6.6666666666666,2.25,12.8333333333333,20.5833333333333,44.75,4.8333333333333,5.5,23.5833333333333,29,12.75,53.25,8.9166666666666,32.4166666666666,11.9166666666666,43.1666666666666,24,5.5833333333333,12.5,26.4166666666666,0.0833333333333997,1.25,25.0833333333333,0.5833333333333,20.25,12.1666666666666,30.5,10.8333333333333,28.4166666666666,24.9166666666666,43.1666666666666,0.5,49.6666666666666,37.0833333333333,6.0833333333333,0.0833333333333997,24.5,21.5833333333333,16.5833333333333,15.4166666666666,1.9166666666667,26.9166666666666,20.25,19.0833333333333,2.4166666666667,19.8333333333333,21.25,37.25,20.25,21.6666666666666,0.75,11.9166666666666,29.5833333333333,25.75,35,46.6666666666666,43.0833333333333,22.4166666666666,34.25,39.25,45.6666666666666,28.8333333333333,8.8333333333333,2.6666666666666,25.5833333333333,25.0833333333333,28,21.5833333333333,13.5833333333333,1,5.5833333333333,14.5,23,20.25,2.3333333333333,33.3333333333333,1.5833333333334,30.1666666666666,26.5,46.3333333333333,10.5,26.6666666666666,4.5,27.8333333333333,10.0833333333333,1.3333333333334,5.6666666666666,3.0833333333333,31.3333333333333,6.75,4.6666666666666,1.5
"AV5",32.5833333333334,0.5833333333333,3.9166666666666,13.25,7.0833333333334,3.4166666666666,0,17.3333333333334,59.3333333333334,9,2.5,43.0833333333334,29.9166666666667,3.25,24.25,10.6666666666667,1.25,53.5833333333334,4.6666666666666,20.75,19.5,19.0833333333334,0.1666666666666,6.3333333333333,22.4166666666667,26.5,56.9166666666667,32.75,34.5,16.8333333333334,20.1666666666667,49,4.4166666666666,3.75,21.75,19.1666666666667,58.9166666666667,3.1666666666666,8.25,6,32.4166666666667,55.9166666666667,22.5,27.75,17.6666666666667,3.25,5.6666666666666,9.4166666666667,17.1666666666667,41.3333333333334,1.4166666666667,2.0833333333334,20.1666666666667,25.5833333333334,16.1666666666666,49.8333333333334,5.5,29,8.5,39.75,20.5833333333334,2.1666666666667,9.0833333333334,23,3.5,4.6666666666666,21.6666666666667,2.8333333333333,16.8333333333334,8.75,27.0833333333334,7.4166666666667,25,21.5,39.75,2.9166666666666,46.25,33.6666666666667,2.6666666666667,3.5,21.0833333333334,18.1666666666667,13.1666666666667,12,5.3333333333333,23.5,16.8333333333334,15.6666666666667,5.8333333333333,16.4166666666667,17.8333333333334,33.8333333333334,16.8333333333334,18.25,2.6666666666666,8.5,26.1666666666667,22.3333333333334,31.5833333333334,43.25,39.6666666666667,19,30.8333333333334,35.8333333333334,42.25,25.4166666666667,5.4166666666667,0.75,22.1666666666667,21.6666666666667,24.5833333333334,18.1666666666667,10.1666666666667,4.4166666666666,2.1666666666667,11.0833333333334,19.5833333333334,16.8333333333334,1.0833333333333,29.9166666666667,5,26.75,23.0833333333334,42.9166666666667,7.0833333333334,23.25,1.0833333333334,24.4166666666667,6.6666666666667,4.75,2.25,0.3333333333333,27.9166666666667,3.3333333333334,1.25,1.9166666666666
"B93",15.25,17.9166666666667,21.25,4.0833333333334,10.25,20.75,17.3333333333334,0,42,8.3333333333334,19.8333333333334,25.75,12.5833333333333,20.5833333333334,6.9166666666666,6.6666666666667,18.5833333333334,36.25,22,3.4166666666666,2.1666666666666,1.75,17.5,23.6666666666667,5.0833333333333,9.1666666666666,39.5833333333333,15.4166666666666,17.1666666666666,0.5,2.8333333333333,31.6666666666666,21.75,21.0833333333334,4.4166666666666,1.8333333333333,41.5833333333333,20.5,9.0833333333334,23.3333333333334,15.0833333333333,38.5833333333333,5.1666666666666,10.4166666666666,0.3333333333333,14.0833333333334,23,7.9166666666667,0.1666666666667,24,15.9166666666667,15.25,2.8333333333333,8.25,33.5,32.5,11.8333333333334,11.6666666666666,8.8333333333334,22.4166666666666,3.25,15.1666666666667,8.25,5.6666666666666,20.8333333333334,22,4.3333333333333,20.1666666666667,0.5,8.5833333333334,9.75,9.9166666666667,7.6666666666666,4.1666666666666,22.4166666666666,20.25,28.9166666666666,16.3333333333333,14.6666666666667,20.8333333333334,3.75,0.8333333333333,4.1666666666667,5.3333333333334,22.6666666666667,6.1666666666666,0.5,1.6666666666667,23.1666666666667,0.9166666666667,0.5,16.5,0.5,0.9166666666666,20,8.8333333333334,8.8333333333333,5,14.25,25.9166666666666,22.3333333333333,1.6666666666666,13.5,18.5,24.9166666666666,8.0833333333333,11.9166666666667,18.0833333333334,4.8333333333333,4.3333333333333,7.25,0.8333333333333,7.1666666666667,21.75,15.1666666666667,6.25,2.25,0.5,18.4166666666667,12.5833333333333,22.3333333333334,9.4166666666666,5.75,25.5833333333333,10.25,5.9166666666666,16.25,7.0833333333333,10.6666666666667,22.0833333333334,15.0833333333334,17.6666666666667,10.5833333333333,14,16.0833333333334,19.25
"BGX",26.75,59.9166666666667,63.25,46.0833333333334,52.25,62.75,59.3333333333334,42,0,50.3333333333334,61.8333333333334,16.25,29.4166666666667,62.5833333333334,35.0833333333334,48.6666666666667,60.5833333333334,5.75,64,38.5833333333334,39.8333333333334,40.25,59.5,65.6666666666667,36.9166666666667,32.8333333333334,2.4166666666667,26.5833333333334,24.8333333333334,42.5,39.1666666666667,10.3333333333334,63.75,63.0833333333334,37.5833333333334,40.1666666666667,0.4166666666667,62.5,51.0833333333334,65.3333333333334,26.9166666666667,3.4166666666667,36.8333333333334,31.5833333333334,41.6666666666667,56.0833333333334,65,49.9166666666667,42.1666666666667,18,57.9166666666667,57.25,39.1666666666667,33.75,75.5,9.5,53.8333333333334,30.3333333333334,50.8333333333334,19.5833333333334,38.75,57.1666666666667,50.25,36.3333333333334,62.8333333333334,64,37.6666666666667,62.1666666666667,42.5,50.5833333333334,32.25,51.9166666666667,34.3333333333334,37.8333333333334,19.5833333333334,62.25,13.0833333333334,25.6666666666667,56.6666666666667,62.8333333333334,38.25,41.1666666666667,46.1666666666667,47.3333333333334,64.6666666666667,35.8333333333334,42.5,43.6666666666667,65.1666666666667,42.9166666666667,41.5,25.5,42.5,41.0833333333334,62,50.8333333333334,33.1666666666667,37,27.75,16.0833333333334,19.6666666666667,40.3333333333334,28.5,23.5,17.0833333333334,33.9166666666667,53.9166666666667,60.0833333333334,37.1666666666667,37.6666666666667,34.75,41.1666666666667,49.1666666666667,63.75,57.1666666666667,48.25,39.75,42.5,60.4166666666667,29.4166666666667,64.3333333333334,32.5833333333334,36.25,16.4166666666667,52.25,36.0833333333334,58.25,34.9166666666667,52.6666666666667,64.0833333333334,57.0833333333334,59.6666666666667,31.4166666666667,56,58.0833333333334,61.25
"BMS",23.5833333333334,9.5833333333333,12.9166666666666,4.25,1.9166666666666,12.4166666666666,9,8.3333333333334,50.3333333333334,0,11.5,34.0833333333334,20.9166666666667,12.25,15.25,1.6666666666667,10.25,44.5833333333334,13.6666666666666,11.75,10.5,10.0833333333334,9.1666666666666,15.3333333333333,13.4166666666667,17.5,47.9166666666667,23.75,25.5,7.8333333333334,11.1666666666667,40,13.4166666666666,12.75,12.75,10.1666666666667,49.9166666666667,12.1666666666666,0.75,15,23.4166666666667,46.9166666666667,13.5,18.75,8.6666666666667,5.75,14.6666666666666,0.4166666666667,8.1666666666667,32.3333333333334,7.5833333333333,6.9166666666666,11.1666666666667,16.5833333333334,25.1666666666666,40.8333333333334,3.5,20,0.5,30.75,11.5833333333334,6.8333333333333,0.0833333333333997,14,12.5,13.6666666666666,12.6666666666667,11.8333333333333,7.8333333333334,0.25,18.0833333333334,1.5833333333333,16,12.5,30.75,11.9166666666666,37.25,24.6666666666667,6.3333333333333,12.5,12.0833333333334,9.1666666666667,4.1666666666667,3,14.3333333333333,14.5,7.8333333333334,6.6666666666667,14.8333333333333,7.4166666666667,8.8333333333334,24.8333333333334,7.8333333333334,9.25,11.6666666666666,0.5,17.1666666666667,13.3333333333334,22.5833333333334,34.25,30.6666666666667,10,21.8333333333334,26.8333333333334,33.25,16.4166666666667,3.5833333333333,9.75,13.1666666666667,12.6666666666667,15.5833333333334,9.1666666666667,1.1666666666667,13.4166666666666,6.8333333333333,2.0833333333334,10.5833333333334,7.8333333333334,10.0833333333333,20.9166666666667,14,17.75,14.0833333333334,33.9166666666667,1.9166666666666,14.25,7.9166666666666,15.4166666666667,2.3333333333333,13.75,6.75,9.3333333333333,18.9166666666667,5.6666666666666,7.75,10.9166666666666
