"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"A16",0,5,22,5,14,45,1,2,5,1,6,9,5,27,1,24,18,5,20,30,6,7,23,18,2,0,9,1,8,8,2,4,33,19,2,9,7,61,27,20,12,5,4,5,15,28,5,3,6,7,10,47,13,2,37,6,7,13,1,1,10,13,5,7,12,25,5,22,6,1,2,9,5,19,1,27,5,3,38,1,6,19,5,5,18,2,2,2,32,4,4,9,2,1,6,6,2,4,2,2,0,22,5,1,9,1,12,51,0,1,4,10,8,26,18,3,3,14,2,12,25,0,11,3,11,3,9,1,14,41,23,12,0,16,6,12
"A64",5,0,17,0,9,40,4,3,0,4,1,4,0,22,6,19,13,0,15,25,1,2,18,13,3,5,4,6,3,3,3,1,28,14,3,4,2,56,22,15,7,0,1,0,10,23,0,2,1,2,5,42,8,3,32,1,2,8,4,4,5,8,0,2,7,20,0,17,1,4,3,4,0,14,4,22,0,2,33,4,1,14,0,0,13,3,3,3,27,1,1,4,3,6,1,1,3,1,3,3,5,17,0,4,4,6,7,46,5,6,1,5,3,21,13,2,2,9,3,7,20,5,6,2,6,2,4,6,9,36,18,7,5,11,1,7
"A82",22,17,0,17,8,23,21,20,17,21,16,13,17,5,23,2,4,17,2,8,16,15,1,4,20,22,13,23,14,14,20,18,11,3,20,13,15,39,5,2,10,17,18,17,7,6,17,19,16,15,12,25,9,20,15,16,15,9,21,21,12,9,17,15,10,3,17,0,16,21,20,13,17,3,21,5,17,19,16,21,16,3,17,17,4,20,20,20,10,18,18,13,20,23,16,16,20,18,20,20,22,0,17,21,13,23,10,29,22,23,18,12,14,4,4,19,19,8,20,10,3,22,11,19,11,19,13,23,8,19,1,10,22,6,16,10
"ACE",5,0,17,0,9,40,4,3,0,4,1,4,0,22,6,19,13,0,15,25,1,2,18,13,3,5,4,6,3,3,3,1,28,14,3,4,2,56,22,15,7,0,1,0,10,23,0,2,1,2,5,42,8,3,32,1,2,8,4,4,5,8,0,2,7,20,0,17,1,4,3,4,0,14,4,22,0,2,33,4,1,14,0,0,13,3,3,3,27,1,1,4,3,6,1,1,3,1,3,3,5,17,0,4,4,6,7,46,5,6,1,5,3,21,13,2,2,9,3,7,20,5,6,2,6,2,4,6,9,36,18,7,5,11,1,7
"ADZ",14,9,8,9,0,31,13,12,9,13,8,5,9,13,15,10,4,9,6,16,8,7,9,4,12,14,5,15,6,6,12,10,19,5,12,5,7,47,13,6,2,9,10,9,1,14,9,11,8,7,4,33,1,12,23,8,7,1,13,13,4,1,9,7,2,11,9,8,8,13,12,5,9,5,13,13,9,11,24,13,8,5,9,9,4,12,12,12,18,10,10,5,12,15,8,8,12,10,12,12,14,8,9,13,5,15,2,37,14,15,10,4,6,12,4,11,11,0,12,2,11,14,3,11,3,11,5,15,0,27,9,2,14,2,8,2
"AQV",45,40,23,40,31,0,44,43,40,44,39,36,40,18,46,21,27,40,25,15,39,38,22,27,43,45,36,46,37,37,43,41,12,26,43,36,38,16,18,25,33,40,41,40,30,17,40,42,39,38,35,2,32,43,8,39,38,32,44,44,35,32,40,38,33,20,40,23,39,44,43,36,40,26,44,18,40,42,7,44,39,26,40,40,27,43,43,43,13,41,41,36,43,46,39,39,43,41,43,43,45,23,40,44,36,46,33,6,45,46,41,35,37,19,27,42,42,31,43,33,20,45,34,42,34,42,36,46,31,4,22,33,45,29,39,33
"AV5",1,4,21,4,13,44,0,1,4,0,5,8,4,26,2,23,17,4,19,29,5,6,22,17,1,1,8,2,7,7,1,3,32,18,1,8,6,60,26,19,11,4,3,4,14,27,4,2,5,6,9,46,12,1,36,5,6,12,0,0,9,12,4,6,11,24,4,21,5,0,1,8,4,18,0,26,4,2,37,0,5,18,4,4,17,1,1,1,31,3,3,8,1,2,5,5,1,3,1,1,1,21,4,0,8,2,11,50,1,2,3,9,7,25,17,2,2,13,1,11,24,1,10,2,10,2,8,2,13,40,22,11,1,15,5,11
"B93",2,3,20,3,12,43,1,0,3,1,4,7,3,25,3,22,16,3,18,28,4,5,21,16,0,2,7,3,6,6,0,2,31,17,0,7,5,59,25,18,10,3,2,3,13,26,3,1,4,5,8,45,11,0,35,4,5,11,1,1,8,11,3,5,10,23,3,20,4,1,0,7,3,17,1,25,3,1,36,1,4,17,3,3,16,0,0,0,30,2,2,7,0,3,4,4,0,2,0,0,2,20,3,1,7,3,10,49,2,3,2,8,6,24,16,1,1,12,0,10,23,2,9,1,9,1,7,3,12,39,21,10,2,14,4,10
"BGX",5,0,17,0,9,40,4,3,0,4,1,4,0,22,6,19,13,0,15,25,1,2,18,13,3,5,4,6,3,3,3,1,28,14,3,4,2,56,22,15,7,0,1,0,10,23,0,2,1,2,5,42,8,3,32,1,2,8,4,4,5,8,0,2,7,20,0,17,1,4,3,4,0,14,4,22,0,2,33,4,1,14,0,0,13,3,3,3,27,1,1,4,3,6,1,1,3,1,3,3,5,17,0,4,4,6,7,46,5,6,1,5,3,21,13,2,2,9,3,7,20,5,6,2,6,2,4,6,9,36,18,7,5,11,1,7
"BMS",1,4,21,4,13,44,0,1,4,0,5,8,4,26,2,23,17,4,19,29,5,6,22,17,1,1,8,2,7,7,1,3,32,18,1,8,6,60,26,19,11,4,3,4,14,27,4,2,5,6,9,46,12,1,36,5,6,12,0,0,9,12,4,6,11,24,4,21,5,0,1,8,4,18,0,26,4,2,37,0,5,18,4,4,17,1,1,1,31,3,3,8,1,2,5,5,1,3,1,1,1,21,4,0,8,2,11,50,1,2,3,9,7,25,17,2,2,13,1,11,24,1,10,2,10,2,8,2,13,40,22,11,1,15,5,11
