"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"A16",0,1.1766379725583,5.941062692028,6.819922312348,4.3149610147533,2.27548643800715,0.657387408925601,1.1677473013974,3.2427536750376,8.297642312903,0.194046606783299,0.672441754677401,3.7865590759859,4.0353016457161,1.8664639132799,2.0606520465074,7.9779171006773,5.7071558464465,1.4222746289608,0.224906888819298,2.2017464527117,2.662771933612,4.859102693984,2.27548643800715,3.0053585625292,6.2090831993767,6.3694540322834,6.6923402187303,2.132045187097,0.0840797371429005,2.4837723965758,1.6735811820972,8.928920187097,3.2591446222932,1.693688812412,1.2432977897145,1.1766379725583,6.8284660348479,2.9808460680049,9.4656973979813,9.2346644886529,2.5807878627896,2.6185149988509,0.9935406161499,3.5155529533989,2.27548643800715,2.1208749374067,6.7085979230368,3.1434641303753,7.173804309385,0.5135383040754,5.1823724977733,3.2144983963861,2.27548643800715,10.8401442355399,1.6115001739613,1.936732687097,3.6160375340358,0.725795187096999,1.6688118073628,5.274702894367,5.3366049896682,5.0637601524949,0.472572027435902,8.3482874710476,1.4312346009015,7.1252936438871,8.2267358783026,3.108281985446,2.2361233697735,2.8898099623971,2.27548643800715,1.1319567308624,3.0503984206814,4.7335798184882,3.8296194373854,1.897670187097,3.1425051233486,3.9122726749283,6.897670187097,0.499692792688897,1.4649842312244,1.3039331251075,5.1422016534156,4.8716353238026,2.8532257426526,3.1912187017919,6.4051756686285,6.6221880934331,3.7377132179657,1.507045187097,4.3081187510469,4.9217331990895,1.897670187097,1.4948541034854,0.335170187096999,2.27548643800715,2.3444384493395,0.157480697398302,2.3492264233026,4.4917412614383,5.1784200727852,3.7504150657668,3.0922685250471,2.9485056440333,2.7561509363166,6.8861135966868,8.4304495038098,4.2598349808006,1.8987666302355,0.201580819715502,2.860115280031,6.9793028401582,3.0990425019234,8.7270749168528,0.4002682672449,3.5890148450426,2.27548643800715,5.022670187097,3.6426515488835,5.8014796722688,2.0613299653188,3.8917289058735,4.6754479648748,5.6974161754382,1.0731934965658,6.7025779755439,0.0150556875666013,1.8128091378566,5.0277404953717,1.5461288133815,2.9581891950449,2.6736733946883,5.3479552457223,1.4948541034854,5.795089268151
"A64",1.1766379725583,0,4.7644247194697,5.6432843397897,3.138323042195,1.09884846544885,1.8340253814839,2.3443852739557,2.0661157024793,9.4742802854613,0.982591365775001,0.504196217880899,2.6099211034276,2.8586636731578,3.0431018858382,0.8840140739491,6.801279128119,4.5305178738882,0.2456366564025,0.951731083739002,1.0251084801534,1.4861339610537,3.6824647214257,1.09884846544885,4.1819965350875,7.385721171935,5.1928160597251,7.8689781912886,0.955407214538699,1.0925582354154,1.3071344240175,0.496943209538898,7.7522822145387,2.0825066497349,0.517050839853699,0.0666598171562001,0,5.6518280622896,1.8042080954466,8.289059425423,10.4113024612112,3.7574258353479,1.4418770262926,0.1830973564084,4.6921909259572,1.09884846544885,0.9442369648484,5.5319599504785,1.966826157817,5.9971663368267,0.6630996684829,4.005734525215,2.0378604238278,1.09884846544885,9.6635062629816,0.434862201403,0.760094714538699,2.4393995614775,0.450842785461301,2.8454497799211,6.4513408669253,4.1599670171099,3.8871221799366,1.6492099999942,7.1716494984893,2.6078725734598,5.9486556713288,7.0500979057443,4.2849199580043,3.4127613423318,1.7131719898388,1.09884846544885,0.0446812416959013,1.8737604481231,3.5569418459299,2.6529814648271,0.721032214538699,4.3191430959069,2.73563470237,5.7210322145387,0.676945179869403,0.288346258666099,0.127295152549198,3.9655636808573,3.6949973512443,1.6765877700943,4.3678566743502,5.2285376960702,5.4455501208748,4.914351190524,0.330407214538699,3.1314807784886,6.0983711716478,0.721032214538699,0.318216130927098,0.841467785461301,1.09884846544885,3.5210764218978,1.3341186699566,1.1725884507443,5.6683792339966,4.0017821002269,2.5737770932085,1.9156305524888,4.1251436165916,1.5795129637583,8.0627515692451,7.2538115312515,3.0831970082423,0.722128657677199,1.3782187922738,4.0367532525893,5.8026648675999,4.2756804744817,7.5504369442945,1.5769062398032,4.7656528176009,1.09884846544885,3.8460322145387,2.4660135763252,4.6248416997105,3.2379679378771,5.0683668784318,3.4988099923165,4.5207782028799,2.2498314691241,5.5259400029856,1.1916936601249,2.9894471104149,3.8511025228134,0.3694908408232,1.7815512224866,1.49703542213,4.171317273164,0.318216130927098,4.6184512955927
"A82",5.941062692028,4.7644247194697,0,0.87885962032,1.6261016772747,3.66557625402085,6.5984501009536,7.1088099934254,2.6983090169904,14.238705004931,5.7470160852447,5.2686209373506,2.1545036160421,1.9057610463119,7.8075266053079,3.8804106455206,2.0368544086493,0.233906845581497,4.5187880630672,5.7161558032087,3.7393162393163,3.278290758416,1.081959998044,3.66557625402085,8.9464212545572,12.1501458914047,0.428391340255402,12.6334029107583,3.809017504931,5.8569829548851,3.4572902954522,4.2674815099308,2.987857495069,2.6819180697348,4.247373879616,4.6977649023135,4.7644247194697,0.887403342819901,2.9602166240231,3.5246347059533,15.1757271806809,8.5218505548176,3.3225476931771,4.9475220758781,9.4566156454269,3.66557625402085,3.8201877546213,0.7675352310088,2.7975985616527,1.232741617357,5.4275243879526,0.758690194254701,2.7265642956419,3.66557625402085,4.8990815435119,4.3295625180667,4.004330004931,2.3250251579922,5.215267504931,7.6098744993908,11.215765586395,0.604457702359799,0.877302539533098,6.4136347194639,2.4072247790196,7.3722972929295,1.1842309518591,2.2856731862746,9.049344677474,8.1771860618015,3.0512527296309,3.66557625402085,4.8091059611656,2.8906642713466,1.2074828735398,2.1114432546426,4.043392504931,9.0835678153766,2.0287900170997,0.956607495069001,5.4413698993391,4.4760784608036,4.6371295669205,0.798861038612401,1.0694273682254,3.0878369493754,9.1322813938199,0.4641129766005,0.681125401405101,9.6787759099937,4.434017504931,1.6329439409811,10.8627958911175,4.043392504931,4.4462085885426,5.605892504931,3.66557625402085,8.2855011413675,6.0985433894263,3.5918362687254,10.4328039534663,0.762642619242801,2.1906476262612,2.8487941669809,8.8895683360613,3.1849117557114,12.8271762887148,2.4893868117818,1.6812277112274,4.0422960617925,6.1426435117435,8.801177972059,1.0382401481302,9.0401051939514,2.7860122248248,6.3413309592729,9.5300775370706,3.66557625402085,0.918392504930999,2.2984111431445,0.139583019759201,8.0023926573468,9.8327915979015,1.2656147271532,0.243646516589799,7.0142561885938,0.761515283515902,5.9561183795946,7.7538718298846,0.913322196656299,4.3949338786465,2.9828734969831,3.2673892973397,0.593107446305698,4.4462085885426,0.145973423876999
"ACE",6.819922312348,5.6432843397897,0.87885962032,0,2.5049612975947,4.54443587434085,7.4773097212736,7.9876696137454,3.5771686373104,15.117564625251,6.6258757055647,6.1474805576706,3.0333632363621,2.7846206666319,8.6863862256279,4.7592702658406,1.1579947883293,1.1127664659015,5.3976476833872,6.5950154235287,4.6181758596363,4.157150378736,1.960819618364,4.54443587434085,9.8252808748772,13.0290055117247,0.450468280064598,13.5122625310783,4.687877125251,6.7358425752051,4.3361499157722,5.1463411302508,2.108997874749,3.5607776900548,5.126233499936,5.5766245226335,5.6432843397897,0.00854372249990121,3.8390762443431,2.6457750856333,16.0545868010009,9.4007101751376,4.2014073134971,5.8263816961981,10.3354752657469,4.54443587434085,4.6990473749413,0.1113243893112,3.6764581819727,0.353881997037,6.3063840082726,1.6375498145747,3.6054239159619,4.54443587434085,4.0202219231919,5.2084221383867,4.883189625251,3.2038847783122,6.094127125251,8.4887341197108,12.094625206715,1.4833173226798,1.7561621598531,7.2924943397839,1.5283651586996,8.2511569132495,0.305371331539099,1.4068135659546,9.928204297794,9.0560456821215,3.9301123499509,4.54443587434085,5.6879655814856,3.7695238916666,2.0863424938598,2.9903028749626,4.922252125251,9.9624274356966,2.9076496374197,0.0777478747490008,6.3202295196591,5.3549380811236,5.5159891872405,1.6777206589324,1.9482869885454,3.9666965696954,10.0111410141399,0.4147466437195,0.197734218914899,10.5576355303137,5.312877125251,2.5118035613011,11.7416555114375,4.922252125251,5.3250682088626,6.484752125251,4.54443587434085,9.1643607616875,6.9774030097463,4.4706958890454,11.3116635737863,1.6415022395628,3.0695072465812,3.7276537873009,9.7684279563813,4.0637713760314,13.7060359090348,1.6105271914618,2.5600873315474,4.9211556821125,7.0215031320635,9.680037592379,0.1593805278102,9.9189648142714,1.9071526045048,7.2201905795929,10.4089371573906,4.54443587434085,1.797252125251,3.1772707634645,1.0184426400792,8.8812522776668,10.7116512182215,2.1444743474732,1.1225061369098,7.8931158089138,0.117344336804099,6.8349779999146,8.6327314502046,1.7921818169763,5.2737934989665,3.8617331173031,4.1462489176597,1.4719670666257,5.3250682088626,1.024833044197
"ADZ",4.3149610147533,3.138323042195,1.6261016772747,2.5049612975947,0,2.03947457674615,4.9723484236789,5.4827083161507,1.0722073397157,12.6126033276563,4.12091440797,3.6425192600759,0.528401938767399,0.279659369037198,6.1814249280332,2.2543089682459,3.662956085924,1.3921948316932,2.8926863857925,4.090054125934,2.1132145620416,1.6521890811413,0.544141679230702,2.03947457674615,7.3203195772825,10.52404421413,2.0544930175301,11.0073012334836,2.1829158276563,4.2308812776104,1.8311886181775,2.6413798326561,4.6139591723437,1.0558163924601,2.6212722023413,3.0716632250388,3.138323042195,2.5135050200946,1.3341149467484,5.150736383228,13.5496255034062,6.8957488775429,1.6964460159024,3.3214203986034,7.8305139681522,2.03947457674615,2.1940860773466,2.3936369082835,1.171496884378,2.8588432946317,3.8014227106779,0.86741148302,1.1004626183672,2.03947457674615,6.5251832207866,2.703460840792,2.3782283276563,0.6989234807175,3.5891658276563,5.9837728221161,9.5896639091203,1.0216439749149,0.748799137741603,4.7875330421892,4.0333264562943,5.7461956156548,2.8103326291338,3.9117748635493,7.4232430001993,6.5510843845268,1.4251510523562,2.03947457674615,3.1830042838909,1.2645625940719,0.418618803734901,0.485341577367898,2.4172908276563,7.4574661381019,0.402688339824998,2.5827091723437,3.8152682220644,2.8499767835289,3.0110278896458,0.8272406386623,0.556674309049303,1.4617352721007,7.5061797165452,2.0902146538752,2.3072270786798,8.052674232719,2.8079158276563,0.00684226370639962,9.2366942138428,2.4172908276563,2.8201069112679,3.9797908276563,2.03947457674615,6.6593994640928,4.4724417121516,1.9657345914507,8.8067022761916,0.8634590580319,0.564545948986499,1.2226924897062,7.2634666587866,1.5588100784367,11.2010746114401,4.1154884890565,0.0551260339526998,2.4161943845178,4.5165418344688,7.1750762947843,2.6643418254049,7.4140035166767,4.4121139020995,4.7152292819982,7.9039758597959,2.03947457674615,0.707709172343701,0.672309465869798,1.4865186575155,6.3762909800721,8.2066899206268,0.360486950121501,1.3824551606849,5.3881545113191,2.3876169607906,4.3300167023199,6.1277701526099,0.712779480618401,2.7688322013718,1.3567718197084,1.641287620065,1.032994230969,2.8201069112679,1.4801282533977
"AQV",2.27548643800715,1.09884846544885,3.66557625402085,4.54443587434085,2.03947457674615,0,2.93287384693275,3.44323373940455,0.967267237030448,10.5731287509102,2.08143983122385,1.60304468332975,1.51107263797875,1.75981520770895,4.14195035128705,0.21483439149975,5.70243066267015,3.43166940843935,0.85321180904635,2.05057954918785,0.0737399852954503,0.38728549560485,2.58361625597685,0,5.28084500053635,8.48456963738385,4.09396759427625,8.96782665673745,0.143441250910151,2.19140670086425,0.208285958568649,0.601905255909951,6.65343374908985,0.98365818428605,0.581797625595151,1.03218864829265,1.09884846544885,4.55297959684075,0.705359629997748,7.19021095997415,11.5101509266601,4.85627430079675,0.343028560843749,1.28194582185725,5.79103939140605,0,0.154611500600449,4.43311148502965,0.86797769236815,4.89831787137785,1.76194813393175,2.90688605976615,0.939011958378948,0,8.56465779753275,0.66398626404585,0.338753750910151,1.34055109602865,1.54969125091015,3.94429824536995,7.55018933237415,3.06111855166105,2.78827371448775,2.74805846544305,6.07280103304045,3.70672103890865,4.84980720587995,5.95124944029545,5.38376842345315,4.51160980778065,0.614323524389949,0,1.14352970714475,0.774911982674251,2.45809338048105,1.55413299937825,0.377816250910151,5.41799156135575,1.63678623692115,4.62218374908985,1.77579364531825,0.810502206782751,0.971553312899651,2.86671521540845,2.59614888579545,0.577739304645448,5.46670513979905,4.12968923062135,4.34670165542595,6.01319965597285,0.768441250910151,2.03263231303975,7.19721963709665,0.377816250910151,0.780632334521751,1.94031625091015,0,4.61992488734665,2.43296713540545,0.0737399852954503,6.76722769944545,2.90293363477805,1.47492862775965,0.81678208703995,5.22399208204045,0.480664498309448,9.16160003469395,6.15496306580265,1.98434854279345,0.37671980777165,2.47706725772265,5.13560171803815,4.70381640215105,5.37452893993055,6.45158847884565,2.67575470525205,5.86450128304975,0,2.74718374908985,1.36716511087635,3.52599323426165,4.33681640332595,6.16721534388065,2.39996152686765,3.42192973743105,3.34867993457295,4.42709153753675,2.29054212557375,4.08829557586375,2.75225405736455,0.729357624625649,0.682702757037749,0.398186956681151,3.07246880771515,0.780632334521751,3.51960283014385
"AV5",0.657387408925601,1.8340253814839,6.5984501009536,7.4773097212736,4.9723484236789,2.93287384693275,0,0.510359892471801,3.9001410839632,7.6402549039774,0.8514340157089,1.329829163603,4.4439464849115,4.6926890546417,1.2090765043543,2.718039455433,8.6353045096029,6.3645432553721,2.0796620378864,0.882294297744899,2.8591338616373,3.3201593425376,5.5164901029096,2.93287384693275,2.3479711536036,5.5516957904511,7.026841441209,6.0349528098047,2.7894325960226,0.741467146068501,3.1411598055014,2.3309685910228,9.5863075960226,3.9165320312188,2.3510762213376,1.9006851986401,1.8340253814839,7.4858534437735,3.6382334769305,10.1230848069069,8.5772770797273,1.923400453864,3.2759024077765,1.6509280250755,2.8581655444733,2.93287384693275,2.7782623463323,7.3659853319624,3.8008515393009,7.8311917183106,1.170925713001,5.8397599066989,3.8718858053117,2.93287384693275,11.4975316444655,2.2688875828869,2.5941200960226,4.2734249429614,1.3831825960226,1.0114243984372,4.6173154854414,5.9939923985938,5.7211475614205,0.184815381489699,9.0056748799732,0.7738471919759,7.7826810528127,8.8841232872282,2.4508945765204,1.5787359608479,3.5471973713227,2.93287384693275,1.789344139788,3.707785829607,5.3909672274138,4.487006846311,2.5550575960226,2.485117714423,4.5696600838539,7.5550575960226,1.1570802016145,2.12237164015,1.9613205340331,5.7995890623412,5.5290227327282,3.5106131515782,2.5338312928663,7.0625630775541,7.2795755023587,3.0803258090401,2.1644325960226,4.9655061599725,4.2643457901639,2.5550575960226,2.152241512411,0.9925575960226,2.93287384693275,1.6870510404139,0.499906711527299,3.0066138322282,3.8343538525127,5.8358074817108,4.4078024746924,3.7496559339727,2.2911182351077,3.4135383452422,6.2287261877612,9.0878369127354,4.9172223897262,2.5561540391611,0.455806589210098,2.2027278711054,7.6366902490838,2.4416550929978,9.3844623257784,0.2571191416807,2.931627436117,2.93287384693275,5.6800575960226,4.3000389578091,6.4588670811944,1.4039425563932,3.2343414969479,5.3328353738004,6.3548035843638,0.415806087640199,7.3599653844695,0.642331721359,1.155421728931,5.6851279042973,2.2035162223071,3.6155766039705,3.3310608036139,6.0053426546479,2.152241512411,6.4524766770766
"B93",1.1677473013974,2.3443852739557,7.1088099934254,7.9876696137454,5.4827083161507,3.44323373940455,0.510359892471801,0,4.410500976435,7.1298950115056,1.3617939081807,1.8401890560748,4.9543063773833,5.2030489471135,0.698716611882499,3.2283993479048,9.1456644020747,6.8749031478439,2.5900219303582,1.3926541902167,3.3694937541091,3.8305192350094,6.0268499953814,3.44323373940455,1.8376112611318,5.0413358979793,7.5372013336808,5.5245929173329,3.2997924884944,1.2518270385403,3.6515196979732,2.8413284834946,10.0966674884944,4.4268919236906,2.8614361138094,2.4110450911119,2.3443852739557,7.9962133362453,4.1485933694023,10.6334446993787,8.0669171872555,1.4130405613922,3.7862623002483,2.1612879175473,2.3478056520015,3.44323373940455,3.2886222388041,7.8763452244342,4.3112114317727,8.3415516107824,1.6812856054728,6.3501197991707,4.3822456977835,3.44323373940455,12.0078915369373,2.7792474753587,3.1044799884944,4.7837848354332,1.8935424884944,0.501064505965399,4.1069555929696,6.5043522910656,6.2315074538923,0.6951752739615,9.516034772445,0.263487299504099,8.2930409452845,9.3944831797,1.9405346840486,1.0683760683761,4.0575572637945,3.44323373940455,2.2997040322598,4.2181457220788,5.9013271198856,4.9973667387828,3.0654174884944,1.9747578219512,5.0800199763257,8.0654174884944,1.6674400940863,2.6327315326218,2.4716804265049,6.309948954813,6.0393826252,4.02097304405,2.0234714003945,7.5729229700259,7.7899353948305,2.5699659165683,2.6747924884944,5.4758660524443,3.7539858976921,3.0654174884944,2.6626014048828,1.5029174884944,3.44323373940455,1.1766911479421,1.0102666039991,3.5169737247,3.3239939600409,6.3461673741826,4.9181623671642,4.2600158264445,1.7807583426359,3.923898237714,5.7183662952894,9.5981968052072,5.427582282198,3.0665139316329,0.966166481681899,1.6923679786336,8.1470501415556,1.931295200526,9.8948222182502,0.767479034152501,2.4212675436452,3.44323373940455,6.1904174884944,4.8103988502809,6.9692269736662,0.8935826639214,2.7239816044761,5.8431952662722,6.8651634768356,0.0945538048316017,7.8703252769413,1.1526916138308,0.645061836459199,6.1954877967691,2.7138761147789,4.1259364964423,3.8414206960857,6.5157025471197,2.6626014048828,6.9628365695484
"BGX",3.2427536750376,2.0661157024793,2.6983090169904,3.5771686373104,1.0722073397157,0.967267237030448,3.9001410839632,4.410500976435,0,11.5403959879406,3.0487070682543,2.5703119203602,0.543805400948301,0.792547970678502,5.1092175883175,1.1821016285302,4.7351634256397,2.4644021714089,1.8204790460768,3.0178467862183,1.0410072223259,0.579981741425598,1.6163490189464,0.967267237030448,6.2481122375668,9.4518368744143,3.1267003572458,9.9350938937679,1.1107084879406,3.1586739378947,0.7589812784618,1.5691724929404,5.6861665120594,0.0163909472556014,1.5490648626256,1.9994558853231,2.0661157024793,3.5857123598103,0.2619076070327,6.2229437229437,12.4774181636905,5.8235415378272,0.6242386761867,2.2492130588877,6.7583066284365,0.967267237030448,1.1218787376309,3.4658442479992,0.0992895446622981,3.9310506343474,2.7292153709622,1.9396188227357,0.0282552786514998,0.967267237030448,7.5973905605023,1.6312535010763,1.3060209879406,0.373283858998199,2.5169584879406,4.9115654824004,8.5174565694046,2.0938513146306,1.8210064774573,3.7153257024735,5.10553379601,4.6739882759391,3.8825399688495,4.983982203265,6.3510356604836,5.4788770448111,0.352943712640499,0.967267237030448,2.1107969441752,0.192355254356197,1.4908261434506,0.586865762347802,1.3450834879406,6.3852587983862,0.669518999890702,3.6549165120594,2.7430608823487,1.7777694438132,1.9388205499301,1.899447978378,1.628881648765,0.389527932385,6.4339723768295,3.1624219935909,3.3794344183955,6.9804668930033,1.7357084879406,1.0653650760093,8.1644868741271,1.3450834879406,1.7478995715522,2.9075834879406,0.967267237030448,5.5871921243771,3.4002343724359,0.893527251734998,7.7344949364759,1.9356663977476,0.507661390729201,0.150485149990498,6.1912593190709,0.486602738721,10.1288672717244,5.1876958287722,1.017081305763,1.3439870448021,3.4443344947531,6.1028689550686,3.7365491651206,6.341796176961,5.4843212418152,3.6430219422825,6.8317685200802,0.967267237030448,1.7799165120594,0.399897873845902,2.5587259972312,5.3040836403564,7.1344825809111,1.4326942898372,2.4546625004006,4.3159471716034,3.4598243005063,3.2578093626042,5.0555628128942,1.7849868203341,1.6966248616561,0.284564479992699,0.569080280349297,2.1052015706847,1.7478995715522,2.5523355931134
"BMS",8.297642312903,9.4742802854613,14.238705004931,15.117564625251,12.6126033276563,10.5731287509102,7.6402549039774,7.1298950115056,11.5403959879406,0,8.4916889196863,8.9700840675804,12.0842013888889,12.3329439586191,6.4311783996231,10.3582943594104,16.2755594135803,14.0047981593495,9.7199169418638,8.5225492017223,10.4993887656147,10.960414246515,13.156745006887,10.5731287509102,5.2922837503738,2.0885591135263,14.6670963451864,1.6053020941727,10.4296875,8.3817220500459,10.7814147094788,9.9712234950002,17.2265625,11.5567869351962,9.991331125315,9.5409401026175,9.4742802854613,15.1261083477509,11.2784883809079,17.7633397108843,0.937022175749902,5.7168544501134,10.9161573117539,9.2911829290529,4.7820893595041,10.5731287509102,10.4185172503097,15.0062402359398,11.4411064432783,15.471446622288,8.8111806169784,13.4800148106763,11.5121407092891,10.5731287509102,19.1377865484429,9.9091424868643,10.234375,11.9136798469388,9.0234375,6.6288305055402,3.022939418536,13.6342473025712,13.3614024653979,7.8250702854671,16.6459297839506,6.8664077120015,15.4229359567901,16.5243781912056,5.189360327457,6.0615189431295,11.1874522753001,10.5731287509102,9.4295990437654,11.3480407335844,13.0312221313912,12.1272617502884,10.1953125,5.1551371895544,12.2099149878313,15.1953125,8.7973351055919,9.7626265441274,9.6015754380105,13.4398439663186,13.1692776367056,11.1508680555556,5.1064236111111,14.7028179815315,14.9198304063361,4.5599290949373,9.8046875,12.6057610639499,3.3759091138135,10.1953125,9.7924964163884,8.6328125,10.5731287509102,5.9532038635635,8.1401616155047,10.6468687362056,3.8059010514647,13.4760623856882,12.0480573786698,11.3899108379501,5.3491366688697,11.0537932492196,1.4115287162162,16.7280918167128,12.5574772937036,10.1964089431385,8.0960614931875,5.437527032872,15.2769451530612,5.1985998109796,17.0247172297558,7.8973740456581,4.7086274678604,10.5731287509102,13.3203125,11.9402938617865,14.0991219851718,6.2363123475842,4.4059134070295,12.9730902777778,13.9950584883412,7.2244488163372,15.0002202884469,8.2825866253364,6.4848331750464,13.3253828082747,9.8437711262845,11.2558315079479,10.9713157075913,13.6455975586253,9.7924964163884,14.092731581054
