"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"A16",0,8,6,6,6,6.5,5.5,17,1,3,6,6,0,6,0,6,1,5,6,8,8,6,8.5,6,2,5,3,2,2,0,0,3,6,6,6,6,2,8,6,5,2,4,2,0,0,8,7,6,6,5,6,12,0,2,5,0,6.5,0,6,0,11,4,0,6,5.5,6,1,6,3,6,0,6,3,6,0,5.5,0,4,6,6,0,1,15,8,6,1,0,6,6,0,0,0,0,0,5,8,10,4,6,0,1,2,11,3,0,0,6,11,0,0,1,3,11,1,7,1,1,5.5,8,6,6,1,0,3,15,6,7,0,9,3,11,11,0,6,13,6.5
"A64",8,0,2,2,2,1.5,2.5,9,7,5,2,2,8,2,8,2,7,13,2,0,0,2,0.5,2,6,13,11,10,10,8,8,11,2,2,2,2,10,0,2,3,10,12,6,8,8,0,1,2,2,13,2,4,8,6,3,8,1.5,8,2,8,3,4,8,2,2.5,2,9,2,11,2,8,2,5,2,8,2.5,8,4,2,2,8,7,7,0,2,9,8,2,2,8,8,8,8,8,3,0,2,12,2,8,9,6,3,11,8,8,2,3,8,8,9,5,3,7,1,7,7,2.5,0,2,2,7,8,11,7,2,1,8,1,5,3,3,8,2,5,1.5
"A82",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"ACE",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"ADZ",6,2,0,0,0,0.5,0.5,11,5,3,0,0,6,0,6,0,5,11,0,2,2,0,2.5,0,4,11,9,8,8,6,6,9,0,0,0,0,8,2,0,1,8,10,4,6,6,2,1,0,0,11,0,6,6,4,1,6,0.5,6,0,6,5,2,6,0,0.5,0,7,0,9,0,6,0,3,0,6,0.5,6,2,0,0,6,5,9,2,0,7,6,0,0,6,6,6,6,6,1,2,4,10,0,6,7,4,5,9,6,6,0,5,6,6,7,3,5,5,1,5,5,0.5,2,0,0,5,6,9,9,0,1,6,3,3,5,5,6,0,7,0.5
"AQV",6.5,1.5,0.5,0.5,0.5,0,1,10.5,5.5,3.5,0.5,0.5,6.5,0.5,6.5,0.5,5.5,11.5,0.5,1.5,1.5,0.5,2,0.5,4.5,11.5,9.5,8.5,8.5,6.5,6.5,9.5,0.5,0.5,0.5,0.5,8.5,1.5,0.5,1.5,8.5,10.5,4.5,6.5,6.5,1.5,0.5,0.5,0.5,11.5,0.5,5.5,6.5,4.5,1.5,6.5,0,6.5,0.5,6.5,4.5,2.5,6.5,0.5,1,0.5,7.5,0.5,9.5,0.5,6.5,0.5,3.5,0.5,6.5,1,6.5,2.5,0.5,0.5,6.5,5.5,8.5,1.5,0.5,7.5,6.5,0.5,0.5,6.5,6.5,6.5,6.5,6.5,1.5,1.5,3.5,10.5,0.5,6.5,7.5,4.5,4.5,9.5,6.5,6.5,0.5,4.5,6.5,6.5,7.5,3.5,4.5,5.5,0.5,5.5,5.5,1,1.5,0.5,0.5,5.5,6.5,9.5,8.5,0.5,0.5,6.5,2.5,3.5,4.5,4.5,6.5,0.5,6.5,0
"AV5",5.5,2.5,0.5,0.5,0.5,1,0,11.5,4.5,2.5,0.5,0.5,5.5,0.5,5.5,0.5,4.5,10.5,0.5,2.5,2.5,0.5,3,0.5,3.5,10.5,8.5,7.5,7.5,5.5,5.5,8.5,0.5,0.5,0.5,0.5,7.5,2.5,0.5,0.5,7.5,9.5,3.5,5.5,5.5,2.5,1.5,0.5,0.5,10.5,0.5,6.5,5.5,3.5,0.5,5.5,1,5.5,0.5,5.5,5.5,1.5,5.5,0.5,0,0.5,6.5,0.5,8.5,0.5,5.5,0.5,2.5,0.5,5.5,0,5.5,1.5,0.5,0.5,5.5,4.5,9.5,2.5,0.5,6.5,5.5,0.5,0.5,5.5,5.5,5.5,5.5,5.5,0.5,2.5,4.5,9.5,0.5,5.5,6.5,3.5,5.5,8.5,5.5,5.5,0.5,5.5,5.5,5.5,6.5,2.5,5.5,4.5,1.5,4.5,4.5,0,2.5,0.5,0.5,4.5,5.5,8.5,9.5,0.5,1.5,5.5,3.5,2.5,5.5,5.5,5.5,0.5,7.5,1
"B93",17,9,11,11,11,10.5,11.5,0,16,14,11,11,17,11,17,11,16,22,11,9,9,11,8.5,11,15,22,20,19,19,17,17,20,11,11,11,11,19,9,11,12,19,21,15,17,17,9,10,11,11,22,11,5,17,15,12,17,10.5,17,11,17,6,13,17,11,11.5,11,18,11,20,11,17,11,14,11,17,11.5,17,13,11,11,17,16,2,9,11,18,17,11,11,17,17,17,17,17,12,9,7,21,11,17,18,15,6,20,17,17,11,6,17,17,18,14,6,16,10,16,16,11.5,9,11,11,16,17,20,2,11,10,17,8,14,6,6,17,11,4,10.5
"BGX",1,7,5,5,5,5.5,4.5,16,0,2,5,5,1,5,1,5,0,6,5,7,7,5,7.5,5,1,6,4,3,3,1,1,4,5,5,5,5,3,7,5,4,3,5,1,1,1,7,6,5,5,6,5,11,1,1,4,1,5.5,1,5,1,10,3,1,5,4.5,5,2,5,4,5,1,5,2,5,1,4.5,1,3,5,5,1,0,14,7,5,2,1,5,5,1,1,1,1,1,4,7,9,5,5,1,2,1,10,4,1,1,5,10,1,1,2,2,10,0,6,0,0,4.5,7,5,5,0,1,4,14,5,6,1,8,2,10,10,1,5,12,5.5
"BMS",3,5,3,3,3,3.5,2.5,14,2,0,3,3,3,3,3,3,2,8,3,5,5,3,5.5,3,1,8,6,5,5,3,3,6,3,3,3,3,5,5,3,2,5,7,1,3,3,5,4,3,3,8,3,9,3,1,2,3,3.5,3,3,3,8,1,3,3,2.5,3,4,3,6,3,3,3,0,3,3,2.5,3,1,3,3,3,2,12,5,3,4,3,3,3,3,3,3,3,3,2,5,7,7,3,3,4,1,8,6,3,3,3,8,3,3,4,0,8,2,4,2,2,2.5,5,3,3,2,3,6,12,3,4,3,6,0,8,8,3,3,10,3.5
