"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","Ethnicity_2","hh_wealth","RelPub","RelPri","GodIneq","A_S"
"1","A16","J4N","F","MESTIZO",55.1666666666667,26.897670187097,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"AGREE","DISAGREE","DONTKNOW","AGREE",10,120,2,5,"COLOMBIAN",3100.3,2,1,1,1
"2","A64","DD2","F","MESTIZO",22,25.7210322145387,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",13,"DISAGREE","AGREE","DISAGREE","AGREE",9,139,0,0,NA,12244,2,1,2,6
"3","A82","GA8","F","MESTIZO",18.6666666666667,20.956607495069,"UNKNOWN","CATHOLIC","ONCEPERWEEK","MORETHANONCEPERDAY","NO",11,"AGREE","AGREE","AGREE","DISAGREE",9,127,0,0,"COLOMBIAN",6033.8,1,1,2,23
"4","ACE","D5R","F","MESTIZO",35.8333333333333,20.077747874749,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","NO",11,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,103,0,2,"COLOMBIAN",10630,2,2,2,6
"5","ADZ","KHM","F","MESTIZO",29.6666666666667,22.5827091723437,"UNKNOWN","CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",11,"DISAGREE","DONTKNOW","AGREE","DISAGREE",7,96,0,3,"COLOMBIAN",6212,2,1,1,15
"6","AQV","GT5","M","MESTIZO",19.1666666666667,24.6221837490898,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",11.5,"DISAGREE","AGREE","AGREE","DISAGREE",9,139,0,0,"COLOMBIAN",10703,2,1,2,46
"7","AV5","BFB","F","MESTIZO",22.5833333333333,27.5550575960226,"UNKNOWN","SPIRITUAL","AFEWTIMESPERYEAR","AFEWTIMESPERWEEK","NO",10.5,"DISAGREE","AGREE","DISAGREE","AGREE",9,136,0,0,"COLOMBIAN",23550,2,2,2,2
"8","B93","MTJ","F","MESTIZO",39.9166666666667,28.0654174884944,"UNKNOWN","SPIRITUAL","NEVER","EVERYDAY","YES",22,"DISAGREE","AGREE","DISAGREE","DISAGREE",10,20,0,3,"VENEZUELAN",3150,2,1,1,3
"9","BGX","RJ9","M","MESTIZO",81.9166666666667,23.6549165120594,"UNKNOWN","CATHOLIC","ONCEPERWEEK","EVERYDAY","DONTKNOW",6,"AGREE","DISAGREE","DISAGREE","DISAGREE",9,139,0,7,"COLOMBIAN",7010,1,1,2,6
"10","BMS","MTJ","F","MESTIZO",31.5833333333333,35.1953125,"UNKNOWN","CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",8,"DONTKNOW","DISAGREE","AGREE","DISAGREE",6,2,0,3,"VENEZUELAN",3150,2,1,2,2
