"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"A16",0,0.392779173860304,0.495833680141718,0.212748656025896,0.496868692993804,0.29950339589987,0.357059102102551,0.310073820627436,0.317459728230616,0.310073820627436,0.155441171963225,0.310073820627436,0.311933061684276,0.124386253589986,0.423156483134231,0.296442943908196,0.549806015416337,0.418669889158768,0.351439685084197,0.496868692993804,0.406226898123033,0.404266143893912,0.503630169811872,0.192206444553243,0.392779173860304,0.455411217469947,0.377432912475111,0.567720828561515,0.404213827019151,0.17621213640434,0.381896505319673,0.278797564917196,0.29950339589987,0.455411217469947,0.309922547729735,0.404266143893912,0.337562488017421,0.309922547729735,0.312916903112858,0.357059102102551,0.311933061684276,0.404213827019151,0.0859439198150506,0.124386253589986,0.390592118935292,0.155441171963225,0.325765154690853,0.296442943908196,0.319170963233288,0.0534355088283496,0.0392840297831201,0.418669889158768,0.495833680141718,0.192206444553243,0.381896505319673,0.418669889158768,0.417060325062507,0.417060325062507,0.173922181759771,0.321472330539055,0.418669889158768,0.310073820627436,0.549806015416337,0.406226898123033,0.406226898123033,0.197726740033618,0.351439685084197,0.0392840297831201,0.357059102102551,0.562654535018522,0.464641025331339,0.278797564917196,0.392779173860304,0.415938859333513,0.405839600090079,0.464641025331339,0.319170963233288,0.232689436292584,0.502969072722145,0,0.0392840297831201,0.173922181759771,0.305562942050054,0.510925196623943,0.351439685084197,0.0859439198150506,0.357059102102551,0.415938859333513,0.417060325062507,0.367296144208164,0.333064768034341,0.192206444553243,0.29950339589987,0.324381459360407,0.392779173860304,0.362945384775367,0.312916903112858,0.333064768034341,0.466404585976637,0.405839600090079,0.307817360429003,0.212748656025896,0.162590121827678,0.0508811269247253,0.319170963233288,0.0534355088283496,0.307817360429003,0.502969072722145,0.405839600090079,0.325765154690853,0.325765154690853,0.362945384775367,0.289000782310161,0.325765154690853,0.406226898123033,0.549806015416337,0.167114329409094,0.338422426405715,0.351452410050962,0.502017140455701,0.334279546692482,0.167114329409094,0.334279546692482,0.401139622075857,0.289000782310161,0.334279546692482,0.223133559128142,0.471790804562909,0.167114329409094,0.319170963233288,0.311933061684276,0.192206444553243,0.18658446872748,0.367296144208164,0.289000782310161,0.388094075819814
"A64",0.392779173860304,0,0.133864378065309,0.267013760810537,0.124687797283141,0.597439114655112,0.695215679326964,0.601426813201323,0.612516526813895,0.601426813201323,0.354529957321265,0.601426813201323,0.556791912707844,0.313184039211961,0.105308630126312,0.545996232039156,0.819733983274328,0.42173007247526,0.644027201955323,0.124687797283141,0.682776065458176,0.0151613966919906,0.141789258579459,0.237479380507715,0,0.438828147318068,0.749255369996819,0.895928423136877,0.678243574694424,0.233455212867589,0.768096358638009,0.122871196274016,0.597439114655112,0.438828147318068,0.59800076839765,0.0151613966919906,0.242409179530857,0.59800076839765,0.546197214262725,0.695215679326964,0.556791912707844,0.678243574694424,0.439461445023037,0.313184039211961,0.767344481028903,0.354529957321265,0.202144856058451,0.545996232039156,0.609883377559609,0.378446813170248,0.420331604012321,0.42173007247526,0.133864378065309,0.237479380507715,0.768096358638009,0.42173007247526,0.688253203849306,0.688253203849306,0.239497323741778,0.597572570693474,0.42173007247526,0.601426813201323,0.819733983274328,0.682776065458176,0.682776065458176,0.269764133598153,0.644027201955323,0.420331604012321,0.695215679326964,0.885438397800972,0.800996467443795,0.122871196274016,0,0.689925512498846,0.427581610726883,0.800996467443795,0.609883377559609,0.524779289867324,0.140088756688037,0.392779173860304,0.420331604012321,0.239497323741778,0.0915346506495851,0.118448443144044,0.644027201955323,0.439461445023037,0.695215679326964,0.689925512498846,0.688253203849306,0.752738907698346,0.230199970002667,0.237479380507715,0.597439114655112,0.574623298194585,0,0.699319810828251,0.546197214262725,0.230199970002667,0.11711960660755,0.427581610726883,0.591501182638241,0.267013760810537,0.39995356824159,0.440023847587651,0.609883377559609,0.378446813170248,0.591501182638241,0.140088756688037,0.427581610726883,0.202144856058451,0.202144856058451,0.699319810828251,0.528582905964966,0.202144856058451,0.682776065458176,0.819733983274328,0.244208838248432,0.323619584981982,0.22823015519987,0.138385609920608,0.615580180976738,0.244208838248432,0.615580180976738,0.0246751858557045,0.528582905964966,0.615580180976738,0.235297465037702,0.104252005441963,0.244208838248432,0.609883377559609,0.556791912707844,0.237479380507715,0.243159922409027,0.752738907698346,0.528582905964966,0.762760760275728
"A82",0.495833680141718,0.133864378065309,0,0.325868071557018,0.0190641065923845,0.652127241018606,0.75866144880228,0.653569491271691,0.665030617847441,0.653569491271691,0.421767079455132,0.653569491271691,0.598044833206774,0.395468455091264,0.0767790990022914,0.589965781360631,0.850821857954245,0.402784762465373,0.693356016055188,0.0190641065923845,0.723817302321157,0.118746286630188,0.00821887299388263,0.315044365150693,0.133864378065309,0.408768252478763,0.826813251665399,0.947685873609075,0.71869916027062,0.322247497609402,0.855521988782443,0.218001565963643,0.652127241018606,0.408768252478763,0.649328146110098,0.118746286630188,0.246537181055543,0.649328146110098,0.584970325510753,0.75866144880228,0.598044833206774,0.71869916027062,0.526956337691079,0.395468455091264,0.84751430399662,0.421767079455132,0.219189962199957,0.589965781360631,0.661125484553487,0.471002577863324,0.517399182903264,0.402784762465373,0,0.315044365150693,0.855521988782443,0.402784762465373,0.727041677809817,0.727041677809817,0.326230775868438,0.644943571875903,0.402784762465373,0.653569491271691,0.850821857954245,0.723817302321157,0.723817302321157,0.334288133784856,0.693356016055188,0.517399182903264,0.75866144880228,0.935121822651612,0.859420882683832,0.218001565963643,0.133864378065309,0.729591658266066,0.414460634841246,0.859420882683832,0.661125484553487,0.58445287452236,0.00715387923481337,0.495833680141718,0.517399182903264,0.326230775868438,0.195343084263952,0.0892640384040493,0.693356016055188,0.526956337691079,0.75866144880228,0.729591658266066,0.727041677809817,0.839726467024883,0.238080362015808,0.315044365150693,0.652127241018606,0.615704373044324,0.133864378065309,0.761843331013596,0.584970325510753,0.238080362015808,0.0308591517122489,0.414460634841246,0.641921529472862,0.325868071557018,0.464682451425816,0.545701769495854,0.661125484553487,0.471002577863324,0.641921529472862,0.00715387923481337,0.414460634841246,0.219189962199957,0.219189962199957,0.761843331013596,0.571505367313209,0.219189962199957,0.723817302321157,0.850821857954245,0.332438814394434,0.325969159893268,0.226073496652398,0.00628791465153899,0.663175873875575,0.332438814394434,0.663175873875575,0.146869308499692,0.571505367313209,0.663175873875575,0.298108460326295,0.0296128175242112,0.332438814394434,0.661125484553487,0.598044833206774,0.315044365150693,0.321235661124665,0.839726467024883,0.571505367313209,0.84170023733654
"ACE",0.212748656025896,0.267013760810537,0.325868071557018,0,0.332971676004595,0.332002055282521,0.434480915265255,0.335271635506882,0.346494546331641,0.335271635506882,0.0961775784353088,0.335271635506882,0.290168210974679,0.0887562143222694,0.24910400853222,0.279075158981082,0.554118597986093,0.236935504271418,0.377428827679753,0.332971676004595,0.415851735286648,0.272035446160779,0.33247590115975,0.0505921303262644,0.267013760810537,0.269955811613218,0.501282348149853,0.630427656562207,0.411373576311787,0.0789094771202217,0.533573180316749,0.149385116533049,0.332002055282521,0.269955811613218,0.331647549312711,0.272035446160779,0.125185650257563,0.331647549312711,0.280166213944286,0.434480915265255,0.290168210974679,0.411373576311787,0.212080592926137,0.0887562143222694,0.522498447996415,0.0961775784353088,0.120272969965248,0.279075158981082,0.343550628095817,0.169056744476818,0.218119361159608,0.236935504271418,0.325868071557018,0.0505921303262644,0.533573180316749,0.236935504271418,0.421549043733241,0.421549043733241,0.0728453007020956,0.330646295870427,0.236935504271418,0.335271635506882,0.554118597986093,0.415851735286648,0.415851735286648,0.0153057079200049,0.377428827679753,0.218119361159608,0.434480915265255,0.619393177931427,0.537776402203041,0.149385116533049,0.267013760810537,0.423112757060973,0.230761640395476,0.537776402203041,0.343550628095817,0.261089191276092,0.33249022460467,0.212748656025896,0.218119361159608,0.0728453007020956,0.180292155913926,0.369984681225978,0.377428827679753,0.212080592926137,0.434480915265255,0.423112757060973,0.421549043733241,0.517637302135737,0.121805358496769,0.0505921303262644,0.332002055282521,0.307950141107992,0.267013760810537,0.438016820121658,0.280166213944286,0.121805358496769,0.295018391433651,0.230761640395476,0.324949530156981,0,0.138925964711501,0.261881117039754,0.343550628095817,0.169056744476818,0.324949530156981,0.33249022460467,0.230761640395476,0.120272969965248,0.120272969965248,0.438016820121658,0.261831411899517,0.120272969965248,0.415851735286648,0.554118597986093,0.0768977276920328,0.13763391340293,0.140521741532343,0.33209900264902,0.348700829499437,0.0768977276920328,0.348700829499437,0.286054131824742,0.261831411899517,0.348700829499437,0.0318201369146543,0.308963210941779,0.0768977276920328,0.343550628095817,0.290168210974679,0.0505921303262644,0.0501978648889977,0.517637302135737,0.261831411899517,0.516402440847975
"ADZ",0.496868692993804,0.124687797283141,0.0190641065923845,0.332971676004595,0,0.661285058812425,0.766835149951352,0.6630600929023,0.674497876417966,0.6630600929023,0.428414929934145,0.6630600929023,0.608750947954873,0.399715977581211,0.0850170325495098,0.600323979394469,0.863130612230251,0.41878991480119,0.70328488767283,0,0.734812122563728,0.109555657949928,0.0228131532241697,0.319386737503935,0.124687797283141,0.425626138234204,0.832996153376441,0.957658514485857,0.729754288081215,0.324911604703606,0.860114478174224,0.218160470128094,0.661285058812425,0.425626138234204,0.658913830443761,0.109555657949928,0.259203614018137,0.658913830443761,0.59593545441719,0.766835149951352,0.608750947954873,0.729754288081215,0.530924402444245,0.399715977581211,0.853307323523451,0.428414929934145,0.229931437392141,0.600323979394469,0.670747443698713,0.473908986846444,0.519648179552285,0.41878991480119,0.0190641065923845,0.319386737503935,0.860114478174224,0.41878991480119,0.738306316031505,0.738306316031505,0.329262896988543,0.655017443056442,0.41878991480119,0.6630600929023,0.863130612230251,0.734812122563728,0.734812122563728,0.340696570073638,0.70328488767283,0.519648179552285,0.766835149951352,0.945344259092958,0.868422747217044,0.218160470128094,0.124687797283141,0.740758133671768,0.430036211976604,0.868422747217044,0.670747443698713,0.592781702290404,0.0206103786803688,0.496868692993804,0.519648179552285,0.329262896988543,0.193543289042112,0.0702262260175506,0.70328488767283,0.530924402444245,0.766835149951352,0.740758133671768,0.738306316031505,0.8443764151326,0.250210330564793,0.319386737503935,0.661285058812425,0.626474789261156,0.124687797283141,0.770150317612664,0.59593545441719,0.250210330564793,0.041211527099871,0.430036211976604,0.651606146413075,0.332971676004595,0.471895966142959,0.546333866370318,0.670747443698713,0.473908986846444,0.651606146413075,0.0206103786803688,0.430036211976604,0.229931437392141,0.229931437392141,0.770150317612664,0.581939781269746,0.229931437392141,0.734812122563728,0.863130612230251,0.335284176389721,0.339651269289298,0.239092582886692,0.0187333298781522,0.673261051879458,0.335284176389721,0.673261051879458,0.135132250108669,0.581939781269746,0.673261051879458,0.304375469018544,0.0251096912562868,0.335284176389721,0.670747443698713,0.608750947954873,0.319386737503935,0.325563081417954,0.8443764151326,0.581939781269746,0.847683202070078
"AQV",0.29950339589987,0.597439114655112,0.652127241018606,0.332002055282521,0.661285058812425,0,0.113706949343007,0.0132566772992332,0.0179648611890521,0.0132566772992332,0.243944854625014,0.0132566772992332,0.0802021212013044,0.294920519056025,0.57633464109355,0.076752302579515,0.250452692954397,0.354020435420691,0.0522796438976394,0.661285058812425,0.10701001245279,0.603392122170509,0.658008295239623,0.361293531080361,0.597439114655112,0.38487668040958,0.214146161434476,0.298551636516921,0.105452855666795,0.372004804021943,0.278710356135158,0.475995365326416,0,0.38487668040958,0.0170884670613686,0.603392122170509,0.414196360787933,0.0170884670613686,0.0960525313098603,0.113706949343007,0.0802021212013044,0.105452855666795,0.213574805595854,0.294920519056025,0.24107940992324,0.243944854625014,0.433857968384842,0.076752302579515,0.0206752716098759,0.266753597300375,0.261528155931447,0.354020435420691,0.652127241018606,0.361293531080361,0.278710356135158,0.354020435420691,0.118432091952566,0.118432091952566,0.364813544650734,0.0369779331297186,0.354020435420691,0.0132566772992332,0.250452692954397,0.10701001245279,0.10701001245279,0.327826551859693,0.0522796438976394,0.261528155931447,0.113706949343007,0.288085898412426,0.207346939798397,0.475995365326416,0.597439114655112,0.116860886772538,0.333805798017813,0.207346939798397,0.0206752716098759,0.0745832773474358,0.658325323289072,0.29950339589987,0.261528155931447,0.364813544650734,0.507736349815058,0.701843122911863,0.0522796438976394,0.213574805595854,0.113706949343007,0.116860886772538,0.118432091952566,0.264632772439684,0.419470701750874,0.361293531080361,0,0.0727152356239909,0.597439114655112,0.11495357917726,0.0960525313098603,0.419470701750874,0.621666608070206,0.333805798017813,0.022978183663312,0.332002055282521,0.198579614338253,0.298895147138227,0.0206752716098759,0.266753597300375,0.022978183663312,0.658325323289072,0.333805798017813,0.433857968384842,0.433857968384842,0.11495357917726,0.0933124229603032,0.433857968384842,0.10701001245279,0.250452692954397,0.361994889430602,0.352673104561789,0.435308926063362,0.65819032546383,0.0390654530929047,0.361994889430602,0.0390654530929047,0.614898982829675,0.0933124229603032,0.0390654530929047,0.363109824502154,0.638144478471473,0.361994889430602,0.0206752716098759,0.0802021212013044,0.361293531080361,0.356032379108796,0.264632772439684,0.0933124229603032,0.231594452308081
"AV5",0.357059102102551,0.695215679326964,0.75866144880228,0.434480915265255,0.766835149951352,0.113706949343007,0,0.118151863842344,0.107893319980891,0.118151863842344,0.341301993062817,0.118151863842344,0.190199012272997,0.384426766772167,0.682261488470698,0.189497190738134,0.228918598665817,0.466255466695197,0.0999231835591133,0.766835149951352,0.132136269782297,0.702371669947717,0.764852888314943,0.457747064883224,0.695215679326964,0.49603565374665,0.112061777889571,0.210823244619381,0.135837621103067,0.464116666173081,0.187286049286438,0.572502118195415,0.113706949343007,0.49603565374665,0.123686548012089,0.702371669947717,0.524847829287189,0.123686548012089,0.206468184491387,0,0.190199012272997,0.135837621103067,0.276695934738724,0.384426766772167,0.139199686490006,0.341301993062817,0.542116306832091,0.189497190738134,0.114557476947722,0.338222251037567,0.317853207480924,0.466255466695197,0.75866144880228,0.457747064883224,0.187286049286438,0.466255466695197,0.144278526709407,0.144278526709407,0.457414546166895,0.138249009574041,0.466255466695197,0.118151863842344,0.228918598665817,0.132136269782297,0.132136269782297,0.428349424104349,0.0999231835591133,0.317853207480924,0,0.205697221904403,0.108616276935362,0.572502118195415,0.695215679326964,0.139357357759108,0.445976772982612,0.108616276935362,0.114557476947722,0.17425032303914,0.765049440766498,0.357059102102551,0.317853207480924,0.457414546166895,0.604150557438134,0.803669043034837,0.0999231835591133,0.276695934738724,0,0.139357357759108,0.144278526709407,0.176243782495826,0.529435145680934,0.457747064883224,0.113706949343007,0.178223012971333,0.695215679326964,0.00675824195705372,0.206468184491387,0.529435145680934,0.727964705831466,0.445976772982612,0.132007089038089,0.434480915265255,0.296322617505296,0.340581723840651,0.114557476947722,0.338222251037567,0.132007089038089,0.765049440766498,0.445976772982612,0.542116306832091,0.542116306832091,0.00675824195705372,0.206742235921539,0.542116306832091,0.132136269782297,0.228918598665817,0.453597729677623,0.465791064803245,0.545831666475576,0.764808444549389,0.124867827936077,0.453597729677623,0.124867827936077,0.711018285309719,0.206742235921539,0.124867827936077,0.464482998314371,0.743140307435925,0.453597729677623,0.114557476947722,0.190199012272997,0.457747064883224,0.452056949945613,0.176243782495826,0.206742235921539,0.128801389122469
"B93",0.310073820627436,0.601426813201323,0.653569491271691,0.335271635506882,0.6630600929023,0.0132566772992332,0.118151863842344,0,0.0114886234172418,0,0.248996149715469,0,0.0725402474287521,0.301367380500771,0.578057347005227,0.0714453085976349,0.240536884149775,0.348186500590923,0.0439175874328391,0.6630600929023,0.0961626266780006,0.607084784704513,0.659333929865083,0.366039795199186,0.601426813201323,0.378362729903885,0.221978670508651,0.295292820838346,0.0942019593099488,0.37764914286544,0.288282660149052,0.480454765087762,0.0132566772992332,0.378362729903885,0.00564610381548248,0.607084784704513,0.414071652086589,0.00564610381548248,0.0887341234014433,0.118151863842344,0.0725402474287521,0.0942019593099488,0.224136212873465,0.301367380500771,0.249102119774036,0.248996149715469,0.434869849712286,0.0714453085976349,0.00926800468201686,0.276055149840033,0.272387893090739,0.348186500590923,0.653569491271691,0.366039795199186,0.288282660149052,0.348186500590923,0.107111949475404,0.107111949475404,0.370381806763597,0.0247625689513924,0.348186500590923,0,0.240536884149775,0.0961626266780006,0.0961626266780006,0.331666096842812,0.0439175874328391,0.272387893090739,0.118151863842344,0.284132956390451,0.2068047020004,0.480454765087762,0.601426813201323,0.105867410745875,0.327919734267108,0.2068047020004,0.00926800468201686,0.0818557138393143,0.659694532338733,0.310073820627436,0.272387893090739,0.370381806763597,0.512161521938923,0.704707187719559,0.0439175874328391,0.224136212873465,0.118151863842344,0.105867410745875,0.107111949475404,0.274460260185966,0.419710114601385,0.366039795199186,0.0132566772992332,0.0628896678911592,0.601426813201323,0.11867223553511,0.0887341234014433,0.419710114601385,0.62321750115387,0.327919734267108,0.0138733726008127,0.335271635506882,0.203878788475731,0.310649391746862,0.00926800468201686,0.276055149840033,0.0138733726008127,0.659694532338733,0.327919734267108,0.434869849712286,0.434869849712286,0.11867223553511,0.0891005442233112,0.434869849712286,0.0961626266780006,0.240536884149775,0.367772143913871,0.350668218116109,0.435228091155727,0.659597866159905,0.0260613256009463,0.367772143913871,0.0260613256009463,0.619243720993233,0.0891005442233112,0.0260613256009463,0.366604349515506,0.640120840111258,0.367772143913871,0.00926800468201686,0.0725402474287521,0.366039795199186,0.360893433587982,0.274460260185966,0.0891005442233112,0.239421003988829
"BGX",0.317459728230616,0.612516526813895,0.665030617847441,0.346494546331641,0.674497876417966,0.0179648611890521,0.107893319980891,0.0114886234172418,0,0.0114886234172418,0.259754933184554,0.0114886234172418,0.0823194886086699,0.311613680355369,0.589497909709059,0.082233833287647,0.232490063095864,0.3583748288178,0.0344316780816579,0.674497876417966,0.0891926022086999,0.618240710946883,0.670801632750521,0.376912990019869,0.612516526813895,0.388216583784959,0.213364121284257,0.283991693428098,0.0877986785181138,0.388228288045809,0.28103091603275,0.491419138748815,0.0179648611890521,0.388216583784959,0.0163487300317661,0.618240710946883,0.42555008964476,0.0163487300317661,0.0985845538445812,0.107893319980891,0.0823194886086699,0.0877986785181138,0.231534360212506,0.311613680355369,0.24058926251905,0.259754933184554,0.446348451539147,0.082233833287647,0.00733804751673415,0.284601797397935,0.279454554972213,0.3583748288178,0.665030617847441,0.376912990019869,0.28103091603275,0.3583748288178,0.100791566834593,0.100791566834593,0.380987646107278,0.0314529130830021,0.3583748288178,0.0114886234172418,0.232490063095864,0.0891926022086999,0.0891926022086999,0.342770563521366,0.0344316780816579,0.279454554972213,0.107893319980891,0.272963008967109,0.195325997310297,0.491419138748815,0.612516526813895,0.0990815009509445,0.33809279741044,0.195325997310297,0.00733804751673415,0.0915635939384199,0.671159909670126,0.317459728230616,0.279454554972213,0.380987646107278,0.523137100208735,0.716017847265029,0.0344316780816579,0.231534360212506,0.107893319980891,0.0990815009509445,0.100791566834593,0.267476622008774,0.431197405471049,0.376912990019869,0.0179648611890521,0.0712549994636131,0.612516526813895,0.108123483740121,0.0985845538445812,0.431197405471049,0.634671352656915,0.33809279741044,0.024584766691396,0.346494546331641,0.214541119392086,0.31651533427923,0.00733804751673415,0.284601797397935,0.024584766691396,0.671159909670126,0.33809279741044,0.446348451539147,0.446348451539147,0.108123483740121,0.10012501575215,0.446348451539147,0.0891926022086999,0.232490063095864,0.378300731935432,0.361972154336963,0.446707689259791,0.671061091398627,0.0253058440915359,0.378300731935432,0.0253058440915359,0.630245735253461,0.10012501575215,0.0253058440915359,0.377786803393323,0.651540505661864,0.378300731935432,0.00733804751673415,0.0823194886086699,0.376912990019869,0.371731799390206,0.267476622008774,0.10012501575215,0.230778602362191
"BMS",0.310073820627436,0.601426813201323,0.653569491271691,0.335271635506882,0.6630600929023,0.0132566772992332,0.118151863842344,0,0.0114886234172418,0,0.248996149715469,0,0.0725402474287521,0.301367380500771,0.578057347005227,0.0714453085976349,0.240536884149775,0.348186500590923,0.0439175874328391,0.6630600929023,0.0961626266780006,0.607084784704513,0.659333929865083,0.366039795199186,0.601426813201323,0.378362729903885,0.221978670508651,0.295292820838346,0.0942019593099488,0.37764914286544,0.288282660149052,0.480454765087762,0.0132566772992332,0.378362729903885,0.00564610381548248,0.607084784704513,0.414071652086589,0.00564610381548248,0.0887341234014433,0.118151863842344,0.0725402474287521,0.0942019593099488,0.224136212873465,0.301367380500771,0.249102119774036,0.248996149715469,0.434869849712286,0.0714453085976349,0.00926800468201686,0.276055149840033,0.272387893090739,0.348186500590923,0.653569491271691,0.366039795199186,0.288282660149052,0.348186500590923,0.107111949475404,0.107111949475404,0.370381806763597,0.0247625689513924,0.348186500590923,0,0.240536884149775,0.0961626266780006,0.0961626266780006,0.331666096842812,0.0439175874328391,0.272387893090739,0.118151863842344,0.284132956390451,0.2068047020004,0.480454765087762,0.601426813201323,0.105867410745875,0.327919734267108,0.2068047020004,0.00926800468201686,0.0818557138393143,0.659694532338733,0.310073820627436,0.272387893090739,0.370381806763597,0.512161521938923,0.704707187719559,0.0439175874328391,0.224136212873465,0.118151863842344,0.105867410745875,0.107111949475404,0.274460260185966,0.419710114601385,0.366039795199186,0.0132566772992332,0.0628896678911592,0.601426813201323,0.11867223553511,0.0887341234014433,0.419710114601385,0.62321750115387,0.327919734267108,0.0138733726008127,0.335271635506882,0.203878788475731,0.310649391746862,0.00926800468201686,0.276055149840033,0.0138733726008127,0.659694532338733,0.327919734267108,0.434869849712286,0.434869849712286,0.11867223553511,0.0891005442233112,0.434869849712286,0.0961626266780006,0.240536884149775,0.367772143913871,0.350668218116109,0.435228091155727,0.659597866159905,0.0260613256009463,0.367772143913871,0.0260613256009463,0.619243720993233,0.0891005442233112,0.0260613256009463,0.366604349515506,0.640120840111258,0.367772143913871,0.00926800468201686,0.0725402474287521,0.366039795199186,0.360893433587982,0.274460260185966,0.0891005442233112,0.239421003988829
