"","A16","A64","A82","ACE","ADZ","AQV","AV5","B93","BGX","BMS","BPJ","BTK","CBB","CDP","CRF","D00","D01","D7A","D85","DE2","DJ9","E3U","E4T","EEJ","FFJ","FPP","FSK","FTC","FYB","G87","G8X","GAN","GHR","GJ3","GPM","GVM","GWF","GWU","GWW","H6C","HGG","HJX","HM9","HRA","J0A","J3M","JB1","JC0","JD5","JTZ","JX3","K3J","KKG","M03","M9R","MB8","N29","N78","NED","NK0","NND","NS2","NXT","NYW","NZA","P67","P6B","P6F","P8M","PTP","PUH","Q11","Q6D","QE2","RCU","RM0","RR8","RW0","S2J","S75","SVV","SY0","T3M","T7P","TE6","TXW","UFK","UUP","V2Q","VEK","VZ8","W2P","W2Z","W7X","WBQ","XU5","XW7","XXZ","XY6","YC6","YDK","YK2","YMD","YUT","ZBB","ZGZ","ZMM","ZT0","ZZJ","Q1C","SBR","B3Q","M05","EF6","DAQ","A05","BGQ","VDE","NAM","HU4","D76","A87","R13","G3R","CTJ","R3M","U4B","YAH","R5A","DFN","XZ8","H9A","PPB","YGY","H27","PG3"
"A16",0,1.37353714008084,0.665878113676433,1.23218131135153,0.694984024284112,1.23902519499991,2.0276269394601,0.0159035718352118,0.815838820044169,0.0159035718352118,1.04982212449868,0.0159035718352118,1.96294686548769,0.662591203564007,1.49750811275943,1.44568304489484,1.33677012763265,1.89291802641157,1.01560130915132,0.694984024284112,2.24718018922922,1.48662661257189,2.25627548032769,0.794208560735465,1.37353714008084,1.75698741308846,2.33547168532827,0.372578515773945,0.576878979286676,2.41235480106135,0.0834138633619403,0.427066701058015,1.23902519499991,1.75698741308846,1.68396971686715,1.48662661257189,0.000451467276290529,1.68396971686715,1.91540167912606,2.0276269394601,1.96294686548769,0.576878979286676,2.16249183747542,0.662591203564007,1.05567536048039,1.04982212449868,0.467729019153061,1.44568304489484,0.761176240096317,0.251872133499766,0.211216127858637,1.89291802641157,0.665878113676433,0.794208560735465,0.0834138633619403,1.89291802641157,1.4632407679618,1.4632407679618,0.256030143648429,1.7028902421429,1.89291802641157,0.0159035718352118,1.33677012763265,2.24718018922922,2.24718018922922,1.47930593566105,1.01560130915132,0.211216127858637,2.0276269394601,1.47857091173968,1.62540497431727,0.427066701058015,1.37353714008084,1.41622606117782,0.229477672133271,1.62540497431727,0.761176240096317,0.923265672965066,1.37696152173941,0,0.211216127858637,0.256030143648429,2.01321358556298,1.44871794859,1.01560130915132,2.16249183747542,2.0276269394601,1.41622606117782,1.4632407679618,0.660427241005047,2.1561564592607,0.794208560735465,1.23902519499991,1.55634861278236,1.37353714008084,1.72094022272518,1.91540167912606,2.1561564592607,1.81294009816411,0.229477672133271,1.33744774920694,1.23218131135153,1.48589695183175,0.203502185730011,0.761176240096317,0.251872133499766,1.33744774920694,1.37696152173941,0.229477672133271,0.467729019153061,0.467729019153061,1.72094022272518,1.13461930363506,0.467729019153061,2.24718018922922,1.33677012763265,0.0845308254865582,1.67850604262287,0.592338571740267,1.49316971116083,2.62704655134471,0.0845308254865582,2.62704655134471,0.459163876105437,1.13461930363506,2.62704655134471,1.11345709915508,0.993155003499055,0.0845308254865582,0.761176240096317,1.96294686548769,0.794208560735465,0.0262420496155507,0.660427241005047,1.13461930363506,1.72295780519371
"A64",1.37353714008084,0,0.707659026404404,0.14135582872931,0.678553115796724,0.134511945080927,0.65408979937926,1.35763356824562,0.557698320036668,1.35763356824562,0.32371501558216,1.35763356824562,0.589409725406858,0.710945936516829,0.123970972678592,0.0721459048140058,0.0367670124481894,0.519380886330735,0.357935830929515,0.678553115796724,0.873643049148388,0.113089472491056,0.882738340246849,0.579328579345372,0,3.1305245531693,3.7090088254091,1.00095862430689,0.796658160794161,1.03881766098051,1.2901232767189,0.946470439022821,0.134511945080927,3.1305245531693,0.310432576786315,0.113089472491056,1.37308567280455,0.310432576786315,0.541864539045225,0.65408979937926,0.589409725406858,0.796658160794161,0.788954697394582,0.710945936516829,0.317861779600447,0.32371501558216,1.8412661592339,0.0721459048140058,0.61236089998452,1.6254092735806,1.58475326793947,0.519380886330735,0.707659026404404,0.579328579345372,1.2901232767189,0.519380886330735,0.0897036278809669,0.0897036278809669,1.62956728372927,0.329353102062063,0.519380886330735,1.35763356824562,0.0367670124481894,0.873643049148388,0.873643049148388,0.105768795580209,0.357935830929515,1.58475326793947,0.65408979937926,0.105033771658841,0.251867834236434,0.946470439022821,0,0.0426889210969854,1.14405946794757,0.251867834236434,0.61236089998452,0.450271467115771,0.0034243816585704,1.37353714008084,1.58475326793947,1.62956728372927,0.639676445482143,0.0751808085091596,0.357935830929515,0.788954697394582,0.65408979937926,0.0426889210969854,0.0897036278809669,0.713109899075789,0.782619319179862,0.579328579345372,0.134511945080927,0.182811472701525,0,0.347403082644348,0.541864539045225,0.782619319179862,0.439402958083274,1.14405946794757,0.0360893908738955,0.14135582872931,0.112359811750913,1.17003495435083,0.61236089998452,1.6254092735806,0.0360893908738955,0.0034243816585704,1.14405946794757,1.8412661592339,1.8412661592339,0.347403082644348,0.238917836445781,1.8412661592339,0.873643049148388,0.0367670124481894,1.45806796556739,0.304968902542038,0.781198568340569,0.119632571079993,1.25350941126387,1.45806796556739,1.25350941126387,0.914373263975399,0.238917836445781,1.25350941126387,0.260080040925756,0.380382136581781,1.45806796556739,0.61236089998452,0.589409725406858,0.579328579345372,1.39977918969639,0.713109899075789,0.238917836445781,0.349420665112872
"A82",0.665878113676433,0.707659026404404,0,0.566303197675094,0.0291059106076794,0.573147081323476,1.36174882578366,0.649974541841221,0.149960706367736,0.649974541841221,0.383944010822244,0.649974541841221,1.29706875181126,0.00328691011242555,0.831629999082995,0.779804931218409,0.670892013956214,1.22703991273514,0.349723195474889,0.0291059106076794,1.58130207555279,0.82074849889546,1.59039736665125,0.128330447059032,0.707659026404404,2.42286552676489,3.0013497990047,0.293299597902488,0.0889991343897574,1.74647668738492,0.582464250314493,0.238811412618418,0.573147081323476,2.42286552676489,1.01809160319072,0.82074849889546,0.665426646400142,1.01809160319072,1.24952356544963,1.36174882578366,1.29706875181126,0.0889991343897574,1.49661372379899,0.00328691011242555,0.389797246803957,0.383944010822244,1.13360713282949,0.779804931218409,0.095298126419884,0.917750247176198,0.87709424153507,1.22703991273514,0,0.128330447059032,0.582464250314493,1.22703991273514,0.79736265428537,0.79736265428537,0.921908257324862,1.03701212846647,1.22703991273514,0.649974541841221,0.670892013956214,1.58130207555279,1.58130207555279,0.813427821984613,0.349723195474889,0.87709424153507,1.36174882578366,0.812692798063244,0.959526860640837,0.238811412618418,0.707659026404404,0.750347947501389,0.436400441543162,0.959526860640837,0.095298126419884,0.257387559288633,0.711083408062974,0.665878113676433,0.87709424153507,0.921908257324862,1.34733547188655,0.782839834913563,0.349723195474889,1.49661372379899,1.36174882578366,0.750347947501389,0.79736265428537,0.00545087267138555,1.49027834558427,0.128330447059032,0.573147081323476,0.890470499105929,0.707659026404404,1.05506210904875,1.24952356544963,1.49027834558427,1.14706198448768,0.436400441543162,0.671569635530508,0.566303197675094,0.820018838155317,0.462375927946422,0.095298126419884,0.917750247176198,0.671569635530508,0.711083408062974,0.436400441543162,1.13360713282949,1.13360713282949,1.05506210904875,0.468741189958623,1.13360713282949,1.58130207555279,0.670892013956214,0.750408939162991,1.01262792894644,0.0735395419361655,0.827291597484397,1.96116843766828,0.750408939162991,1.96116843766828,0.206714237570996,0.468741189958623,1.96116843766828,0.447578985478648,0.327276889822622,0.750408939162991,0.095298126419884,1.29706875181126,0.128330447059032,0.692120163291984,0.00545087267138555,0.468741189958623,1.05707969151728
"ACE",1.23218131135153,0.14135582872931,0.566303197675094,0,0.537197287067414,0.00684388364838284,0.79544562810857,1.21627773951631,0.416342491307358,1.21627773951631,0.18235918685285,1.21627773951631,0.730765554136168,0.569590107787519,0.265326801407902,0.213501733543316,0.104588816281121,0.660736715060045,0.216580002200205,0.537197287067414,1.0149988778777,0.254445301220366,1.02409416897616,0.437972750616062,0.14135582872931,2.98916872443999,3.56765299667979,0.859602795577581,0.655302332064851,1.18017348970982,1.14876744798959,0.805114610293511,0.00684388364838284,2.98916872443999,0.451788405515625,0.254445301220366,1.23172984407524,0.451788405515625,0.683220367774535,0.79544562810857,0.730765554136168,0.655302332064851,0.930310526123892,0.569590107787519,0.176505950871137,0.18235918685285,1.69991033050459,0.213501733543316,0.47100507125521,1.48405344485129,1.44339743921016,0.660736715060045,0.566303197675094,0.437972750616062,1.14876744798959,0.660736715060045,0.231059456610277,0.231059456610277,1.48821145499996,0.470708930791373,0.660736715060045,1.21627773951631,0.104588816281121,1.0149988778777,1.0149988778777,0.247124624309519,0.216580002200205,1.44339743921016,0.79544562810857,0.24638960038815,0.393223662965744,0.805114610293511,0.14135582872931,0.184044749826295,1.00270363921826,0.393223662965744,0.47100507125521,0.308915638386461,0.14478021038788,1.23218131135153,1.44339743921016,1.48821145499996,0.781032274211453,0.21653663723847,0.216580002200205,0.930310526123892,0.79544562810857,0.184044749826295,0.231059456610277,0.571754070346479,0.923975147909172,0.437972750616062,0.00684388364838284,0.324167301430835,0.14135582872931,0.488758911373658,0.683220367774535,0.923975147909172,0.580758786812584,1.00270363921826,0.105266437855414,0,0.253715640480223,1.02867912562152,0.47100507125521,1.48405344485129,0.105266437855414,0.14478021038788,1.00270363921826,1.69991033050459,1.69991033050459,0.488758911373658,0.0975620077164709,1.69991033050459,1.0149988778777,0.104588816281121,1.31671213683808,0.446324731271348,0.639842739611259,0.260988399809303,1.39486523999318,1.31671213683808,1.39486523999318,0.773017435246089,0.0975620077164709,1.39486523999318,0.118724212196446,0.239026307852471,1.31671213683808,0.47100507125521,0.730765554136168,0.437972750616062,1.25842336096708,0.571754070346479,0.0975620077164709,0.490776493842182
"ADZ",0.694984024284112,0.678553115796724,0.0291059106076794,0.537197287067414,0,0.544041170715797,1.33264291517598,0.6790804524489,0.120854795760057,0.6790804524489,0.354838100214565,0.6790804524489,1.26796284120358,0.032392820720105,0.802524088475316,0.75069902061073,0.641786103348535,1.19793400212746,0.320617284867209,0,1.55219616494511,0.791642588287781,1.56129145604357,0.0992245364513522,0.678553115796724,2.45197143737257,3.03045570961238,0.322405508510167,0.118105044997437,1.71737077677724,0.611570160922172,0.267917323226097,0.544041170715797,2.45197143737257,0.988985692583039,0.791642588287781,0.694532557007822,0.988985692583039,1.22041765484195,1.33264291517598,1.26796284120358,0.118105044997437,1.46750781319131,0.032392820720105,0.360691336196277,0.354838100214565,1.16271304343717,0.75069902061073,0.0661922158122046,0.946856157783878,0.906200152142749,1.19793400212746,0.0291059106076794,0.0992245364513522,0.611570160922172,1.19793400212746,0.768256743677691,0.768256743677691,0.951014167932541,1.00790621785879,1.19793400212746,0.6790804524489,0.641786103348535,1.55219616494511,1.55219616494511,0.784321911376933,0.320617284867209,0.906200152142749,1.33264291517598,0.783586887455565,0.930420950033158,0.267917323226097,0.678553115796724,0.72124203689371,0.465506352150841,0.930420950033158,0.0661922158122046,0.228281648680953,0.681977497455295,0.694984024284112,0.906200152142749,0.951014167932541,1.31822956127887,0.753733924305884,0.320617284867209,1.46750781319131,1.33264291517598,0.72124203689371,0.768256743677691,0.034556783279065,1.46117243497659,0.0992245364513522,0.544041170715797,0.861364588498249,0.678553115796724,1.02595619844107,1.22041765484195,1.46117243497659,1.11795607388,0.465506352150841,0.642463724922829,0.537197287067414,0.790912927547637,0.491481838554101,0.0661922158122046,0.946856157783878,0.642463724922829,0.681977497455295,0.465506352150841,1.16271304343717,1.16271304343717,1.02595619844107,0.439635279350943,1.16271304343717,1.55219616494511,0.641786103348535,0.779514849770671,0.983522018338762,0.102645452543845,0.798185686876717,1.9320625270606,0.779514849770671,1.9320625270606,0.235820148178675,0.439635279350943,1.9320625270606,0.418473074870969,0.298170979214943,0.779514849770671,0.0661922158122046,1.26796284120358,0.0992245364513522,0.721226073899663,0.034556783279065,0.439635279350943,1.0279737809096
"AQV",1.23902519499991,0.134511945080927,0.573147081323476,0.00684388364838284,0.544041170715797,0,0.788601744460188,1.2231216231647,0.423186374955741,1.2231216231647,0.189203070501232,1.2231216231647,0.723921670487785,0.576433991435902,0.258482917759519,0.206657849894933,0.0977449326327378,0.653892831411662,0.223423885848588,0.544041170715797,1.00815499422932,0.247601417571984,1.01725028532778,0.444816634264445,0.134511945080927,2.99601260808837,3.57449688032817,0.866446679225964,0.662146215713234,1.17332960606144,1.15561133163797,0.811958493941894,0,2.99601260808837,0.444944521867242,0.247601417571984,1.23857372772362,0.444944521867242,0.676376484126152,0.788601744460188,0.723921670487785,0.662146215713234,0.923466642475509,0.576433991435902,0.18334983451952,0.189203070501232,1.70675421415297,0.206657849894933,0.477848954903592,1.49089732849967,1.45024132285855,0.653892831411662,0.573147081323476,0.444816634264445,1.15561133163797,0.653892831411662,0.224215572961894,0.224215572961894,1.49505533864834,0.46386504714299,0.653892831411662,1.2231216231647,0.0977449326327378,1.00815499422932,1.00815499422932,0.240280740661136,0.223423885848588,1.45024132285855,0.788601744460188,0.239545716739768,0.386379779317361,0.811958493941894,0.134511945080927,0.177200866177913,1.00954752286664,0.386379779317361,0.477848954903592,0.315759522034844,0.137936326739498,1.23902519499991,1.45024132285855,1.49505533864834,0.77418839056307,0.209692753590087,0.223423885848588,0.923466642475509,0.788601744460188,0.177200866177913,0.224215572961894,0.578597953994862,0.917131264260789,0.444816634264445,0,0.317323417782452,0.134511945080927,0.481915027725275,0.676376484126152,0.917131264260789,0.573914903164201,1.00954752286664,0.0984225542070316,0.00684388364838284,0.24687175683184,1.0355230092699,0.477848954903592,1.49089732849967,0.0984225542070316,0.137936326739498,1.00954752286664,1.70675421415297,1.70675421415297,0.481915027725275,0.104405891364854,1.70675421415297,1.00815499422932,0.0977449326327378,1.32355602048647,0.439480847622965,0.646686623259642,0.25414451616092,1.3880213563448,1.32355602048647,1.3880213563448,0.779861318894472,0.104405891364854,1.3880213563448,0.125568095844828,0.245870191500854,1.32355602048647,0.477848954903592,0.723921670487785,0.444816634264445,1.26526724461546,0.578597953994862,0.104405891364854,0.483932610193799
"AV5",2.0276269394601,0.65408979937926,1.36174882578366,0.79544562810857,1.33264291517598,0.788601744460188,0,2.01172336762489,1.21178811941593,2.01172336762489,0.97780481496142,2.01172336762489,0.0646800739724025,1.36503573589609,0.530118826700669,0.581943894565255,0.69085681182745,0.134708913048526,1.01202563030878,1.33264291517598,0.219553249769127,0.541000326888204,0.228648540867589,1.23341837872463,0.65408979937926,3.78461435254856,4.36309862478836,1.65504842368615,1.45074796017342,0.384727861601252,1.94421307609816,1.60056023840208,0.788601744460188,3.78461435254856,0.343657222592945,0.541000326888204,2.02717547218381,0.343657222592945,0.112225260334036,0,0.0646800739724025,1.45074796017342,0.134864898015321,1.36503573589609,0.971951578979708,0.97780481496142,2.49535595861316,0.581943894565255,1.26645069936378,2.27949907295986,2.23884306731873,0.134708913048526,1.36174882578366,1.23341837872463,1.94421307609816,0.134708913048526,0.564386171498294,0.564386171498294,2.28365708310853,0.324736697317197,0.134708913048526,2.01172336762489,0.69085681182745,0.219553249769127,0.219553249769127,0.548321003799051,1.01202563030878,2.23884306731873,0,0.54905602772042,0.402221965142827,1.60056023840208,0.65408979937926,0.611400878282275,1.79814926732683,0.402221965142827,1.26645069936378,1.10436126649503,0.65066541772069,2.0276269394601,2.23884306731873,2.28365708310853,0.0144133538971172,0.578908990870101,1.01202563030878,0.134864898015321,0,0.611400878282275,0.564386171498294,1.36719969845505,0.128529519800601,1.23341837872463,0.788601744460188,0.471278326677735,0.65408979937926,0.306686716734912,0.112225260334036,0.128529519800601,0.214686841295986,1.79814926732683,0.690179190253156,0.79544562810857,0.541729987628347,1.82412475373009,1.26645069936378,2.27949907295986,0.690179190253156,0.65066541772069,1.79814926732683,2.49535595861316,2.49535595861316,0.306686716734912,0.893007635825041,2.49535595861316,0.219553249769127,0.69085681182745,2.11215776494666,0.349120896837222,1.43528836771983,0.534457228299267,0.599419611884613,2.11215776494666,0.599419611884613,1.56846306335466,0.893007635825041,0.599419611884613,0.914169840305016,1.03447193596104,2.11215776494666,1.26645069936378,0.0646800739724025,1.23341837872463,2.05386898907565,1.36719969845505,0.893007635825041,0.304669134266389
"B93",0.0159035718352118,1.35763356824562,0.649974541841221,1.21627773951631,0.6790804524489,1.2231216231647,2.01172336762489,0,0.799935248208957,0,1.03391855266347,0,1.94704329365248,0.646687631728796,1.48160454092422,1.42977947305963,1.32086655579744,1.87701445457636,0.99969773731611,0.6790804524489,2.23127661739401,1.47072304073668,2.24037190849247,0.778304988900253,1.35763356824562,1.77289098492367,2.35137525716348,0.356674943938733,0.560975407451464,2.39645122922614,0.0675102915267285,0.411163129222803,1.2231216231647,1.77289098492367,1.66806614503194,1.47072304073668,0.0154521045589213,1.66806614503194,1.89949810729085,2.01172336762489,1.94704329365248,0.560975407451464,2.14658826564021,0.646687631728796,1.03977178864518,1.03391855266347,0.483632590988273,1.42977947305963,0.745272668261105,0.267775705334977,0.227119699693849,1.87701445457636,0.649974541841221,0.778304988900253,0.0675102915267285,1.87701445457636,1.44733719612659,1.44733719612659,0.271933715483641,1.68698667030769,1.87701445457636,0,1.32086655579744,2.23127661739401,2.23127661739401,1.46340236382583,0.99969773731611,0.227119699693849,2.01172336762489,1.46266733990447,1.60950140248206,0.411163129222803,1.35763356824562,1.40032248934261,0.213574100298059,1.60950140248206,0.745272668261105,0.907362101129854,1.3610579499042,0.0159035718352118,0.227119699693849,0.271933715483641,1.99731001372777,1.43281437675478,0.99969773731611,2.14658826564021,2.01172336762489,1.40032248934261,1.44733719612659,0.644523669169836,2.14025288742549,0.778304988900253,1.2231216231647,1.54044504094715,1.35763356824562,1.70503665088997,1.89949810729085,2.14025288742549,1.7970365263289,0.213574100298059,1.32154417737173,1.21627773951631,1.46999337999654,0.187598613894799,0.745272668261105,0.267775705334977,1.32154417737173,1.3610579499042,0.213574100298059,0.483632590988273,0.483632590988273,1.70503665088997,1.11871573179984,0.483632590988273,2.23127661739401,1.32086655579744,0.10043439732177,1.66260247078766,0.576434999905056,1.47726613932562,2.6111429795095,0.10043439732177,2.6111429795095,0.443260304270225,1.11871573179984,2.6111429795095,1.09755352731987,0.977251431663843,0.10043439732177,0.745272668261105,1.94704329365248,0.778304988900253,0.0421456214507625,0.644523669169836,1.11871573179984,1.7070542333585
"BGX",0.815838820044169,0.557698320036668,0.149960706367736,0.416342491307358,0.120854795760057,0.423186374955741,1.21178811941593,0.799935248208957,0,0.799935248208957,0.233983304454508,0.799935248208957,1.14710804544353,0.153247616480161,0.681669292715259,0.629844224850673,0.520931307588478,1.0770792063674,0.199762489107153,0.120854795760057,1.43134136918506,0.670787792527724,1.44043666028352,0.0216302593087043,0.557698320036668,2.57282623313263,3.15131050537243,0.443260304270224,0.238959840757493,1.59651598101718,0.732424956682229,0.388772118986154,0.423186374955741,2.57282623313263,0.868130896822983,0.670787792527724,0.815387352767878,0.868130896822983,1.09956285908189,1.21178811941593,1.14710804544353,0.238959840757493,1.34665301743125,0.153247616480161,0.239836540436221,0.233983304454508,1.28356783919723,0.629844224850673,0.054662579947852,1.06771095354393,1.02705494790281,1.0770792063674,0.149960706367736,0.0216302593087043,0.732424956682229,1.0770792063674,0.647401947917635,0.647401947917635,1.0718689636926,0.887051422098731,1.0770792063674,0.799935248208957,0.520931307588478,1.43134136918506,1.43134136918506,0.663467115616877,0.199762489107153,1.02705494790281,1.21178811941593,0.662732091695508,0.809566154273101,0.388772118986154,0.557698320036668,0.600387241133653,0.586361147910898,0.809566154273101,0.054662579947852,0.107426852920897,0.561122701695238,0.815838820044169,1.02705494790281,1.0718689636926,1.19737476551881,0.632879128545827,0.199762489107153,1.34665301743125,1.21178811941593,0.600387241133653,0.647401947917635,0.155411579039122,1.34031763921653,0.0216302593087043,0.423186374955741,0.740509792738193,0.557698320036668,0.905101402681016,1.09956285908189,1.34031763921653,0.997101278119942,0.586361147910898,0.521608929162772,0.416342491307358,0.670058131787581,0.612336634314158,0.054662579947852,1.06771095354393,0.521608929162772,0.561122701695238,0.586361147910898,1.28356783919723,1.28356783919723,0.905101402681016,0.318780483590887,1.28356783919723,1.43134136918506,0.520931307588478,0.900369645530727,0.862667222578706,0.223500248303901,0.677330891116661,1.81120773130054,0.900369645530727,1.81120773130054,0.356674943938732,0.318780483590887,1.81120773130054,0.297618279110912,0.177316183454886,0.900369645530727,0.054662579947852,1.14710804544353,0.0216302593087043,0.84208086965972,0.155411579039122,0.318780483590887,0.907118985149539
"BMS",0.0159035718352118,1.35763356824562,0.649974541841221,1.21627773951631,0.6790804524489,1.2231216231647,2.01172336762489,0,0.799935248208957,0,1.03391855266347,0,1.94704329365248,0.646687631728796,1.48160454092422,1.42977947305963,1.32086655579744,1.87701445457636,0.99969773731611,0.6790804524489,2.23127661739401,1.47072304073668,2.24037190849247,0.778304988900253,1.35763356824562,1.77289098492367,2.35137525716348,0.356674943938733,0.560975407451464,2.39645122922614,0.0675102915267285,0.411163129222803,1.2231216231647,1.77289098492367,1.66806614503194,1.47072304073668,0.0154521045589213,1.66806614503194,1.89949810729085,2.01172336762489,1.94704329365248,0.560975407451464,2.14658826564021,0.646687631728796,1.03977178864518,1.03391855266347,0.483632590988273,1.42977947305963,0.745272668261105,0.267775705334977,0.227119699693849,1.87701445457636,0.649974541841221,0.778304988900253,0.0675102915267285,1.87701445457636,1.44733719612659,1.44733719612659,0.271933715483641,1.68698667030769,1.87701445457636,0,1.32086655579744,2.23127661739401,2.23127661739401,1.46340236382583,0.99969773731611,0.227119699693849,2.01172336762489,1.46266733990447,1.60950140248206,0.411163129222803,1.35763356824562,1.40032248934261,0.213574100298059,1.60950140248206,0.745272668261105,0.907362101129854,1.3610579499042,0.0159035718352118,0.227119699693849,0.271933715483641,1.99731001372777,1.43281437675478,0.99969773731611,2.14658826564021,2.01172336762489,1.40032248934261,1.44733719612659,0.644523669169836,2.14025288742549,0.778304988900253,1.2231216231647,1.54044504094715,1.35763356824562,1.70503665088997,1.89949810729085,2.14025288742549,1.7970365263289,0.213574100298059,1.32154417737173,1.21627773951631,1.46999337999654,0.187598613894799,0.745272668261105,0.267775705334977,1.32154417737173,1.3610579499042,0.213574100298059,0.483632590988273,0.483632590988273,1.70503665088997,1.11871573179984,0.483632590988273,2.23127661739401,1.32086655579744,0.10043439732177,1.66260247078766,0.576434999905056,1.47726613932562,2.6111429795095,0.10043439732177,2.6111429795095,0.443260304270225,1.11871573179984,2.6111429795095,1.09755352731987,0.977251431663843,0.10043439732177,0.745272668261105,1.94704329365248,0.778304988900253,0.0421456214507625,0.644523669169836,1.11871573179984,1.7070542333585
