"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",0,44.8333333333333,40.5,2.75,44,8.9166666666666,3.75,1.4166666666667,43.5833333333333,36.25,17.4166666666666,9.6666666666666,1.8333333333333,18,38.25,17,32.75,4.0833333333334,15,40.4166666666666,31.0833333333333,46.8333333333333,26,24.8333333333333,16.25,32.5,32.1666666666666,45.5,5.5,0.8333333333333,47.5833333333333,23.6666666666666,28.75,36.4166666666666,20.6666666666666,1,23.75,28.25,35.8333333333333,5.75,28.5,18,5.9166666666667,43.25,48.5,31.4166666666666,45.4166666666666,39.8333333333333,38.8333333333333,33.6666666666666,18.3333333333333,29.5,21.8333333333333,47.25,37.9166666666666,47.75,43.75,14,37.5833333333333,32.5833333333333,41.75,37.9166666666666,38.3333333333333,13.5833333333333,43.75
"AX0",44.8333333333333,0,4.3333333333333,47.5833333333333,0.8333333333333,35.9166666666667,41.0833333333333,46.25,1.25,8.5833333333333,27.4166666666667,35.1666666666667,43,26.8333333333333,6.5833333333333,27.8333333333333,12.0833333333333,48.9166666666667,29.8333333333333,4.4166666666667,13.75,2,70.8333333333333,20,28.5833333333333,12.3333333333333,12.6666666666667,0.6666666666667,50.3333333333333,44,2.75,21.1666666666667,16.0833333333333,8.4166666666667,24.1666666666667,43.8333333333333,21.0833333333333,16.5833333333333,9,39.0833333333333,16.3333333333333,26.8333333333333,50.75,1.5833333333333,3.6666666666667,13.4166666666667,0.5833333333333,5,6,11.1666666666667,26.5,15.3333333333333,23,2.4166666666667,6.9166666666667,2.9166666666667,1.0833333333333,30.8333333333333,7.25,12.25,3.0833333333333,6.9166666666667,6.5,31.25,1.0833333333333
"BE3",40.5,4.3333333333333,0,43.25,3.5,31.5833333333334,36.75,41.9166666666667,3.0833333333333,4.25,23.0833333333334,30.8333333333334,38.6666666666667,22.5,2.25,23.5,7.75,44.5833333333334,25.5,0.0833333333333997,9.4166666666667,6.3333333333333,66.5,15.6666666666667,24.25,8,8.3333333333334,5,46,39.6666666666667,7.0833333333333,16.8333333333334,11.75,4.0833333333334,19.8333333333334,39.5,16.75,12.25,4.6666666666667,34.75,12,22.5,46.4166666666667,2.75,8,9.0833333333334,4.9166666666666,0.6666666666667,1.6666666666667,6.8333333333334,22.1666666666667,11,18.6666666666667,6.75,2.5833333333334,7.25,3.25,26.5,2.9166666666667,7.9166666666667,1.25,2.5833333333334,2.1666666666667,26.9166666666667,3.25
"BJ7",2.75,47.5833333333333,43.25,0,46.75,11.6666666666666,6.5,1.3333333333333,46.3333333333333,39,20.1666666666666,12.4166666666666,4.5833333333333,20.75,41,19.75,35.5,1.3333333333334,17.75,43.1666666666666,33.8333333333333,49.5833333333333,23.25,27.5833333333333,19,35.25,34.9166666666666,48.25,2.75,3.5833333333333,50.3333333333333,26.4166666666666,31.5,39.1666666666666,23.4166666666666,3.75,26.5,31,38.5833333333333,8.5,31.25,20.75,3.1666666666667,46,51.25,34.1666666666666,48.1666666666666,42.5833333333333,41.5833333333333,36.4166666666666,21.0833333333333,32.25,24.5833333333333,50,40.6666666666666,50.5,46.5,16.75,40.3333333333333,35.3333333333333,44.5,40.6666666666666,41.0833333333333,16.3333333333333,46.5
"C1C",44,0.8333333333333,3.5,46.75,0,35.0833333333334,40.25,45.4166666666667,0.4166666666667,7.75,26.5833333333334,34.3333333333334,42.1666666666667,26,5.75,27,11.25,48.0833333333334,29,3.5833333333334,12.9166666666667,2.8333333333333,70,19.1666666666667,27.75,11.5,11.8333333333334,1.5,49.5,43.1666666666667,3.5833333333333,20.3333333333334,15.25,7.5833333333334,23.3333333333334,43,20.25,15.75,8.1666666666667,38.25,15.5,26,49.9166666666667,0.75,4.5,12.5833333333334,1.4166666666666,4.1666666666667,5.1666666666667,10.3333333333334,25.6666666666667,14.5,22.1666666666667,3.25,6.0833333333334,3.75,0.25,30,6.4166666666667,11.4166666666667,2.25,6.0833333333334,5.6666666666667,30.4166666666667,0.25
"C3Z",8.9166666666666,35.9166666666667,31.5833333333334,11.6666666666666,35.0833333333334,0,5.1666666666666,10.3333333333333,34.6666666666667,27.3333333333334,8.5,0.75,7.0833333333333,9.0833333333334,29.3333333333334,8.0833333333334,23.8333333333334,13,6.0833333333334,31.5,22.1666666666667,37.9166666666667,34.9166666666666,15.9166666666667,7.3333333333334,23.5833333333334,23.25,36.5833333333334,14.4166666666666,8.0833333333333,38.6666666666667,14.75,19.8333333333334,27.5,11.75,7.9166666666666,14.8333333333334,19.3333333333334,26.9166666666667,3.1666666666666,19.5833333333334,9.0833333333334,14.8333333333333,34.3333333333334,39.5833333333334,22.5,36.5,30.9166666666667,29.9166666666667,24.75,9.4166666666667,20.5833333333334,12.9166666666667,38.3333333333334,29,38.8333333333334,34.8333333333334,5.0833333333334,28.6666666666667,23.6666666666667,32.8333333333334,29,29.4166666666667,4.6666666666667,34.8333333333334
"CPF",3.75,41.0833333333333,36.75,6.5,40.25,5.1666666666666,0,5.1666666666667,39.8333333333333,32.5,13.6666666666666,5.9166666666666,1.9166666666667,14.25,34.5,13.25,29,7.8333333333334,11.25,36.6666666666666,27.3333333333333,43.0833333333333,29.75,21.0833333333333,12.5,28.75,28.4166666666666,41.75,9.25,2.9166666666667,43.8333333333333,19.9166666666666,25,32.6666666666666,16.9166666666666,2.75,20,24.5,32.0833333333333,2,24.75,14.25,9.6666666666667,39.5,44.75,27.6666666666666,41.6666666666666,36.0833333333333,35.0833333333333,29.9166666666666,14.5833333333333,25.75,18.0833333333333,43.5,34.1666666666666,44,40,10.25,33.8333333333333,28.8333333333333,38,34.1666666666666,34.5833333333333,9.8333333333333,40
"DQ1",1.4166666666667,46.25,41.9166666666667,1.3333333333333,45.4166666666667,10.3333333333333,5.1666666666667,0,45,37.6666666666667,18.8333333333333,11.0833333333333,3.25,19.4166666666667,39.6666666666667,18.4166666666667,34.1666666666667,2.6666666666667,16.4166666666667,41.8333333333333,32.5,48.25,24.5833333333333,26.25,17.6666666666667,33.9166666666667,33.5833333333333,46.9166666666667,4.0833333333333,2.25,49,25.0833333333333,30.1666666666667,37.8333333333333,22.0833333333333,2.4166666666667,25.1666666666667,29.6666666666667,37.25,7.1666666666667,29.9166666666667,19.4166666666667,4.5,44.6666666666667,49.9166666666667,32.8333333333333,46.8333333333333,41.25,40.25,35.0833333333333,19.75,30.9166666666667,23.25,48.6666666666667,39.3333333333333,49.1666666666667,45.1666666666667,15.4166666666667,39,34,43.1666666666667,39.3333333333333,39.75,15,45.1666666666667
"E5E",43.5833333333333,1.25,3.0833333333333,46.3333333333333,0.4166666666667,34.6666666666667,39.8333333333333,45,0,7.3333333333333,26.1666666666667,33.9166666666667,41.75,25.5833333333333,5.3333333333333,26.5833333333333,10.8333333333333,47.6666666666667,28.5833333333333,3.1666666666667,12.5,3.25,69.5833333333333,18.75,27.3333333333333,11.0833333333333,11.4166666666667,1.9166666666667,49.0833333333333,42.75,4,19.9166666666667,14.8333333333333,7.1666666666667,22.9166666666667,42.5833333333333,19.8333333333333,15.3333333333333,7.75,37.8333333333333,15.0833333333333,25.5833333333333,49.5,0.3333333333333,4.9166666666667,12.1666666666667,1.8333333333333,3.75,4.75,9.9166666666667,25.25,14.0833333333333,21.75,3.6666666666667,5.6666666666667,4.1666666666667,0.1666666666667,29.5833333333333,6,11,1.8333333333333,5.6666666666667,5.25,30,0.1666666666667
"FCQ",36.25,8.5833333333333,4.25,39,7.75,27.3333333333334,32.5,37.6666666666667,7.3333333333333,0,18.8333333333334,26.5833333333334,34.4166666666667,18.25,2,19.25,3.5,40.3333333333334,21.25,4.1666666666666,5.1666666666667,10.5833333333333,62.25,11.4166666666667,20,3.75,4.0833333333334,9.25,41.75,35.4166666666667,11.3333333333333,12.5833333333334,7.5,0.1666666666666,15.5833333333334,35.25,12.5,8,0.4166666666667,30.5,7.75,18.25,42.1666666666667,7,12.25,4.8333333333334,9.1666666666666,3.5833333333333,2.5833333333333,2.5833333333334,17.9166666666667,6.75,14.4166666666667,11,1.6666666666666,11.5,7.5,22.25,1.3333333333333,3.6666666666667,5.5,1.6666666666666,2.0833333333333,22.6666666666667,7.5
