"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",0,26,32,2,2,2,1,3,22,23,1,1,2,0,14,0,2,1,1,22,21,21,1,0,5,4,36,24,0,1,8,21,2,17,1,2,0,1,21,3,3,3,0,1,9,23,9,26,19,2,1,1,7,23,4,25,7,2,9,5,12,8,3,5,29
"AX0",26,0,6,28,24,28,25,23,4,3,25,27,28,26,12,26,24,27,25,4,5,5,27,26,21,22,10,2,26,27,18,5,28,9,25,24,26,25,5,23,23,23,26,25,17,3,17,0,7,24,25,25,19,3,22,1,19,28,17,21,14,18,23,21,3
"BE3",32,6,0,34,30,34,31,29,10,9,31,33,34,32,18,32,30,33,31,10,11,11,33,32,27,28,4,8,32,33,24,11,34,15,31,30,32,31,11,29,29,29,32,31,23,9,23,6,13,30,31,31,25,9,28,7,25,34,23,27,20,24,29,27,3
"BJ7",2,28,34,0,4,0,3,5,24,25,3,1,0,2,16,2,4,1,3,24,23,23,1,2,7,6,38,26,2,1,10,23,0,19,3,4,2,3,23,5,5,5,2,3,11,25,11,28,21,4,3,3,9,25,6,27,9,0,11,7,14,10,5,7,31
"C1C",2,24,30,4,0,4,1,1,20,21,1,3,4,2,12,2,0,3,1,20,19,19,3,2,3,2,34,22,2,3,6,19,4,15,1,0,2,1,19,1,1,1,2,1,7,21,7,24,17,0,1,1,5,21,2,23,5,4,7,3,10,6,1,3,27
"C3Z",2,28,34,0,4,0,3,5,24,25,3,1,0,2,16,2,4,1,3,24,23,23,1,2,7,6,38,26,2,1,10,23,0,19,3,4,2,3,23,5,5,5,2,3,11,25,11,28,21,4,3,3,9,25,6,27,9,0,11,7,14,10,5,7,31
"CPF",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
"DQ1",3,23,29,5,1,5,2,0,19,20,2,4,5,3,11,3,1,4,2,19,18,18,4,3,2,1,33,21,3,4,5,18,5,14,2,1,3,2,18,0,0,0,3,2,6,20,6,23,16,1,2,2,4,20,1,22,4,5,6,2,9,5,0,2,26
"E5E",22,4,10,24,20,24,21,19,0,1,21,23,24,22,8,22,20,23,21,0,1,1,23,22,17,18,14,2,22,23,14,1,24,5,21,20,22,21,1,19,19,19,22,21,13,1,13,4,3,20,21,21,15,1,18,3,15,24,13,17,10,14,19,17,7
"FCQ",23,3,9,25,21,25,22,20,1,0,22,24,25,23,9,23,21,24,22,1,2,2,24,23,18,19,13,1,23,24,15,2,25,6,22,21,23,22,2,20,20,20,23,22,14,0,14,3,4,21,22,22,16,0,19,2,16,25,14,18,11,15,20,18,6
"FRM",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
"FZH",1,27,33,1,3,1,2,4,23,24,2,0,1,1,15,1,3,0,2,23,22,22,0,1,6,5,37,25,1,0,9,22,1,18,2,3,1,2,22,4,4,4,1,2,10,24,10,27,20,3,2,2,8,24,5,26,8,1,10,6,13,9,4,6,30
"HDU",2,28,34,0,4,0,3,5,24,25,3,1,0,2,16,2,4,1,3,24,23,23,1,2,7,6,38,26,2,1,10,23,0,19,3,4,2,3,23,5,5,5,2,3,11,25,11,28,21,4,3,3,9,25,6,27,9,0,11,7,14,10,5,7,31
"HFX",0,26,32,2,2,2,1,3,22,23,1,1,2,0,14,0,2,1,1,22,21,21,1,0,5,4,36,24,0,1,8,21,2,17,1,2,0,1,21,3,3,3,0,1,9,23,9,26,19,2,1,1,7,23,4,25,7,2,9,5,12,8,3,5,29
"J7V",14,12,18,16,12,16,13,11,8,9,13,15,16,14,0,14,12,15,13,8,7,7,15,14,9,10,22,10,14,15,6,7,16,3,13,12,14,13,7,11,11,11,14,13,5,9,5,12,5,12,13,13,7,9,10,11,7,16,5,9,2,6,11,9,15
"JAQ",0,26,32,2,2,2,1,3,22,23,1,1,2,0,14,0,2,1,1,22,21,21,1,0,5,4,36,24,0,1,8,21,2,17,1,2,0,1,21,3,3,3,0,1,9,23,9,26,19,2,1,1,7,23,4,25,7,2,9,5,12,8,3,5,29
"JAU",2,24,30,4,0,4,1,1,20,21,1,3,4,2,12,2,0,3,1,20,19,19,3,2,3,2,34,22,2,3,6,19,4,15,1,0,2,1,19,1,1,1,2,1,7,21,7,24,17,0,1,1,5,21,2,23,5,4,7,3,10,6,1,3,27
"JC9",1,27,33,1,3,1,2,4,23,24,2,0,1,1,15,1,3,0,2,23,22,22,0,1,6,5,37,25,1,0,9,22,1,18,2,3,1,2,22,4,4,4,1,2,10,24,10,27,20,3,2,2,8,24,5,26,8,1,10,6,13,9,4,6,30
"JYJ",1,25,31,3,1,3,0,2,21,22,0,2,3,1,13,1,1,2,0,21,20,20,2,1,4,3,35,23,1,2,7,20,3,16,0,1,1,0,20,2,2,2,1,0,8,22,8,25,18,1,0,0,6,22,3,24,6,3,8,4,11,7,2,4,28
