"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",0,10.593820861678,12.1030460982857,9.4858941518995,14.9006125406315,16.3863238132719,8.1143491560983,3.4571523946693,11.9814346304501,11.8954783613064,10.0636869331066,9.8041383219955,12.05938139633,4.5797268209842,5.1953327530874,7.6142282473118,11.702407578172,6.7299687348324,10.653391856148,10.8032200483499,4.2747956674821,14.030612244898,12.1796517599972,0.192792258515603,12.1397176587639,2.8802462338895,7.8391398352857,11.3642290249433,10.2695181727386,2.0980749178711,15.3760119759197,7.6807402509161,12.5246244331066,3.5883926064355,8.9386175210615,1.1736394557823,4.5544098240696,7.7923468207956,13.6346519632087,4.6041383219955,7.4472109780552,5.8068156981668,7.4464994331066,15.2898688851175,13.2562169581254,7.205906872553,13.4763908675603,6.3949019251048,11.5753499768637,3.7937196756398,2.8726546061899,10.0086750386429,2.1229252008862,12.1327386430897,6.8605619331066,11.0213888711919,11.7450318753389,6.8787487387999,15.1213550158356,11.9374716553288,14.5152494331066,1.053665804836,13.2907596371882,8.6763021779164,12.8708049886622
"AX0",10.593820861678,0,1.5092252366077,1.1079267097785,4.3067916789535,5.7925029515939,2.4794717055797,7.1366684670087,1.3876137687721,1.3016574996284,0.530133928571399,0.789682539682499,1.465560534652,6.0140940406938,5.3984881085906,2.9795926143662,1.108586716494,3.8638521268456,0.0595709944700005,0.209399186671902,6.3190251941959,3.43679138322,1.5858308983192,10.4010286031624,1.5458967970859,7.7135746277885,2.7546810263923,0.770408163265301,0.324302688939397,8.4957459438069,4.7821911142417,2.9130806107619,1.9308035714286,14.1822134681135,1.6552033406165,11.7674603174603,6.0394110376084,18.3861676824736,3.0408311015307,5.9896825396825,3.1466098836228,4.7870051635112,3.1473214285714,4.6960480234395,2.6623960964474,3.387913989125,2.8825700058823,4.1989189365732,0.981529115185701,6.8001011860382,13.4664754678679,0.585145823035099,8.4708956607918,1.5389177814117,3.7332589285714,0.427568009513902,1.1512110136609,3.7150721228781,4.5275341541576,1.3436507936508,3.9214285714286,11.647486666514,2.6969387755102,1.9175186837616,2.2769841269842
"BE3",12.1030460982857,1.5092252366077,0,2.6171519463862,2.7975664423458,4.2832777149862,3.9886969421874,8.6458937036164,0.121611467835599,0.2075677369793,2.0393591651791,2.2989077762902,0.0436647019556986,7.5233192773015,6.9077133451983,4.4888178509739,0.400638520113699,5.3730773634533,1.4496542421377,1.2998260499358,7.8282504308036,1.9275661466123,0.0766056617115005,11.9102538397701,0.0366715604782009,9.2227998643962,4.263906263,0.7388170733424,1.8335279255471,10.0049711804146,3.272965877634,4.4223058473696,0.4215783348209,15.6914387047212,3.1644285772242,13.276685554068,7.5486362742161,19.8953929190813,1.531605864923,7.4989077762902,4.6558351202305,6.2962304001189,4.6565466651791,3.1868227868318,1.1531708598397,4.8971392257327,1.3733447692746,5.7081441731809,0.527696121422,8.3093264226459,14.9757007044756,2.0943710596428,9.9801208973995,0.029692544804,5.2424841651791,1.0816572270938,0.3580142229468,5.2242973594858,3.0183089175499,0.165574442956899,2.4122033348209,13.1567119031217,1.1877135389025,3.4267439203693,0.767758890376498
"BJ7",9.4858941518995,1.1079267097785,2.6171519463862,0,5.414718388732,6.9004296613724,1.3715449958012,6.0287417572302,2.4955404785506,2.4095842094069,0.577792781207101,0.318244170096001,2.5734872444305,4.9061673309153,4.2905613988121,1.8716659045877,2.2165134262725,2.7559254170671,1.1674977042485,1.3173258964504,5.2110984844174,4.5447180929985,2.6937576080977,9.2931018933839,2.6538235068644,6.60564791801,1.6467543166138,1.8783348730438,0.783624020839103,7.3878192340284,5.8901178240202,1.8051539009834,3.0387302812071,13.074286758335,0.547276630837999,10.6595336076818,4.9314843278299,17.2782409726951,4.1487578113092,4.881755829904,2.0386831738443,3.6790784537327,2.0393947187929,5.803974733218,3.7703228062259,2.2799872793465,3.9904967156608,3.0909922267947,2.0894558249642,5.6921744762597,12.3585487580894,0.522780886743401,7.3629689510133,2.6468444911902,2.6253322187929,1.5354947192924,2.2591377234394,2.6071454130996,5.6354608639361,2.4515775034293,5.0293552812071,10.5395599567355,3.8048654852887,0.8095919739831,3.3849108367627
"C1C",14.9006125406315,4.3067916789535,2.7975664423458,5.414718388732,0,1.4857112726404,6.7862633845332,11.4434601459622,2.9191779101814,3.0051341793251,4.8369256075249,5.096474218636,2.8412311443015,10.3208857196473,9.7052797875441,7.2863842933197,3.1982049624595,8.1706438057991,4.2472206844835,4.0973924922816,10.6258168731494,0.870000295733501,2.7209607806343,14.7078202821159,2.7608948818676,12.020366306742,7.0614727053458,3.5363835156882,4.6310943678929,12.8025376227604,0.4753994352882,7.2198722897154,2.3759881075249,18.489005147067,5.96199501957,16.0742519964138,10.3462027165619,22.6929593614271,1.2659605774228,10.296474218636,7.4534015625763,9.0937968424647,7.4541131075249,0.389256344486,1.6443955825061,7.6947056680785,1.4242216730712,8.5057106155267,3.3252625637678,11.1068928649917,17.7732671468214,4.8919375019886,12.7776873397453,2.7678738975418,8.0400506075249,3.8792236694396,3.1555806652926,8.0218638018316,0.220742475204098,2.9631408853027,0.385363107524899,15.9542783454675,1.6098529034433,6.2243103627151,2.0298075519693
"C3Z",16.3863238132719,5.7925029515939,4.2832777149862,6.9004296613724,1.4857112726404,0,8.2719746571736,12.9291714186026,4.4048891828218,4.4908454519655,6.3226368801653,6.5821854912764,4.3269424169419,11.8065969922877,11.1909910601845,8.7720955659601,4.6839162350999,9.6563550784395,5.7329319571239,5.583103764922,12.1115281457898,2.3557115683739,4.2066720532747,16.1935315547563,4.246606154508,13.5060775793824,8.5471839779862,5.0220947883286,6.1168056405333,14.2882488954008,1.0103118373522,8.7055835623558,3.8616993801653,19.9747164197074,7.4477062922104,17.5599632690542,11.8319139892023,24.1786706340675,2.7516718500632,11.7821854912764,8.9391128352167,10.5795081151051,8.9398243801653,1.0964549281544,3.1301068551465,9.1804169407189,2.9099329457116,9.9914218881671,4.8109738364082,12.5926041376321,19.2589784194618,6.377648774629,14.2633986123857,4.2535851701822,9.5257618801653,5.36493494208,4.641291937933,9.507575074472,1.2649687974363,4.4488521579431,1.8710743801653,17.4399896181079,3.0955641760837,7.7100216353555,3.5155188246097
"CPF",8.1143491560983,2.4794717055797,3.9886969421874,1.3715449958012,6.7862633845332,8.2719746571736,0,4.657196761429,3.8670854743518,3.7811292052081,1.9493377770083,1.6897891658972,3.9450322402317,3.5346223351141,2.9190164030109,0.500120908786499,3.5880584220737,1.3843804212659,2.5390427000497,2.6888708922516,3.8395534886162,5.9162630887997,4.0653026038989,7.9215568975827,4.0253685026656,5.2341029222088,0.2752093208126,3.249879868845,2.1551690166403,6.0162742382272,7.2616628198214,0.433608905182201,4.4102752770083,11.7027417625338,0.824268364963199,9.2879886118806,3.5599393320287,15.9066959768939,5.5203028071104,3.5102108341028,0.6671381780431,2.3075334579315,0.667849722991701,7.1755197290192,5.1418678020271,0.908442283545302,5.362041711462,1.7194472309935,3.4610008207654,4.3206294804585,10.9870037622882,1.8943258825446,5.9914239552121,4.0183894869914,1.2537872229917,2.9070397150936,3.6306827192406,1.2356004172984,7.0070058597373,3.8231224992305,6.4009002770083,9.1680149609343,5.1764104810899,0.561953021818098,4.7564558325639
"DQ1",3.4571523946693,7.1366684670087,8.6458937036164,6.0287417572302,11.4434601459622,12.9291714186026,4.657196761429,0,8.5242822357808,8.4383259666371,6.6065345384373,6.3469859273262,8.6022290016607,1.1225744263149,1.7381803584181,4.1570758526425,8.2452551835027,3.2728163401631,7.1962394614787,7.3460676536806,0.817643272812802,10.5734598502287,8.7224993653279,3.2643601361537,8.6825652640946,0.576906160779799,4.3819874406164,7.907076630274,6.8123657780693,1.3590774767982,11.9188595812504,4.2235878562468,9.0674720384373,7.0455450011048,5.4814651263922,4.6307918504516,1.0972574294003,11.2494992154649,10.1774995685394,1.1469859273262,3.9900585833859,2.3496633034975,3.9893470384373,11.8327164904482,9.7990645634561,3.7487544778837,10.019238472891,2.9377495304355,8.1181975821944,0.336567280970502,6.3298070008592,6.5515226439736,1.3342271937831,8.6755862484204,3.4034095384373,7.5642364765226,8.2878794806696,3.4215963441306,11.6642026211663,8.4803192606595,11.0580970384373,4.5108181995053,9.8336072425189,5.2191497832471,9.4136525939929
"E5E",11.9814346304501,1.3876137687721,0.121611467835599,2.4955404785506,2.9191779101814,4.4048891828218,3.8670854743518,8.5242822357808,0,0.0859562691437006,1.9177476973435,2.1772963084546,0.0779467658799007,7.4017078094659,6.7861018773627,4.3672063831383,0.279027052278099,5.2514658956177,1.3280427743021,1.1782145821002,7.706638962968,2.0491776144479,0.1982171295471,11.7886423719345,0.1582830283138,9.1011883965606,4.1422947951644,0.6172056055068,1.7119164577115,9.883359712579,3.3945773454696,4.300694379534,0.543189802656499,15.5698272368856,3.0428171093886,13.1550740862324,7.4270248063805,19.7737814512457,1.6532173327586,7.3772963084546,4.5342236523949,6.1746189322833,4.5349351973435,3.3084342546674,1.2747823276753,4.7755277578971,1.4949562371102,5.5865327053453,0.406084653586401,8.1877149548103,14.85408923664,1.9727595918072,9.8585094295639,0.151304012639599,5.1208726973435,0.9600457592582,0.2364027551112,5.1026858916502,3.1399203853855,0.0439629751212998,2.5338148026565,13.0351004352861,1.3093250067381,3.3051324525337,0.889370358212098
"FCQ",11.8954783613064,1.3016574996284,0.2075677369793,2.4095842094069,3.0051341793251,4.4908454519655,3.7811292052081,8.4383259666371,0.0859562691437006,0,1.8317914281998,2.0913400393109,0.163903035023601,7.3157515403222,6.700145608219,4.2812501139946,0.193070783134399,5.165509626474,1.2420865051584,1.0922583129565,7.6206826938243,2.1351338835916,0.2841733986908,11.7026861027908,0.244239297457501,9.0152321274169,4.0563385260207,0.5312493363631,1.6259601885678,9.7974034434353,3.4805336146133,4.2147381103903,0.6291460718002,15.4838709677419,2.9568608402449,13.0691178170887,7.3410685372368,19.687825182102,1.7391736019023,7.2913400393109,4.4482673832512,6.0886626631396,4.4489789281998,3.3943905238111,1.360738596819,4.6895714887534,1.5809125062539,5.5005764362016,0.3201283844427,8.1017586856666,14.7681329674963,1.8868033226635,9.7725531604202,0.2372602817833,5.0349164281998,0.8740894901145,0.1504464859675,5.0167296225065,3.2258766545292,0.0419932940224008,2.6197710718002,12.9491441661424,1.3952812758818,3.21917618339,0.975326627355798
