"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",0,4,1,9,3,9,4,7,2,4,4,4,8,9,2,7,1,4,6,1,4,1,9,9,7,6,2,2,6,4,2,4,6,2,6,9,6,6,2,4,4,6,7,6,3,3,3,4,2,7,6,5,9,1,3,1,2,4,2,7,2,3,7,4,4
"AX0",4,0,5,5,1,5,0,3,6,0,0,0,4,5,6,3,3,0,2,3,0,5,5,5,3,2,6,6,2,0,2,0,2,6,2,5,2,2,6,0,0,2,3,2,1,7,7,0,6,3,2,1,5,5,1,5,6,0,6,3,6,1,3,0,0
"BE3",1,5,0,10,4,10,5,8,1,5,5,5,9,10,1,8,2,5,7,2,5,0,10,10,8,7,1,1,7,5,3,5,7,1,7,10,7,7,1,5,5,7,8,7,4,2,2,5,1,8,7,6,10,0,4,0,1,5,1,8,1,4,8,5,5
"BJ7",9,5,10,0,6,0,5,2,11,5,5,5,1,0,11,2,8,5,3,8,5,10,0,0,2,3,11,11,3,5,7,5,3,11,3,0,3,3,11,5,5,3,2,3,6,12,12,5,11,2,3,4,0,10,6,10,11,5,11,2,11,6,2,5,5
"C1C",3,1,4,6,0,6,1,4,5,1,1,1,5,6,5,4,2,1,3,2,1,4,6,6,4,3,5,5,3,1,1,1,3,5,3,6,3,3,5,1,1,3,4,3,0,6,6,1,5,4,3,2,6,4,0,4,5,1,5,4,5,0,4,1,1
"C3Z",9,5,10,0,6,0,5,2,11,5,5,5,1,0,11,2,8,5,3,8,5,10,0,0,2,3,11,11,3,5,7,5,3,11,3,0,3,3,11,5,5,3,2,3,6,12,12,5,11,2,3,4,0,10,6,10,11,5,11,2,11,6,2,5,5
"CPF",4,0,5,5,1,5,0,3,6,0,0,0,4,5,6,3,3,0,2,3,0,5,5,5,3,2,6,6,2,0,2,0,2,6,2,5,2,2,6,0,0,2,3,2,1,7,7,0,6,3,2,1,5,5,1,5,6,0,6,3,6,1,3,0,0
"DQ1",7,3,8,2,4,2,3,0,9,3,3,3,1,2,9,0,6,3,1,6,3,8,2,2,0,1,9,9,1,3,5,3,1,9,1,2,1,1,9,3,3,1,0,1,4,10,10,3,9,0,1,2,2,8,4,8,9,3,9,0,9,4,0,3,3
"E5E",2,6,1,11,5,11,6,9,0,6,6,6,10,11,0,9,3,6,8,3,6,1,11,11,9,8,0,0,8,6,4,6,8,0,8,11,8,8,0,6,6,8,9,8,5,1,1,6,0,9,8,7,11,1,5,1,0,6,0,9,0,5,9,6,6
"FCQ",4,0,5,5,1,5,0,3,6,0,0,0,4,5,6,3,3,0,2,3,0,5,5,5,3,2,6,6,2,0,2,0,2,6,2,5,2,2,6,0,0,2,3,2,1,7,7,0,6,3,2,1,5,5,1,5,6,0,6,3,6,1,3,0,0
