"","PID","HHID","Sex","Ethnicity","Age","BMI","Grip","Religion","ReligionPublic","ReligionPrivate","GodInequality","EducationYears","PeaceVote","AbortionLegal","QueerMarriageOK","DrugsLegal","GiveOther","LeaveOther","ReduceOther","ChildrenAlive","hh_wealth","RelPub","RelPri","GodIneq","A_S"
"1","AUH","B6C","M","MESTIZO",62.8333333333333,32.9152494331066,37.9,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",9,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",8,65,0,2,8112.2,2,1,1,2
"2","AX0","HHQ","M","MESTIZO",18,22.3214285714286,54.525,"NONE","NEVER","EVERYDAY","DONTKNOW",5,"AGREE","DISAGREE","DONTKNOW","DISAGREE",10,55,0,0,28314.2,2,1,2,28
"3","BE3","RAP","F","MESTIZO",22.3333333333333,20.8122033348209,19.7,"CATHOLIC","AFEWTIMESPERMONTH","NEVER","NO",10,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",8,65,0,0,23371.2,2,2,2,34
"4","BJ7","CPD","F","MESTIZO",65.5833333333333,23.4293552812071,12.125,"NONE","NEVER","NEVER","NO",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,28,4,1,5455.2,2,2,2,0
"5","C1C","KQA","F","MESTIZO",18.8333333333333,18.0146368924751,20.175,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",6,"DONTKNOW","DISAGREE","AGREE","DISAGREE",10,56,3,0,16305,2,2,2,4
"6","C3Z","XDV","F","MESTIZO",53.9166666666667,16.5289256198347,29.5625,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",0,"AGREE","DISAGREE","AGREE","DISAGREE",5,65,0,6,4325.2,2,1,2,0
"7","CPF","E4P","F","MESTIZO",59.0833333333333,24.8009002770083,21.2,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",5,"DONTKNOW","DISAGREE","DONTKNOW","DISAGREE",10,65,0,5,5529.2,2,1,2,3
"8","DQ1","V1F","F","MESTIZO",64.25,29.4580970384373,16.65,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",2,"AGREE","DISAGREE","AGREE","DISAGREE",9,65,0,6,23719.2,2,1,1,5
"9","E5E","WM8","M","AFROCOLOMBIAN",19.25,20.9338148026565,46.2,"SPIRITUAL","NEVER","EVERYDAY","NO",11,"AGREE","DONTKNOW","AGREE","AGREE",9,65,0,0,5413.2,2,1,2,24
"10","FCQ","Y0J","M","MESTIZO",26.5833333333333,21.0197710718002,36.975,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,65,0,2,3316.2,2,1,1,25
"11","FRM","XPJ","M","MESTIZO",45.4166666666667,22.8515625,38.35,"CHRISTIAN","AFEWTIMESPERMONTH","EVERYDAY","NO",5,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",9,65,0,7,4625.7,2,1,2,3
"12","FZH","TEP","F","MESTIZO",53.1666666666667,23.1111111111111,24.3,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",5,"DISAGREE","DISAGREE","AGREE","DISAGREE",6,65,0,2,4809.2,2,1,2,1
"13","HDU","FXR","M","MESTIZO",61,20.8558680367766,35.925,"CHRISTIAN","AFEWTIMESPERYEAR","AFEWTIMESPERMONTH","YES",1,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",8,52,0,6,4064.2,2,2,1,0
"14","HFX","BT9","F","MESTIZO",44.8333333333333,28.3355226121224,29.5625,"CATHOLIC","AFEWTIMESPERYEAR","NEVER","YES",0,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,56,3,4,5125.2,2,2,1,2
"15","J7V","RAP","F","MESTIZO",24.5833333333333,27.7199166800192,28.225,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",11,"AGREE","AGREE","DISAGREE","AGREE",8,65,1,2,23371.2,2,2,2,16
"16","JAQ","WM8","F","AFROCOLOMBIAN",45.8333333333333,25.3010211857948,34.425,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","NO",2,"AGREE","DISAGREE","AGREE","DISAGREE",3,61,0,5,5413.2,2,1,2,2
"17","JAU","KQA","F","MESTIZO",30.0833333333333,21.2128418549346,21.975,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","DONTKNOW",8,"DISAGREE","DISAGREE","AGREE","AGREE",6,54,8,2,16305,2,1,2,4
"18","JC9","NEB","F","EMBERA",66.9166666666667,26.1852806982742,21.875,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",5,"AGREE","DISAGREE","DISAGREE","DONTKNOW",9,65,0,8,3946.2,2,1,1,1
"19","JYJ","E4P","M","MESTIZO",47.8333333333333,22.2618575769586,39.35,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","YES",3,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",10,63,2,2,5529.2,2,1,1,3
"20","K4M","NEB","M","MESTIZO",22.4166666666667,22.1120293847567,43.275,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERMONTH","NO",8,"AGREE","AGREE","DISAGREE","DISAGREE",10,48,8,0,3946.2,2,2,2,24
"21","KJE","RAP","M","MESTIZO",31.75,28.6404537656245,49.075,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","YES",5,"DISAGREE","DISAGREE","AGREE","DISAGREE",9,65,0,1,23371.2,2,1,1,23
"22","KVG","V1F","M","MESTIZO",16,18.8846371882086,29.5625,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",10,"AGREE","DISAGREE","AGREE","DISAGREE",10,65,0,0,23719.2,2,1,2,23
"23","MAA","BNA","F","MESTIZO",88.8333333333333,20.7355976731094,9.225,"CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","DONTKNOW",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",0,65,0,5,24954.2,2,1,2,1
"24","MKC","FXR","F","MESTIZO",38,32.722457174591,22.85,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","UNKNOWN",0,"DONTKNOW","DISAGREE","DISAGREE","DISAGREE",8,59,0,11,4064.2,2,2,2,2
"25","P1A","BNA","M","MESTIZO",46.5833333333333,20.7755317743427,36.4,"SPIRITUAL","AFEWTIMESPERYEAR","EVERYDAY","NO",2,"AGREE","DONTKNOW","DISAGREE","DISAGREE",10,65,0,0,24954.2,2,1,2,7
"26","PFE","BQV","M","MESTIZO",30.3333333333333,30.0350031992171,40.225,"NONE","NEVER","EVERYDAY","DONTKNOW",3,"DISAGREE","DISAGREE","DONTKNOW","DISAGREE",10,60,4,2,1408.4,2,1,2,6
"27","QDP","RAP","F","MESTIZO",30.6666666666667,25.0761095978209,23.35,"CATHOLIC","AFEWTIMESPERMONTH","EVERYDAY","DONTKNOW",11,"AGREE","DISAGREE","DISAGREE","DISAGREE",10,65,0,2,23371.2,2,1,2,38
"28","QXJ","KEA","M","MESTIZO",17.3333333333333,21.5510204081633,37.775,"CATHOLIC","AFEWTIMESPERMONTH","AFEWTIMESPERWEEK","YES",11,"AGREE","DISAGREE","AGREE","DISAGREE",10,53,2,0,4064.2,2,2,1,26
"29","R5E","RAP","M","MESTIZO",68.3333333333333,22.645731260368,31.975,"CATHOLIC","AFEWTIMESPERYEAR","EVERYDAY","NO",3,"AGREE","DISAGREE","DISAGREE","DISAGREE",8,65,2,7,23371.2,2,1,2,2
"30","RBF","B6C","F","MESTIZO",62,30.8171745152355,23.025,"CATHOLIC","AFEWTIMESPERMONTH","MORETHANONCEPERDAY","NO",5,"DISAGREE","DISAGREE","DISAGREE","DISAGREE",5,65,1,2,8112.2,2,1,2,1
