"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",0,0.686956443892425,0.0440775105657337,0.2090324379067,0.108698740856597,0.0957145378289849,0.193146200963779,0.219563053966535,0,0.662678682266232,0.140971429322803,0.149448420469443,0.0180510541984887,0.249720890553683,0.0440775105657337,0,0.108698740856597,0,0.193146200963779,0.74895235228936,0.0440775105657337,0.219563053966535,0.24171998158844,0.0180510541984887,0.24171998158844,0.299011658598414,0.0440775105657337,0.0496373315290627,0.0440775105657337,0,0.140971429322803,0.0440775105657337,0.239789354411297,0.0917445916585305,0.2090324379067,0.0440775105657337,0.219563053966535,0.0306888697012082,0.0496373315290627,0.135476067234073,0.249720890553683,0.140971429322803,0.135476067234073,0.239789354411297,0.108698740856597,0.0440775105657337,0,0.662678682266232,0.0496373315290627,0.299011658598414,0.686956443892425,0.108698740856597,0.219563053966535,0.135476067234073,0.140971429322803,0.219563053966535,0.149448420469443,0.149448420469443,0.149448420469443,0.0957145378289849,0.149448420469443,0.812154684110773,0.0957145378289849,0.686956443892425,0.108698740856597
"AX0",0.686956443892425,0,0.708077136026935,0.848594228516562,0.614997982751103,0.681717729537005,0.824420573458915,0.848399623437969,0,0.0975137756244728,0.770773698776668,0.612955157017401,0.704673280887864,0.872656933087182,0.708077136026935,0,0.614997982751103,0,0.824420573458915,0.0687787947946939,0.708077136026935,0.848399623437969,0.820553501105412,0.704673280887864,0.820553501105412,0.88256861835521,0.708077136026935,0.73213555620827,0.708077136026935,0.686956443892425,0.770773698776668,0.708077136026935,0.83176147156134,0.764314363345142,0.848594228516562,0.708077136026935,0.848399623437969,0.715391851878769,0.73213555620827,0.596280657863266,0.872656933087182,0.770773698776668,0.596280657863266,0.83176147156134,0.614997982751103,0.708077136026935,0,0.0975137756244728,0.73213555620827,0.88256861835521,0,0.614997982751103,0.848399623437969,0.596280657863266,0.770773698776668,0.848399623437969,0.612955157017401,0.612955157017401,0.612955157017401,0.681717729537005,0.612955157017401,0.125709013499242,0.681717729537005,0,0.614997982751103
"BE3",0.0440775105657337,0.708077136026935,0,0.226270412907464,0.10389104287563,0.0642062299272522,0.214247946890291,0.239275630063089,0,0.688941615768483,0.168023444060311,0.134726407009083,0.0428277212520227,0.269011706269,0,0,0.10389104287563,0,0.214247946890291,0.771552345199438,0,0.239275630063089,0.270803813946866,0.0428277212520227,0.270803813946866,0.323914841215246,0,0.0653879366751755,0,0.0440775105657337,0.168023444060311,0,0.266623368337541,0.106839829520685,0.226270412907464,0,0.239275630063089,0.0517132572957552,0.0653879366751755,0.129936669661604,0.269011706269,0.168023444060311,0.129936669661604,0.266623368337541,0.10389104287563,0,0,0.688941615768483,0.0653879366751755,0.323914841215246,0.708077136026935,0.10389104287563,0.239275630063089,0.129936669661604,0.168023444060311,0.239275630063089,0.134726407009083,0.134726407009083,0.134726407009083,0.0642062299272522,0.134726407009083,0.833689322607461,0.0642062299272522,0.708077136026935,0.10389104287563
"BJ7",0.2090324379067,0.848594228516562,0.226270412907464,0,0.317728879208393,0.290294300743282,0.0248186666216021,0.0181727056007517,0,0.806861893971246,0.079153887258425,0.357115201209671,0.194218480866435,0.0435919842776423,0.226270412907464,0,0.317728879208393,0,0.0248186666216021,0.904583290702539,0.226270412907464,0.0181727056007517,0.0842995907427268,0.194218480866435,0.0842995907427268,0.107283358750729,0.226270412907464,0.163005477984671,0.226270412907464,0.2090324379067,0.079153887258425,0.226270412907464,0.0690349967455566,0.119780300002543,0,0.226270412907464,0.0181727056007517,0.180949403809855,0.163005477984671,0.344496995857368,0.0435919842776423,0.079153887258425,0.344496995857368,0.0690349967455566,0.317728879208393,0.226270412907464,0,0.806861893971246,0.163005477984671,0.107283358750729,0.848594228516562,0.317728879208393,0.0181727056007517,0.344496995857368,0.079153887258425,0.0181727056007517,0.357115201209671,0.357115201209671,0.357115201209671,0.290294300743282,0.357115201209671,0.970272857069571,0.290294300743282,0.848594228516562,0.317728879208393
"C1C",0.108698740856597,0.614997982751103,0.10389104287563,0.317728879208393,0,0.067363202025776,0.301582280538167,0.328125976334779,0,0.603671828220118,0.248077600918388,0.0460851970823564,0.124095379044927,0.358281216318197,0.10389104287563,0,0,0,0.301582280538167,0.68015058115823,0.10389104287563,0.328125976334779,0.346114704558146,0.124095379044927,0.346114704558146,0.405674370656414,0.10389104287563,0.156320586260077,0.10389104287563,0.108698740856597,0.248077600918388,0.10389104287563,0.345789368640638,0.199603774855287,0.317728879208393,0.10389104287563,0.328125976334779,0.137556463726269,0.156320586260077,0.0269452783047482,0.358281216318197,0.248077600918388,0.0269452783047482,0.345789368640638,0,0.10389104287563,0,0.603671828220118,0.156320586260077,0.405674370656414,0.614997982751103,0,0.328125976334779,0.0269452783047482,0.248077600918388,0.328125976334779,0.0460851970823564,0.0460851970823564,0.0460851970823564,0.067363202025776,0.0460851970823564,0.740667951224344,0.067363202025776,0.614997982751103,0
"C3Z",0.0957145378289849,0.681717729537005,0.0642062299272522,0.290294300743282,0.067363202025776,0,0.278449840503764,0.30345777797591,0,0.671029556993794,0.231389109296377,0.0791538867727133,0.102826309404094,0.333151412825432,0.0642062299272522,0,0.067363202025776,0,0.278449840503764,0.747132334238191,0.0642062299272522,0.30345777797591,0.3339239851372,0.102826309404094,0.3339239851372,0.38795412917925,0.0642062299272522,0.129318000127876,0.0642062299272522,0.0957145378289849,0.231389109296377,0.0642062299272522,0.330299957697704,0.171031904316371,0.290294300743282,0.0642062299272522,0.30345777797591,0.114079484312838,0.129318000127876,0.0861761538495402,0.333151412825432,0.231389109296377,0.0861761538495402,0.330299957697704,0.067363202025776,0.0642062299272522,0,0.671029556993794,0.129318000127876,0.38795412917925,0.681717729537005,0.067363202025776,0.30345777797591,0.0861761538495402,0.231389109296377,0.30345777797591,0.0791538867727133,0.0791538867727133,0.0791538867727133,0,0.0791538867727133,0.807334476751415,0,0.681717729537005,0.067363202025776
"CPF",0.193146200963779,0.824420573458915,0.214247946890291,0.0248186666216021,0.301582280538167,0.278449840503764,0,0.026945289249153,0,0.782223045888433,0.057121029453603,0.342310244692999,0.179445316324607,0.0568721524303929,0.214247946890291,0,0.301582280538167,0,0,0.880174760787917,0.214247946890291,0.026945289249153,0.0729394204678367,0.179445316324607,0.0729394204678367,0.111023709020398,0.214247946890291,0.149505831331682,0.214247946890291,0.193146200963779,0.057121029453603,0.214247946890291,0.0608737839768924,0.107576913025647,0.0248186666216021,0.214247946890291,0.026945289249153,0.166518389963682,0.149505831331682,0.32812595446216,0.0568721524303929,0.057121029453603,0.32812595446216,0.0608737839768924,0.301582280538167,0.214247946890291,0,0.782223045888433,0.149505831331682,0.111023709020398,0.824420573458915,0.301582280538167,0.026945289249153,0.32812595446216,0.057121029453603,0.026945289249153,0.342310244692999,0.342310244692999,0.342310244692999,0.278449840503764,0.342310244692999,0.945914101723321,0.278449840503764,0.824420573458915,0.301582280538167
"DQ1",0.219563053966535,0.848399623437969,0.239275630063089,0.0181727056007517,0.328125976334779,0.30345777797591,0.026945289249153,0,0,0.804744428335276,0.0838803581107515,0.368493463055173,0.205509594566762,0.0301582382039034,0.239275630063089,0,0.328125976334779,0,0.026945289249153,0.903548311723193,0.239275630063089,0,0.0676352412888806,0.205509594566762,0.0676352412888806,0.0899842433432179,0.239275630063089,0.175053798942772,0.239275630063089,0.219563053966535,0.0838803581107515,0.239275630063089,0.0517132974159505,0.132437565941643,0.0181727056007517,0.239275630063089,0,0.192447129353839,0.175053798942772,0.354730211656796,0.0301582382039034,0.0838803581107515,0.354730211656796,0.0517132974159505,0.328125976334779,0.239275630063089,0,0.804744428335276,0.175053798942772,0.0899842433432179,0.848399623437969,0.328125976334779,0,0.354730211656796,0.0838803581107515,0,0.368493463055173,0.368493463055173,0.368493463055173,0.30345777797591,0.368493463055173,0.969421582057812,0.30345777797591,0.848399623437969,0.328125976334779
"E5E",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FCQ",0.662678682266232,0.0975137756244728,0.688941615768483,0.806861893971246,0.603671828220118,0.671029556993794,0.782223045888433,0.804744428335276,0,0,0.731157592094385,0.608967122183091,0.679750325192246,0.827020212735716,0.688941615768483,0,0.603671828220118,0,0.782223045888433,0.110729701890235,0.688941615768483,0.804744428335276,0.770559427675935,0.679750325192246,0.770559427675935,0.830348555784321,0.688941615768483,0.704675347632067,0.688941615768483,0.662678682266232,0.731157592094385,0.688941615768483,0.783056341191526,0.732895624442026,0.806861893971246,0.688941615768483,0.804744428335276,0.689271796281897,0.704675347632067,0.588319386064674,0.827020212735716,0.731157592094385,0.588319386064674,0.783056341191526,0.603671828220118,0.688941615768483,0,0,0.704675347632067,0.830348555784321,0.0975137756244728,0.603671828220118,0.804744428335276,0.588319386064674,0.731157592094385,0.804744428335276,0.608967122183091,0.608967122183091,0.608967122183091,0.671029556993794,0.608967122183091,0.175307442234453,0.671029556993794,0.0975137756244728,0.603671828220118
