"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",0,1,0,0,1,2,0,2,3,1,0,1,0,1,3,2,2,1,0,2,1,2,0,0,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,3,1,0,2,1,1,0,1,1,1,0,1,0,1,3,0,2,2,2,1,1,3,2,0,0,2
"AX0",1,0,1,0,0,0,0,0,1,0,0,1,0,0,2,0,2,0,1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,2,0,1,2,0,1,1,0,0,1,0,0,0,3,0,0,0,0,1,0,1,2,0,1,2
"BE3",0,1,0,0,1,2,0,2,3,1,0,1,0,1,3,2,2,1,0,2,1,2,0,0,1,0,1,2,1,0,1,2,1,0,0,1,1,0,1,3,1,0,2,1,1,0,1,1,1,0,1,0,1,3,0,2,2,2,1,1,3,2,0,0,2
"BJ7",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"C1C",1,0,1,1,0,0,0,0,1,1,1,0,1,1,3,0,1,1,1,2,0,0,1,1,1,0,1,0,1,1,1,2,1,1,1,1,1,1,0,1,2,1,2,2,0,1,2,1,0,0,1,1,1,2,1,0,0,0,0,1,1,1,1,1,1
"C3Z",2,0,2,1,0,0,0,0,1,1,1,1,1,1,3,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,3,1,0,0,0,1,1,1,2,1,2,2
"CPF",0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1
"DQ1",2,0,2,1,0,0,0,0,1,1,1,1,1,1,3,0,2,1,2,2,1,0,1,1,1,1,1,0,1,2,1,2,1,2,1,1,1,1,1,1,3,1,2,3,0,2,2,1,0,1,1,1,1,3,1,0,0,0,1,1,1,2,1,2,2
"E5E",3,1,3,2,1,1,1,1,0,2,2,2,2,2,1,1,1,1,3,2,2,1,2,2,2,2,2,1,2,3,2,1,2,3,2,2,2,2,2,0,2,2,1,2,1,3,1,2,1,2,2,2,2,1,2,1,1,1,2,2,1,1,2,3,1
"FCQ",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
"FRM",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"FZH",1,1,1,1,0,1,0,1,2,2,1,0,1,2,4,1,1,2,1,3,0,1,1,1,2,0,2,1,2,1,2,3,2,1,1,2,2,1,0,2,2,1,3,2,0,1,2,2,0,0,2,1,2,2,1,1,1,1,0,2,2,1,1,1,1
"HDU",0,0,0,0,1,1,0,1,2,0,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,1,1,0,1,0,1,0,0,0,0,3,0,1,1,1,1,0,2,2,0,0,2
"HFX",1,0,1,0,1,1,0,1,2,0,0,2,0,0,2,1,3,0,1,1,2,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,2,2,2,0,1,2,1,1,1,0,1,1,0,0,0,4,0,1,1,1,2,0,2,3,0,1,3
