"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"AX0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BE3",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"BJ7",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
"C1C",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"C3Z",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"CPF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQ1",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"E5E",-1,0,-1,-1,1,1,0,1,1,-1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1,0,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,1,-1,-1,-1,1,0,-1,-1,-1,1,-1,1,1,1,1,-1,1,1,-1,-1,1
"FCQ",1,0,1,1,-1,-1,0,-1,-1,1,1,-1,1,1,1,-1,-1,1,1,1,-1,-1,1,1,1,0,1,-1,1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,1,1,-1,1,1,1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,1,-1,-1,1,1,-1
