"","AUH","AX0","BE3","BJ7","C1C","C3Z","CPF","DQ1","E5E","FCQ","FRM","FZH","HDU","HFX","J7V","JAQ","JAU","JC9","JYJ","K4M","KJE","KVG","MAA","MKC","P1A","PFE","QDP","QXJ","R5E","RBF","RTM","RX9","SA9","SAH","SCN","T5X","T8A","TS8","TUH","U1J","U3A","U5Q","U7Y","VR3","WAY","WN8","WPU","WQV","X3T","Y34","Y3K","YHT","YMS","Z5Y","Z6Z","ZST","W01","TSK","QXR","HM5","E5B","HYX","K95","F97","TGP"
"AUH",0,1.24999434421354,1.05813539373716,0.396799819152942,0.698102707864034,0.628910719288003,0.383325961769183,1.0729157453707,0.404528686157034,0.894549552292114,0.561741390513969,0.522838351258631,0.691152179713542,0.459199552723964,1.05813539373716,0.404528686157034,0.698102707864034,0.720616010824026,0.383325961769183,0.720616010824026,1.05813539373716,1.0729157453707,1.1236730433266,0.691152179713542,1.1236730433266,1.75091479307849,1.05813539373716,0.691152179713542,1.05813539373716,0,0.561741390513969,1.05813539373716,2.44406197363843,1.34563904304701,0.396799819152942,1.05813539373716,1.0729157453707,0.756737785276458,0.691152179713542,0.257082510099115,0.459199552723964,0.561741390513969,0.257082510099115,2.44406197363843,0.698102707864034,1.05813539373716,0.404528686157034,0.894549552292114,0.691152179713542,1.75091479307849,1.24999434421354,0.698102707864034,1.0729157453707,0.257082510099115,0.561741390513969,1.0729157453707,0.522838351258631,0.522838351258631,0.522838351258631,0.628910719288003,0.522838351258631,0.184328860108847,0.628910719288003,1.24999434421354,0.698102707864034
"AX0",1.24999434421354,0,0.191858950476377,1.64679416336648,0.551891636349502,1.87890506350154,1.63332030598272,0.177078598842838,1.65452303037057,2.14454389650565,1.81173573472751,1.77283269547217,1.94114652392708,1.7091938969375,0.191858950476377,1.65452303037057,0.551891636349502,1.97061035503756,1.63332030598272,1.97061035503756,0.191858950476377,0.177078598842838,0.126321300886939,1.94114652392708,0.126321300886939,3.00090913729202,0.191858950476377,1.94114652392708,0.191858950476377,1.24999434421354,1.81173573472751,0.191858950476377,3.69405631785197,2.59563338726055,1.64679416336648,0.191858950476377,0.177078598842838,2.00673212949,1.94114652392708,1.50707685431265,1.7091938969375,1.81173573472751,1.50707685431265,3.69405631785197,0.551891636349502,0.191858950476377,1.65452303037057,2.14454389650565,1.94114652392708,3.00090913729202,0,0.551891636349502,0.177078598842838,1.50707685431265,1.81173573472751,0.177078598842838,1.77283269547217,1.77283269547217,1.77283269547217,1.87890506350154,1.77283269547217,1.06566548410469,1.87890506350154,0,0.551891636349502
"BE3",1.05813539373716,0.191858950476377,0,1.4549352128901,0.360032685873126,1.68704611302516,1.44146135550634,0.0147803516335383,1.46266407989419,1.95268494602927,1.61987678425113,1.58097374499579,1.7492875734507,1.51733494646112,0,1.46266407989419,0.360032685873126,1.77875140456119,1.44146135550634,1.77875140456119,0,0.0147803516335383,0.0655376495894373,1.7492875734507,0.0655376495894373,2.80905018681565,0,1.7492875734507,0,1.05813539373716,1.61987678425113,0,3.50219736737559,2.40377443678417,1.4549352128901,0,0.0147803516335383,1.81487317901362,1.7492875734507,1.31521790383628,1.51733494646112,1.61987678425113,1.31521790383628,3.50219736737559,0.360032685873126,0,1.46266407989419,1.95268494602927,1.7492875734507,2.80905018681565,0.191858950476377,0.360032685873126,0.0147803516335383,1.31521790383628,1.61987678425113,0.0147803516335383,1.58097374499579,1.58097374499579,1.58097374499579,1.68704611302516,1.58097374499579,0.873806533628313,1.68704611302516,0.191858950476377,0.360032685873126
"BJ7",0.396799819152942,1.64679416336648,1.4549352128901,0,1.09490252701698,0.23211090013506,0.0134738573837598,1.46971556452364,0.00772886700409181,0.497749733139171,0.164941571361027,0.126038532105689,0.2943523605606,0.0623997335710218,1.4549352128901,0.00772886700409181,1.09490252701698,0.323816191671083,0.0134738573837598,0.323816191671083,1.4549352128901,1.46971556452364,1.52047286247954,0.2943523605606,1.52047286247954,1.35411497392555,1.4549352128901,0.2943523605606,1.4549352128901,0.396799819152942,0.164941571361027,1.4549352128901,2.04726215448549,0.948839223894069,0,1.4549352128901,1.46971556452364,0.359937966123516,0.2943523605606,0.139717309053827,0.0623997335710218,0.164941571361027,0.139717309053827,2.04726215448549,1.09490252701698,1.4549352128901,0.00772886700409181,0.497749733139171,0.2943523605606,1.35411497392555,1.64679416336648,1.09490252701698,1.46971556452364,0.139717309053827,0.164941571361027,1.46971556452364,0.126038532105689,0.126038532105689,0.126038532105689,0.23211090013506,0.126038532105689,0.58112867926179,0.23211090013506,1.64679416336648,1.09490252701698
"C1C",0.698102707864034,0.551891636349502,0.360032685873126,1.09490252701698,0,1.32701342715204,1.08142866963322,0.374813037506664,1.10263139402107,1.59265226015615,1.259844098378,1.22094105912267,1.38925488757758,1.157302260588,0.360032685873126,1.10263139402107,0,1.41871871868806,1.08142866963322,1.41871871868806,0.360032685873126,0.374813037506664,0.425570335462563,1.38925488757758,0.425570335462563,2.44901750094252,0.360032685873126,1.38925488757758,0.360032685873126,0.698102707864034,1.259844098378,0.360032685873126,3.14216468150247,2.04374175091105,1.09490252701698,0.360032685873126,0.374813037506664,1.45484049314049,1.38925488757758,0.95518521796315,1.157302260588,1.259844098378,0.95518521796315,3.14216468150247,0,0.360032685873126,1.10263139402107,1.59265226015615,1.38925488757758,2.44901750094252,0.551891636349502,0,0.374813037506664,0.95518521796315,1.259844098378,0.374813037506664,1.22094105912267,1.22094105912267,1.22094105912267,1.32701342715204,1.22094105912267,0.513773847755187,1.32701342715204,0.551891636349502,0
"C3Z",0.628910719288003,1.87890506350154,1.68704611302516,0.23211090013506,1.32701342715204,0,0.24558475751882,1.7018264646587,0.224382033130968,0.265638833004111,0.0671693287740336,0.106072368029372,0.0622414604255397,0.169711166564039,1.68704611302516,0.224382033130968,1.32701342715204,0.091705291536023,0.24558475751882,0.091705291536023,1.68704611302516,1.7018264646587,1.7525837626146,0.0622414604255397,1.7525837626146,1.12200407379049,1.68704611302516,0.0622414604255397,1.68704611302516,0.628910719288003,0.0671693287740336,1.68704611302516,1.81515125435043,0.716728323759009,0.23211090013506,1.68704611302516,1.7018264646587,0.127827065988456,0.0622414604255397,0.371828209188887,0.169711166564039,0.0671693287740336,0.371828209188887,1.81515125435043,1.32701342715204,1.68704611302516,0.224382033130968,0.265638833004111,0.0622414604255397,1.12200407379049,1.87890506350154,1.32701342715204,1.7018264646587,0.371828209188887,0.0671693287740336,1.7018264646587,0.106072368029372,0.106072368029372,0.106072368029372,0,0.106072368029372,0.81323957939685,0,1.87890506350154,1.32701342715204
"CPF",0.383325961769183,1.63332030598272,1.44146135550634,0.0134738573837598,1.08142866963322,0.24558475751882,0,1.45624170713988,0.0212027243878516,0.511223590522931,0.178415428744787,0.139512389489449,0.30782621794436,0.0758735909547816,1.44146135550634,0.0212027243878516,1.08142866963322,0.337290049054843,0,0.337290049054843,1.44146135550634,1.45624170713988,1.50699900509578,0.30782621794436,1.50699900509578,1.36758883130931,1.44146135550634,0.30782621794436,1.44146135550634,0.383325961769183,0.178415428744787,1.44146135550634,2.06073601186925,0.962313081277829,0.0134738573837598,1.44146135550634,1.45624170713988,0.373411823507276,0.30782621794436,0.126243451670067,0.0758735909547816,0.178415428744787,0.126243451670067,2.06073601186925,1.08142866963322,1.44146135550634,0.0212027243878516,0.511223590522931,0.30782621794436,1.36758883130931,1.63332030598272,1.08142866963322,1.45624170713988,0.126243451670067,0.178415428744787,1.45624170713988,0.139512389489449,0.139512389489449,0.139512389489449,0.24558475751882,0.139512389489449,0.56765482187803,0.24558475751882,1.63332030598272,1.08142866963322
"DQ1",1.0729157453707,0.177078598842838,0.0147803516335383,1.46971556452364,0.374813037506664,1.7018264646587,1.45624170713988,0,1.47744443152773,1.96746529766281,1.63465713588467,1.59575409662933,1.76406792508424,1.53211529809466,0.0147803516335383,1.47744443152773,0.374813037506664,1.79353175619472,1.45624170713988,1.79353175619472,0.0147803516335383,0,0.050757297955899,1.76406792508424,0.050757297955899,2.82383053844919,0.0147803516335383,1.76406792508424,0.0147803516335383,1.0729157453707,1.63465713588467,0.0147803516335383,3.51697771900913,2.41855478841771,1.46971556452364,0.0147803516335383,0,1.82965353064716,1.76406792508424,1.32999825546981,1.53211529809466,1.63465713588467,1.32999825546981,3.51697771900913,0.374813037506664,0.0147803516335383,1.47744443152773,1.96746529766281,1.76406792508424,2.82383053844919,0.177078598842838,0.374813037506664,0,1.32999825546981,1.63465713588467,0,1.59575409662933,1.59575409662933,1.59575409662933,1.7018264646587,1.59575409662933,0.888586885261851,1.7018264646587,0.177078598842838,0.374813037506664
"E5E",0.404528686157034,1.65452303037057,1.46266407989419,0.00772886700409181,1.10263139402107,0.224382033130968,0.0212027243878516,1.47744443152773,0,0.49002086613508,0.157212704356935,0.118309665101597,0.286623493556508,0.05467086656693,1.46266407989419,0,1.10263139402107,0.316087324666992,0.0212027243878516,0.316087324666992,1.46266407989419,1.47744443152773,1.52820172948363,0.286623493556508,1.52820172948363,1.34638610692145,1.46266407989419,0.286623493556508,1.46266407989419,0.404528686157034,0.157212704356935,1.46266407989419,2.0395332874814,0.941110356889977,0.00772886700409181,1.46266407989419,1.47744443152773,0.352209099119424,0.286623493556508,0.147446176057919,0.05467086656693,0.157212704356935,0.147446176057919,2.0395332874814,1.10263139402107,1.46266407989419,0,0.49002086613508,0.286623493556508,1.34638610692145,1.65452303037057,1.10263139402107,1.47744443152773,0.147446176057919,0.157212704356935,1.47744443152773,0.118309665101597,0.118309665101597,0.118309665101597,0.224382033130968,0.118309665101597,0.588857546265881,0.224382033130968,1.65452303037057,1.10263139402107
"FCQ",0.894549552292114,2.14454389650565,1.95268494602927,0.497749733139171,1.59265226015615,0.265638833004111,0.511223590522931,1.96746529766281,0.49002086613508,0,0.332808161778145,0.371711201033483,0.203397372578571,0.43534999956815,1.95268494602927,0.49002086613508,1.59265226015615,0.173933541468088,0.511223590522931,0.173933541468088,1.95268494602927,1.96746529766281,2.01822259561871,0.203397372578571,2.01822259561871,0.856365240786374,1.95268494602927,0.203397372578571,1.95268494602927,0.894549552292114,0.332808161778145,1.95268494602927,1.54951242134632,0.451089490754898,0.497749733139171,1.95268494602927,1.96746529766281,0.137811767015656,0.203397372578571,0.637467042192998,0.43534999956815,0.332808161778145,0.637467042192998,1.54951242134632,1.59265226015615,1.95268494602927,0.49002086613508,0,0.203397372578571,0.856365240786374,2.14454389650565,1.59265226015615,1.96746529766281,0.637467042192998,0.332808161778145,1.96746529766281,0.371711201033483,0.371711201033483,0.371711201033483,0.265638833004111,0.371711201033483,1.07887841240096,0.265638833004111,2.14454389650565,1.59265226015615
